ko:K19079	sut:SAT0131_00731
ko:K09022	sut:SAT0131_00542
ko:K19005	sut:SAT0131_00788
ko:K19279	sut:SAT0131_02868
ko:K19285	sut:SAT0131_00415
ko:K00887	sut:SAT0131_01665
ko:K07145	sut:SAT0131_00156
ko:K11737	sut:SAT0131_01798
ko:K12574	sut:SAT0131_01126
ko:K12574	sut:SAT0131_01330
ko:K16301	sut:SAT0131_00349
ko:K05352	sut:SAT0131_00249
ko:K15738	sut:SAT0131_00789
ko:K03654	sut:SAT0131_00790
ko:K05847	sut:SAT0131_00791
ko:K00817	sut:SAT0131_00793
ko:K03305	sut:SAT0131_00797
ko:K09457	sut:SAT0131_00798
ko:K02015	sut:SAT0131_00805
ko:K02015	sut:SAT0131_00806
ko:K02013	sut:SAT0131_00807
ko:K02016	sut:SAT0131_00808
ko:K00075	sut:SAT0131_00810
ko:K00865	sut:SAT0131_00814
ko:K03070	sut:SAT0131_00825
ko:K02836	sut:SAT0131_00826
ko:K07023	sut:SAT0131_00828
ko:K03702	sut:SAT0131_00830
ko:K03701	sut:SAT0131_00831
ko:K13292	sut:SAT0131_00833
ko:K00384	sut:SAT0131_00836
ko:K01358	sut:SAT0131_00840
ko:K07071	sut:SAT0131_00841
ko:K05311	sut:SAT0131_00843
ko:K00134	sut:SAT0131_00844
ko:K00927	sut:SAT0131_00845
ko:K00876	sut:SAT0131_01708
ko:K08303	sut:SAT0131_01709
ko:K07447	sut:SAT0131_01713
ko:K01872	sut:SAT0131_01715
ko:K03581	sut:SAT0131_01716
ko:K00566	sut:SAT0131_01718
ko:K04487	sut:SAT0131_01719
ko:K07478	sut:SAT0131_01725
ko:K01876	sut:SAT0131_01728
ko:K01892	sut:SAT0131_01729
ko:K01448	sut:SAT0131_01730
ko:K07560	sut:SAT0131_01732
ko:K00759	sut:SAT0131_01734
ko:K07462	sut:SAT0131_01735
ko:K12257	sut:SAT0131_01737
ko:K03210	sut:SAT0131_01738
ko:K00773	sut:SAT0131_01739
ko:K07568	sut:SAT0131_01740
ko:K03551	sut:SAT0131_01741
ko:K03550	sut:SAT0131_01742
ko:K06209	sut:SAT0131_01743
ko:K03979	sut:SAT0131_01744
ko:K02899	sut:SAT0131_01746
ko:K02888	sut:SAT0131_01748
ko:K03571	sut:SAT0131_01749
ko:K03570	sut:SAT0131_01750
ko:K03630	sut:SAT0131_01761
ko:K11754	sut:SAT0131_01763
ko:K11102	sut:SAT0131_02574
ko:K07696	sut:SAT0131_02582
ko:K00373	sut:SAT0131_02586
ko:K00371	sut:SAT0131_02587
ko:K00370	sut:SAT0131_02588
ko:K00363	sut:SAT0131_02590
ko:K00362	sut:SAT0131_02591
ko:K01012	sut:SAT0131_02620
ko:K00833	sut:SAT0131_02621
ko:K01935	sut:SAT0131_02622
ko:K02016	sut:SAT0131_00676
ko:K02015	sut:SAT0131_00677
ko:K09936	sut:SAT0131_00685
ko:K05566	sut:SAT0131_00691
ko:K05567	sut:SAT0131_00692
ko:K05569	sut:SAT0131_00694
ko:K05571	sut:SAT0131_00697
ko:K05946	sut:SAT0131_00705
ko:K02013	sut:SAT0131_00717
ko:K02015	sut:SAT0131_00718
ko:K02015	sut:SAT0131_00719
ko:K05878	sut:SAT0131_00720
ko:K05879	sut:SAT0131_00721
ko:K07220	sut:SAT0131_00733
ko:K09699	sut:SAT0131_01609
ko:K00167	sut:SAT0131_01610
ko:K00166	sut:SAT0131_01611
ko:K00382	sut:SAT0131_01612
ko:K03631	sut:SAT0131_01613
ko:K03402	sut:SAT0131_01614
ko:K13789	sut:SAT0131_01615
ko:K03602	sut:SAT0131_01616
ko:K03601	sut:SAT0131_01617
ko:K03625	sut:SAT0131_01618
ko:K01961	sut:SAT0131_01620
ko:K02160	sut:SAT0131_01621
