ko:K18919	elp:P12B_c1512
ko:K18138	elp:P12B_c0475
ko:K05396	elp:P12B_c1146
ko:K18922	elp:P12B_c0565
ko:K22507	elp:P12B_c2960
ko:K21905	elp:P12B_c3645
ko:K13381	elp:P12B_c3440
ko:K03761	elp:P12B_c2687
ko:K03297	elp:P12B_c1127
ko:K16345	elp:P12B_c3784
ko:K07172	elp:P12B_c2881
ko:K10014	elp:P12B_c2402
ko:K16371	elp:P12B_c3247
ko:K17247	elp:P12B_c1051
ko:K03077	elp:P12B_c0054
ko:K01990	elp:P12B_c0783
ko:K21901	elp:P12B_c3636
ko:K21907	elp:P12B_c3641
ko:K02054	elp:P12B_c1685
ko:K21908	elp:P12B_c3640
ko:K18922	elp:P12B_c2859
ko:K21906	elp:P12B_c3644
ko:K21029	elp:P12B_c0811
ko:K08348	elp:P12B_c1655
ko:K02345	elp:P12B_c1243
ko:K16301	elp:P12B_c1003
ko:K10111	elp:P12B_c4142
ko:K00254	elp:P12B_c0932
ko:K07481	elp:P12B_c1211
ko:K16348	elp:P12B_c4246
ko:K07481	elp:P12B_c1175
ko:K02099	elp:P12B_c0057
ko:K07480	elp:P12B_c2066
ko:K12262	elp:P12B_c1707
ko:K12516	elp:P12B_c1721
ko:K18968	elp:P12B_c0401
ko:K18843	elp:P12B_c1689
ko:K14219	elp:P12B_t0046
ko:K14219	elp:P12B_t0047
ko:K14234	elp:P12B_t0057
ko:K14218	elp:P12B_t0039
ko:K14218	elp:P12B_t0040
ko:K14234	elp:P12B_t0005
ko:K14237	elp:P12B_t0031
ko:K14233	elp:P12B_t0048
ko:K14230	elp:P12B_t0054
ko:K14228	elp:P12B_t0056
ko:K14237	elp:P12B_t0032
ko:K14220	elp:P12B_t0033
ko:K14225	elp:P12B_t0052
ko:K16135	elp:P12B_c1282
ko:K02058	elp:P12B_c2649
ko:K16139	elp:P12B_c1467
ko:K16136	elp:P12B_c1462
ko:K16092	elp:P12B_c4087
ko:K11745	elp:P12B_c0042
ko:K16138	elp:P12B_c1465
ko:K16091	elp:P12B_c4396
ko:K16088	elp:P12B_c2005
ko:K02503	elp:P12B_c2004
ko:K16089	elp:P12B_c2249
ko:K14228	elp:P12B_t0012
ko:K14233	elp:P12B_t0022
ko:K14220	elp:P12B_t0023
ko:K14220	elp:P12B_t0024
ko:K14220	elp:P12B_t0026
ko:K14220	elp:P12B_t0025
ko:K16140	elp:P12B_c1469
ko:K16137	elp:P12B_c1432
ko:K14234	elp:P12B_t0074
ko:K14228	elp:P12B_t0080
ko:K02550	elp:P12B_c3070
ko:K02014	elp:P12B_c0137
ko:K05875	elp:P12B_c1199
ko:K00130	elp:P12B_c0331
ko:K07480	elp:P12B_c4382
ko:K07480	elp:P12B_c4363
ko:K07480	elp:P12B_c3993
ko:K07480	elp:P12B_c3860
ko:K07480	elp:P12B_c3858
ko:K07480	elp:P12B_c3789
ko:K07480	elp:P12B_c3373
ko:K07480	elp:P12B_c2497
ko:K07480	elp:P12B_c2493
ko:K07480	elp:P12B_c2326
ko:K07480	elp:P12B_c1468
ko:K07480	elp:P12B_c1407
ko:K07480	elp:P12B_c1260
ko:K07480	elp:P12B_c1183
ko:K07480	elp:P12B_c1158
ko:K07480	elp:P12B_c0740
ko:K07480	elp:P12B_c0629
ko:K07480	elp:P12B_c0543
ko:K07480	elp:P12B_c0523
ko:K07480	elp:P12B_c0381
ko:K07480	elp:P12B_c0202
ko:K07480	elp:P12B_c2643
ko:K07480	elp:P12B_c2424
ko:K07480	elp:P12B_c1968
ko:K07480	elp:P12B_c1963
ko:K07480	elp:P12B_c1619
ko:K07480	elp:P12B_c1141
ko:K07480	elp:P12B_c0738
ko:K07480	elp:P12B_c4401
ko:K07480	elp:P12B_c4303
ko:K14744	elp:P12B_c2459
ko:K09022	elp:P12B_c3229
ko:K00526	elp:P12B_c2330
ko:K00287	elp:P12B_c0043
ko:K16052	elp:P12B_c1763
ko:K14237	elp:P12B_t0015
ko:K14237	elp:P12B_t0017
ko:K14237	elp:P12B_t0043
ko:K14237	elp:P12B_t0041
ko:K14237	elp:P12B_t0042
ko:K14229	elp:P12B_t0014
ko:K14229	elp:P12B_t0016
ko:K14229	elp:P12B_t0018
ko:K14229	elp:P12B_t0019
ko:K14229	elp:P12B_t0020
ko:K14229	elp:P12B_t0044
ko:K14228	elp:P12B_t0030
ko:K14227	elp:P12B_t0001
ko:K14227	elp:P12B_t0068
ko:K14227	elp:P12B_t0059
ko:K14231	elp:P12B_t0053
ko:K14231	elp:P12B_t0076
ko:K14232	elp:P12B_t0060
ko:K14234	elp:P12B_t0071
ko:K03767	elp:P12B_c3462
ko:K03111	elp:P12B_c4164
ko:K14222	elp:P12B_t0029
ko:K14225	elp:P12B_t0028
ko:K14225	elp:P12B_t0078
ko:K14225	elp:P12B_t0079
ko:K14225	elp:P12B_t0077
ko:K14233	elp:P12B_t0021
ko:K14233	elp:P12B_t0036
ko:K14230	elp:P12B_t0009
ko:K14230	elp:P12B_t0013
ko:K14223	elp:P12B_t0007
ko:K14223	elp:P12B_t0008
ko:K14221	elp:P12B_t0003
ko:K14221	elp:P12B_t0004
ko:K14221	elp:P12B_t0062
ko:K01985	elp:P12B_r0004
ko:K01985	elp:P12B_r0008
ko:K01985	elp:P12B_r0022
ko:K01985	elp:P12B_r0013
ko:K01985	elp:P12B_r0016
ko:K01985	elp:P12B_r0003
ko:K01985	elp:P12B_r0019
ko:K01985	elp:P12B_r0007
ko:K14218	elp:P12B_t0002
ko:K14218	elp:P12B_t0069
ko:K14218	elp:P12B_t0058
ko:K07279	elp:P12B_c2325
ko:K05820	elp:P12B_c2636
ko:K05817	elp:P12B_c2637
ko:K02879	elp:P12B_c3391
ko:K03040	elp:P12B_c3392
ko:K02986	elp:P12B_c3394
ko:K02948	elp:P12B_c3395
ko:K02952	elp:P12B_c3396
ko:K02919	elp:P12B_c3397
ko:K03076	elp:P12B_c3398
ko:K02876	elp:P12B_c3399
ko:K02907	elp:P12B_c3400
ko:K02988	elp:P12B_c3401
ko:K02881	elp:P12B_c3402
ko:K02933	elp:P12B_c3403
ko:K02994	elp:P12B_c3404
ko:K02954	elp:P12B_c3405
ko:K02931	elp:P12B_c3406
ko:K02895	elp:P12B_c3408
ko:K02874	elp:P12B_c3409
ko:K02961	elp:P12B_c3410
ko:K02904	elp:P12B_c3411
ko:K02878	elp:P12B_c3412
ko:K02982	elp:P12B_c3413
ko:K02890	elp:P12B_c3414
ko:K02965	elp:P12B_c3415
ko:K02886	elp:P12B_c3416
ko:K02892	elp:P12B_c3417
ko:K02926	elp:P12B_c3418
ko:K02906	elp:P12B_c3419
ko:K02946	elp:P12B_c3420
ko:K02451	elp:P12B_c3421
ko:K02452	elp:P12B_c3423
ko:K02453	elp:P12B_c3427
ko:K02456	elp:P12B_c3430
ko:K02457	elp:P12B_c3431
ko:K02459	elp:P12B_c3433
ko:K02460	elp:P12B_c3434
ko:K02461	elp:P12B_c3435
ko:K02462	elp:P12B_c3436
ko:K03594	elp:P12B_c3438
ko:K02192	elp:P12B_c3439
ko:K02355	elp:P12B_c3442
ko:K02992	elp:P12B_c3443
ko:K02950	elp:P12B_c3444
ko:K14393	elp:P12B_c4177
ko:K01895	elp:P12B_c4178
ko:K03385	elp:P12B_c4179
ko:K04013	elp:P12B_c4180
ko:K04016	elp:P12B_c4183
ko:K11102	elp:P12B_c4186
ko:K15550	elp:P12B_c4190
ko:K15547	elp:P12B_c4191
ko:K15549	elp:P12B_c4192
ko:K01808	elp:P12B_c4194
ko:K06167	elp:P12B_c4196
ko:K09994	elp:P12B_c4197
ko:K05774	elp:P12B_c4198
ko:K06162	elp:P12B_c4199
ko:K05780	elp:P12B_c4200
ko:K05781	elp:P12B_c4201
ko:K06163	elp:P12B_c4202
ko:K06164	elp:P12B_c4203
ko:K06165	elp:P12B_c4204
ko:K06166	elp:P12B_c4205
ko:K02043	elp:P12B_c4206
ko:K02042	elp:P12B_c4207
ko:K02044	elp:P12B_c4208
ko:K02041	elp:P12B_c4209
ko:K03762	elp:P12B_c4214
ko:K07643	elp:P12B_c4215
ko:K03760	elp:P12B_c4217
ko:K03759	elp:P12B_c4218
ko:K03755	elp:P12B_c4219
ko:K01584	elp:P12B_c4220
ko:K07406	elp:P12B_c4222
ko:K08984	elp:P12B_c4224
ko:K01676	elp:P12B_c4225
ko:K10108	elp:P12B_c4140
ko:K07483	elp:P12B_c1568
ko:K02400	elp:P12B_c0218
ko:K02401	elp:P12B_c0219
ko:K02421	elp:P12B_c0220
ko:K02420	elp:P12B_c0221
ko:K02419	elp:P12B_c0222
ko:K02417	elp:P12B_c0223
ko:K02416	elp:P12B_c0224
ko:K02408	elp:P12B_c0226
ko:K02409	elp:P12B_c0227
ko:K02410	elp:P12B_c0228
ko:K02411	elp:P12B_c0229
ko:K02412	elp:P12B_c0230
ko:K02399	elp:P12B_c0235
ko:K02398	elp:P12B_c0236
ko:K02386	elp:P12B_c0237
ko:K02387	elp:P12B_c0238
ko:K02388	elp:P12B_c0239
ko:K02389	elp:P12B_c0240
ko:K02390	elp:P12B_c0241
ko:K02391	elp:P12B_c0242
ko:K02392	elp:P12B_c0243
ko:K02393	elp:P12B_c0244
ko:K02394	elp:P12B_c0245
ko:K02395	elp:P12B_c0246
ko:K02396	elp:P12B_c0247
ko:K02397	elp:P12B_c0248
ko:K02406	elp:P12B_c0251
ko:K02407	elp:P12B_c0252
ko:K02422	elp:P12B_c0253
ko:K02405	elp:P12B_c0257
ko:K02556	elp:P12B_c0258
ko:K02557	elp:P12B_c0259
ko:K02346	elp:P12B_c0260
ko:K02839	elp:P12B_c0264
ko:K02233	elp:P12B_c1026
ko:K00768	elp:P12B_c1027
ko:K13635	elp:P12B_c1030
ko:K01241	elp:P12B_c1033
ko:K13735	elp:P12B_c1036
ko:K13735	elp:P12B_c1042
ko:K09933	elp:P12B_c1047
ko:K07127	elp:P12B_c1053
ko:K05523	elp:P12B_c1056
ko:K06950	elp:P12B_c1063
ko:K07458	elp:P12B_c1065
ko:K09781	elp:P12B_c1067
ko:K07026	elp:P12B_c1070
ko:K07781	elp:P12B_c1071
ko:K02421	elp:P12B_c1072
ko:K02419	elp:P12B_c1073
ko:K02418	elp:P12B_c1074
ko:K02417	elp:P12B_c1075
ko:K02416	elp:P12B_c1076
ko:K10857	elp:P12B_c1882
ko:K10716	elp:P12B_c1890
ko:K06131	elp:P12B_c1891
ko:K09901	elp:P12B_c1892
ko:K15581	elp:P12B_c1896
ko:K15580	elp:P12B_c1897
ko:K04072	elp:P12B_c1899
ko:K02057	elp:P12B_c2647
ko:K05916	elp:P12B_c2653
ko:K07715	elp:P12B_c2655
ko:K07711	elp:P12B_c2657
ko:K01952	elp:P12B_c2658
ko:K11991	elp:P12B_c2660
ko:K00997	elp:P12B_c2664
ko:K03474	elp:P12B_c2665
ko:K03584	elp:P12B_c2666
ko:K03685	elp:P12B_c2668
ko:K03100	elp:P12B_c2669
ko:K03596	elp:P12B_c2670
ko:K03598	elp:P12B_c2672
ko:K03597	elp:P12B_c2673
ko:K03088	elp:P12B_c2674
ko:K00278	elp:P12B_c2675
ko:K05590	elp:P12B_c2677
ko:K11249	elp:P12B_c2679
ko:K03648	elp:P12B_c2681
ko:K03214	elp:P12B_c2682
ko:K03672	elp:P12B_c2683
ko:K00998	elp:P12B_c2686
ko:K03695	elp:P12B_c2688
ko:K05810	elp:P12B_c2689
ko:K06180	elp:P12B_c2690
ko:K05807	elp:P12B_c2691
ko:K05809	elp:P12B_c2692
