ko:K14229	hpyc:HPOKI112_00055
ko:K14233	hpyc:HPOKI112_00735
ko:K14220	hpyc:HPOKI112_01440
ko:K14218	hpyc:HPOKI112_01560
ko:K14232	hpyc:HPOKI112_05510
ko:K14219	hpyc:HPOKI112_02840
ko:K14219	hpyc:HPOKI112_05495
ko:K14219	hpyc:HPOKI112_05500
ko:K14232	hpyc:HPOKI112_02485
ko:K14230	hpyc:HPOKI112_03330
ko:K14230	hpyc:HPOKI112_04725
ko:K14230	hpyc:HPOKI112_06245
ko:K14223	hpyc:HPOKI112_04730
ko:K14225	hpyc:HPOKI112_04970
ko:K14225	hpyc:HPOKI112_06385
ko:K14228	hpyc:HPOKI112_04975
ko:K14228	hpyc:HPOKI112_05745
ko:K14228	hpyc:HPOKI112_06425
ko:K14228	hpyc:HPOKI112_06430
ko:K14222	hpyc:HPOKI112_04980
ko:K14233	hpyc:HPOKI112_04985
ko:K14226	hpyc:HPOKI112_05505
ko:K14234	hpyc:HPOKI112_06380
ko:K14234	hpyc:HPOKI112_06395
ko:K14236	hpyc:HPOKI112_06390
ko:K14231	hpyc:HPOKI112_07750
ko:K01977	hpyc:HPOKI112_07280
ko:K01980	hpyc:HPOKI112_05405
ko:K02483	hpyc:HPOKI112_01125
ko:K06187	hpyc:HPOKI112_04870
ko:K06176	hpyc:HPOKI112_04875
ko:K03799	hpyc:HPOKI112_04880
ko:K01495	hpyc:HPOKI112_04885
ko:K00795	hpyc:HPOKI112_04890
ko:K03787	hpyc:HPOKI112_04895
ko:K01737	hpyc:HPOKI112_04905
ko:K10009	hpyc:HPOKI112_04935
ko:K02424	hpyc:HPOKI112_04940
ko:K01775	hpyc:HPOKI112_04945
ko:K03310	hpyc:HPOKI112_04950
ko:K00285	hpyc:HPOKI112_04955
ko:K09022	hpyc:HPOKI112_04960
ko:K03545	hpyc:HPOKI112_03055
ko:K01358	hpyc:HPOKI112_03060
ko:K01462	hpyc:HPOKI112_03065
ko:K07391	hpyc:HPOKI112_03070
ko:K01534	hpyc:HPOKI112_03075
ko:K01154	hpyc:HPOKI112_03080
ko:K02004	hpyc:HPOKI112_03095
ko:K03070	hpyc:HPOKI112_03100
ko:K03634	hpyc:HPOKI112_03105
ko:K01682	hpyc:HPOKI112_03135
ko:K11782	hpyc:HPOKI112_03140
ko:K09903	hpyc:HPOKI112_03145
ko:K03060	hpyc:HPOKI112_03150
ko:K01866	hpyc:HPOKI112_03160
ko:K00459	hpyc:HPOKI112_03165
ko:K01448	hpyc:HPOKI112_03170
ko:K02401	hpyc:HPOKI112_03180
ko:K03752	hpyc:HPOKI112_03185
ko:K03639	hpyc:HPOKI112_03190
ko:K06940	hpyc:HPOKI112_03215
ko:K03110	hpyc:HPOKI112_03220
ko:K18682	hpyc:HPOKI112_03235
ko:K07084	hpyc:HPOKI112_03245
ko:K12251	hpyc:HPOKI112_03255
ko:K02422	hpyc:HPOKI112_03275
ko:K02407	hpyc:HPOKI112_03280
ko:K06603	hpyc:HPOKI112_03285
ko:K09811	hpyc:HPOKI112_03295
ko:K09812	hpyc:HPOKI112_03300
ko:K03439	hpyc:HPOKI112_03305
ko:K06180	hpyc:HPOKI112_03315
ko:K07337	hpyc:HPOKI112_07380
ko:K06178	hpyc:HPOKI112_07390
ko:K02337	hpyc:HPOKI112_07395
ko:K00428	hpyc:HPOKI112_07400
ko:K18480	hpyc:HPOKI112_07410
ko:K02067	hpyc:HPOKI112_07415
ko:K02066	hpyc:HPOKI112_07425
ko:K00826	hpyc:HPOKI112_07440
ko:K02242	hpyc:HPOKI112_07465
ko:K00943	hpyc:HPOKI112_07470
ko:K00954	hpyc:HPOKI112_07475
ko:K03186	hpyc:HPOKI112_07480
ko:K02386	hpyc:HPOKI112_07485
ko:K03657	hpyc:HPOKI112_07490
ko:K01875	hpyc:HPOKI112_07500
ko:K03602	hpyc:HPOKI112_07510
ko:K03183	hpyc:HPOKI112_07515
ko:K08973	hpyc:HPOKI112_07520
ko:K01992	hpyc:HPOKI112_07535
ko:K01993	hpyc:HPOKI112_07540
ko:K03306	hpyc:HPOKI112_07555
ko:K01928	hpyc:HPOKI112_07570
ko:K00616	hpyc:HPOKI112_07575
ko:K02897	hpyc:HPOKI112_07580
ko:K01056	hpyc:HPOKI112_07585
ko:K11720	hpyc:HPOKI112_07590
ko:K09943	hpyc:HPOKI112_07610
ko:K17686	hpyc:HPOKI112_07615
ko:K11752	hpyc:HPOKI112_07625
ko:K03312	hpyc:HPOKI112_07630
ko:K00948	hpyc:HPOKI112_03335
ko:K01929	hpyc:HPOKI112_03345
ko:K01921	hpyc:HPOKI112_03355
ko:K01095	hpyc:HPOKI112_03360
ko:K00769	hpyc:HPOKI112_03370
ko:K04075	hpyc:HPOKI112_03405
ko:K05540	hpyc:HPOKI112_03410
ko:K15848	hpyc:HPOKI112_03420
ko:K07791	hpyc:HPOKI112_03425
ko:K01424	hpyc:HPOKI112_03430
ko:K06895	hpyc:HPOKI112_03460
ko:K02343	hpyc:HPOKI112_03465
ko:K06925	hpyc:HPOKI112_03470
ko:K06861	hpyc:HPOKI112_03475
ko:K03092	hpyc:HPOKI112_03480
ko:K07023	hpyc:HPOKI112_03485
ko:K03438	hpyc:HPOKI112_03505
ko:K03701	hpyc:HPOKI112_03515
ko:K02469	hpyc:HPOKI112_03535
ko:K00901	hpyc:HPOKI112_03540
ko:K10856	hpyc:HPOKI112_03555
ko:K02106	hpyc:HPOKI112_03575
ko:K01029	hpyc:HPOKI112_03580
ko:K01028	hpyc:HPOKI112_03585
ko:K00626	hpyc:HPOKI112_03590
ko:K00290	hpyc:HPOKI112_07635
ko:K08591	hpyc:HPOKI112_07645
ko:K01633	hpyc:HPOKI112_07650
ko:K02014	hpyc:HPOKI112_07660
ko:K01042	hpyc:HPOKI112_07670
ko:K02600	hpyc:HPOKI112_07675
ko:K01156	hpyc:HPOKI112_07720
ko:K03655	hpyc:HPOKI112_07730
ko:K01142	hpyc:HPOKI112_07745
ko:K02313	hpyc:HPOKI112_07760
ko:K00820	hpyc:HPOKI112_07775
ko:K01154	hpyc:HPOKI112_07790
ko:K03427	hpyc:HPOKI112_07795
ko:K01153	hpyc:HPOKI112_07800
ko:K07043	hpyc:HPOKI112_07805
ko:K16091	hpyc:HPOKI112_07810
ko:K01476	hpyc:HPOKI112_07820
ko:K00259	hpyc:HPOKI112_07825
ko:K00858	hpyc:HPOKI112_07845
ko:K03631	hpyc:HPOKI112_07850
ko:K07126	hpyc:HPOKI112_07865
ko:K02342	hpyc:HPOKI112_07870
