ko:K19405	ctch:O173_03730
ko:K03559	ctch:O173_03275
ko:K00813	ctch:O173_03510
ko:K01934	ctch:O173_03570
ko:K00970	ctch:O173_03900
ko:K01596	ctch:O173_03940
ko:K00972	ctch:O173_03965
ko:K01834	ctch:O173_04005
ko:K01719	ctch:O173_02375
ko:K00380	ctch:O173_02385
ko:K01885	ctch:O173_02440
ko:K07098	ctch:O173_02530
ko:K02342	ctch:O173_02960
ko:K07258	ctch:O173_03045
ko:K03227	ctch:O173_03110
ko:K03856	ctch:O173_02090
ko:K00970	ctch:O173_02235
ko:K09815	ctch:O173_02265
ko:K08483	ctch:O173_01830
ko:K11189	ctch:O173_01835
ko:K00784	ctch:O173_01885
ko:K06910	ctch:O173_04075
ko:K07117	ctch:O173_04080
ko:K01507	ctch:O173_04310
ko:K02342	ctch:O173_01420
ko:K02806	ctch:O173_01570
ko:K02806	ctch:O173_01575
ko:K02124	ctch:O173_01635
ko:K02123	ctch:O173_01640
ko:K02120	ctch:O173_01645
ko:K02118	ctch:O173_01650
ko:K02117	ctch:O173_01655
ko:K02121	ctch:O173_01665
ko:K00616	ctch:O173_01680
ko:K02033	ctch:O173_02640
ko:K02035	ctch:O173_02645
ko:K02030	ctch:O173_02690
ko:K00567	ctch:O173_02630
ko:K02454	ctch:O173_03150
ko:K01262	ctch:O173_03165
ko:K07315	ctch:O173_03235
ko:K00241	ctch:O173_03255
ko:K03386	ctch:O173_03305
ko:K02428	ctch:O173_03325
ko:K14230	ctch:O173_01775
ko:K14230	ctch:O173_01120
ko:K14221	ctch:O173_01200
ko:K14237	ctch:O173_01205
ko:K14235	ctch:O173_01725
ko:K14233	ctch:O173_01950
ko:K14233	ctch:O173_02260
ko:K14233	ctch:O173_02750
ko:K14231	ctch:O173_02295
ko:K14228	ctch:O173_02560
ko:K14228	ctch:O173_02600
ko:K14228	ctch:O173_02795
ko:K14224	ctch:O173_03745
ko:K14227	ctch:O173_00975
ko:K14228	ctch:O173_02975
ko:K14232	ctch:O173_03470
ko:K09816	ctch:O173_02275
ko:K03979	ctch:O173_02280
ko:K02899	ctch:O173_02285
ko:K02888	ctch:O173_02290
ko:K07042	ctch:O173_02315
ko:K03183	ctch:O173_02345
ko:K01778	ctch:O173_02355
ko:K01358	ctch:O173_02360
ko:K00600	ctch:O173_02365
ko:K01770	ctch:O173_02380
ko:K02946	ctch:O173_02390
ko:K02355	ctch:O173_02395
ko:K02992	ctch:O173_02400
ko:K02950	ctch:O173_02405
ko:K03797	ctch:O173_02415
