ko:K07456	ppq:PPSQR21_026280
ko:K01212	ppq:PPSQR21_007320
ko:K21613	ppq:PPSQR21_021760
ko:K19540	ppq:PPSQR21_005270
ko:K01971	ppq:PPSQR21_003370
ko:K19551	ppq:PPSQR21_009310
ko:K22278	ppq:PPSQR21_029340
ko:K18929	ppq:PPSQR21_022440
ko:K03297	ppq:PPSQR21_050810
ko:K08153	ppq:PPSQR21_042340
ko:K22109	ppq:PPSQR21_012690
ko:K15634	ppq:PPSQR21_028890
ko:K18926	ppq:PPSQR21_025830
ko:K07155	ppq:PPSQR21_025760
ko:K01732	ppq:PPSQR21_015120
ko:K07464	ppq:PPSQR21_020880
ko:K14225	ppq:PPSQR21_003680
ko:K14225	ppq:PPSQR21_004760
ko:K14225	ppq:PPSQR21_044820
ko:K14225	ppq:PPSQR21_038800
ko:K14225	ppq:PPSQR21_042450
ko:K18926	ppq:PPSQR21_051060
ko:K18939	ppq:PPSQR21_025820
ko:K14226	ppq:PPSQR21_003640
ko:K14226	ppq:PPSQR21_042470
ko:K14228	ppq:PPSQR21_003670
ko:K14228	ppq:PPSQR21_017330
ko:K14228	ppq:PPSQR21_018180
ko:K14228	ppq:PPSQR21_004750
ko:K14228	ppq:PPSQR21_044830
ko:K14228	ppq:PPSQR21_004780
ko:K14228	ppq:PPSQR21_038780
ko:K14228	ppq:PPSQR21_012940
ko:K14228	ppq:PPSQR21_012990
ko:K01992	ppq:PPSQR21_028130
ko:K07012	ppq:PPSQR21_020830
ko:K08221	ppq:PPSQR21_007110
ko:K21472	ppq:PPSQR21_041830
ko:K07149	ppq:PPSQR21_024340
ko:K19576	ppq:PPSQR21_002540
ko:K22579	ppq:PPSQR21_025160
ko:K07258	ppq:PPSQR21_000890
ko:K06215	ppq:PPSQR21_000900
ko:K08681	ppq:PPSQR21_000910
ko:K01875	ppq:PPSQR21_000920
ko:K06433	ppq:PPSQR21_000960
ko:K03790	ppq:PPSQR21_000980
ko:K11991	ppq:PPSQR21_000990
ko:K06182	ppq:PPSQR21_001010
ko:K02557	ppq:PPSQR21_001020
ko:K02556	ppq:PPSQR21_001030
ko:K01724	ppq:PPSQR21_001050
ko:K00797	ppq:PPSQR21_001190
ko:K06147	ppq:PPSQR21_001210
ko:K01887	ppq:PPSQR21_001250
ko:K02010	ppq:PPSQR21_001280
ko:K02012	ppq:PPSQR21_001290
ko:K02011	ppq:PPSQR21_001300
ko:K03048	ppq:PPSQR21_001330
ko:K01937	ppq:PPSQR21_001340
ko:K02490	ppq:PPSQR21_001350
ko:K01624	ppq:PPSQR21_001360
ko:K00790	ppq:PPSQR21_001370
ko:K03628	ppq:PPSQR21_001380
ko:K02909	ppq:PPSQR21_001400
ko:K02343	ppq:PPSQR21_001410
ko:K01972	ppq:PPSQR21_045740
ko:K03657	ppq:PPSQR21_045750
ko:K07094	ppq:PPSQR21_045760
ko:K01126	ppq:PPSQR21_045770
ko:K00067	ppq:PPSQR21_045810
ko:K01790	ppq:PPSQR21_045830
ko:K00973	ppq:PPSQR21_045860
ko:K01953	ppq:PPSQR21_045900
ko:K00963	ppq:PPSQR21_045970
ko:K08303	ppq:PPSQR21_046000
ko:K00657	ppq:PPSQR21_046010
ko:K00366	ppq:PPSQR21_046040
ko:K03701	ppq:PPSQR21_046060
ko:K03702	ppq:PPSQR21_046070
ko:K02556	ppq:PPSQR21_046080
ko:K02557	ppq:PPSQR21_046090
ko:K03797	ppq:PPSQR21_046170
ko:K02030	ppq:PPSQR21_047770
ko:K02028	ppq:PPSQR21_047780
ko:K02029	ppq:PPSQR21_047790
ko:K02029	ppq:PPSQR21_047800
ko:K03321	ppq:PPSQR21_047810
ko:K03688	ppq:PPSQR21_047830
ko:K09992	ppq:PPSQR21_047850
ko:K06284	ppq:PPSQR21_047860
ko:K02224	ppq:PPSQR21_047870
ko:K02189	ppq:PPSQR21_047880
ko:K05936	ppq:PPSQR21_047890
ko:K03394	ppq:PPSQR21_047900
ko:K00595	ppq:PPSQR21_047910
ko:K02188	ppq:PPSQR21_047920
ko:K06042	ppq:PPSQR21_047930
ko:K05895	ppq:PPSQR21_047940
ko:K06966	ppq:PPSQR21_047970
ko:K01719	ppq:PPSQR21_047980
ko:K06297	ppq:PPSQR21_048010
ko:K06295	ppq:PPSQR21_048020
ko:K06911	ppq:PPSQR21_048040
ko:K03406	ppq:PPSQR21_048070
ko:K07658	ppq:PPSQR21_048110
ko:K09825	ppq:PPSQR21_048120
ko:K06296	ppq:PPSQR21_048140
ko:K06296	ppq:PPSQR21_048150
ko:K06297	ppq:PPSQR21_048160
ko:K06295	ppq:PPSQR21_048170
ko:K01951	ppq:PPSQR21_008010
ko:K01153	ppq:PPSQR21_008020
ko:K03427	ppq:PPSQR21_008040
ko:K01154	ppq:PPSQR21_008050
ko:K06901	ppq:PPSQR21_008110
ko:K00648	ppq:PPSQR21_008150
ko:K01424	ppq:PPSQR21_008180
ko:K01588	ppq:PPSQR21_008220
ko:K01589	ppq:PPSQR21_008230
ko:K01756	ppq:PPSQR21_008240
ko:K01923	ppq:PPSQR21_008260
ko:K01952	ppq:PPSQR21_008270
ko:K01952	ppq:PPSQR21_008280
ko:K01952	ppq:PPSQR21_008290
ko:K00764	ppq:PPSQR21_008300
ko:K01933	ppq:PPSQR21_008320
ko:K11175	ppq:PPSQR21_008330
ko:K00602	ppq:PPSQR21_008340
ko:K01945	ppq:PPSQR21_008350
ko:K02424	ppq:PPSQR21_008370
ko:K10009	ppq:PPSQR21_008380
ko:K07397	ppq:PPSQR21_008400
ko:K02015	ppq:PPSQR21_008410
ko:K02015	ppq:PPSQR21_008420
ko:K02016	ppq:PPSQR21_008430
ko:K06999	ppq:PPSQR21_008500
ko:K06434	ppq:PPSQR21_008510
ko:K17234	ppq:PPSQR21_008520
ko:K14189	ppq:PPSQR21_035500
ko:K02016	ppq:PPSQR21_035540
ko:K03406	ppq:PPSQR21_035680
ko:K03406	ppq:PPSQR21_035780
ko:K07002	ppq:PPSQR21_035790
ko:K01191	ppq:PPSQR21_035800
ko:K09704	ppq:PPSQR21_035820
ko:K01191	ppq:PPSQR21_035830
ko:K05349	ppq:PPSQR21_035840
ko:K17320	ppq:PPSQR21_035850
ko:K17319	ppq:PPSQR21_035860
ko:K17318	ppq:PPSQR21_035870
ko:K07720	ppq:PPSQR21_035880
ko:K10119	ppq:PPSQR21_036990
ko:K10118	ppq:PPSQR21_037000
ko:K10117	ppq:PPSQR21_037010
ko:K07718	ppq:PPSQR21_037030
ko:K03475	ppq:PPSQR21_037060
ko:K02525	ppq:PPSQR21_037070
ko:K00128	ppq:PPSQR21_037100
ko:K01728	ppq:PPSQR21_037180
ko:K15583	ppq:PPSQR21_037190
ko:K07775	ppq:PPSQR21_037210
ko:K00209	ppq:PPSQR21_037240
ko:K13276	ppq:PPSQR21_037290
ko:K13276	ppq:PPSQR21_037300
ko:K03321	ppq:PPSQR21_037310
ko:K14415	ppq:PPSQR21_037330
ko:K08153	ppq:PPSQR21_037350
ko:K10010	ppq:PPSQR21_037360
ko:K10009	ppq:PPSQR21_037370
ko:K03611	ppq:PPSQR21_004910
ko:K14205	ppq:PPSQR21_004930
ko:K08153	ppq:PPSQR21_004960
ko:K07404	ppq:PPSQR21_004970
ko:K07118	ppq:PPSQR21_005010
ko:K17758	ppq:PPSQR21_005020
ko:K17759	ppq:PPSQR21_005020
ko:K05306	ppq:PPSQR21_005040
ko:K03406	ppq:PPSQR21_005050
ko:K02371	ppq:PPSQR21_005170
ko:K01476	ppq:PPSQR21_005180
ko:K10709	ppq:PPSQR21_005260
ko:K12308	ppq:PPSQR21_006910
ko:K07718	ppq:PPSQR21_006920
ko:K07720	ppq:PPSQR21_006930
ko:K10117	ppq:PPSQR21_006940
ko:K10118	ppq:PPSQR21_006950
ko:K10119	ppq:PPSQR21_006960
ko:K01218	ppq:PPSQR21_006970
ko:K00375	ppq:PPSQR21_007050
ko:K00355	ppq:PPSQR21_007180
ko:K06284	ppq:PPSQR21_007190
ko:K16785	ppq:PPSQR21_007270
ko:K16925	ppq:PPSQR21_007280
ko:K16786	ppq:PPSQR21_007290
ko:K16787	ppq:PPSQR21_007290
ko:K00692	ppq:PPSQR21_007310
ko:K15973	ppq:PPSQR21_007330
ko:K06439	ppq:PPSQR21_007360
ko:K03710	ppq:PPSQR21_007410
ko:K12574	ppq:PPSQR21_007440
ko:K02217	ppq:PPSQR21_023640
ko:K01895	ppq:PPSQR21_023680
ko:K06296	ppq:PPSQR21_023780
ko:K06297	ppq:PPSQR21_023790
ko:K06295	ppq:PPSQR21_023800
ko:K01259	ppq:PPSQR21_023850
ko:K01560	ppq:PPSQR21_023860
ko:K07407	ppq:PPSQR21_023880
ko:K02529	ppq:PPSQR21_023890
ko:K07718	ppq:PPSQR21_023900
ko:K07720	ppq:PPSQR21_023910
ko:K10117	ppq:PPSQR21_023920
ko:K10118	ppq:PPSQR21_023930
ko:K10119	ppq:PPSQR21_023940
ko:K02424	ppq:PPSQR21_037380
ko:K01060	ppq:PPSQR21_037410
ko:K05520	ppq:PPSQR21_038540
ko:K07560	ppq:PPSQR21_038560
ko:K00951	ppq:PPSQR21_038570
ko:K02824	ppq:PPSQR21_038580
ko:K03406	ppq:PPSQR21_038590
ko:K00759	ppq:PPSQR21_038600
ko:K07462	ppq:PPSQR21_038610
ko:K12257	ppq:PPSQR21_038630
ko:K12257	ppq:PPSQR21_038640
ko:K06409	ppq:PPSQR21_038660
ko:K03210	ppq:PPSQR21_038690
ko:K00773	ppq:PPSQR21_038700
ko:K07568	ppq:PPSQR21_038710
ko:K06381	ppq:PPSQR21_038720
ko:K03551	ppq:PPSQR21_038730
ko:K03550	ppq:PPSQR21_038740
ko:K01159	ppq:PPSQR21_038750
ko:K06318	ppq:PPSQR21_038760
ko:K06370	ppq:PPSQR21_038910
ko:K00826	ppq:PPSQR21_038920
ko:K04518	ppq:PPSQR21_038930
ko:K00872	ppq:PPSQR21_038940
ko:K00003	ppq:PPSQR21_038950
ko:K06209	ppq:PPSQR21_038960
ko:K03979	ppq:PPSQR21_038970
ko:K02899	ppq:PPSQR21_038990
ko:K07584	ppq:PPSQR21_039000
ko:K03406	ppq:PPSQR21_040050
ko:K00563	ppq:PPSQR21_040080
ko:K01994	ppq:PPSQR21_040120
ko:K07224	ppq:PPSQR21_040130
ko:K16301	ppq:PPSQR21_040140
ko:K07243	ppq:PPSQR21_040150
ko:K01586	ppq:PPSQR21_040160
ko:K01992	ppq:PPSQR21_040200
ko:K01992	ppq:PPSQR21_040210
ko:K01990	ppq:PPSQR21_040220
ko:K02564	ppq:PPSQR21_040290
ko:K01443	ppq:PPSQR21_040300
ko:K01992	ppq:PPSQR21_040380
ko:K01990	ppq:PPSQR21_040390
ko:K02755	ppq:PPSQR21_040440
ko:K02756	ppq:PPSQR21_040440
ko:K02757	ppq:PPSQR21_040440
ko:K05350	ppq:PPSQR21_040520
ko:K01784	ppq:PPSQR21_040530
ko:K07476	ppq:PPSQR21_041630
ko:K07038	ppq:PPSQR21_041650
ko:K01867	ppq:PPSQR21_041690
ko:K09766	ppq:PPSQR21_041760
ko:K06886	ppq:PPSQR21_041770
ko:K00858	ppq:PPSQR21_041800
ko:K03644	ppq:PPSQR21_041820
ko:K02026	ppq:PPSQR21_041860
ko:K02025	ppq:PPSQR21_041870
ko:K02027	ppq:PPSQR21_041880
ko:K07718	ppq:PPSQR21_041890
ko:K07720	ppq:PPSQR21_041900
ko:K01247	ppq:PPSQR21_041920
ko:K13531	ppq:PPSQR21_041940
ko:K13530	ppq:PPSQR21_041950
ko:K03310	ppq:PPSQR21_041960
ko:K02755	ppq:PPSQR21_041970
ko:K02756	ppq:PPSQR21_041970
ko:K02757	ppq:PPSQR21_041970
ko:K03488	ppq:PPSQR21_041980
ko:K01223	ppq:PPSQR21_041990
ko:K00615	ppq:PPSQR21_042010
ko:K00615	ppq:PPSQR21_042020
ko:K00864	ppq:PPSQR21_042030
ko:K03491	ppq:PPSQR21_042040
ko:K02759	ppq:PPSQR21_042050
ko:K02760	ppq:PPSQR21_042060
ko:K02761	ppq:PPSQR21_042070
ko:K03088	ppq:PPSQR21_042090
ko:K00426	ppq:PPSQR21_043160
ko:K00425	ppq:PPSQR21_043170
ko:K11733	ppq:PPSQR21_043230
ko:K04758	ppq:PPSQR21_043260
