ko:K18138	seec:CFSAN002050_08980
ko:K18923	seec:CFSAN002050_14135
ko:K10906	seec:CFSAN002050_11390
ko:K19504	seec:CFSAN002050_06180
ko:K03297	seec:CFSAN002050_14685
ko:K19595	seec:CFSAN002050_08350
ko:K01990	seec:CFSAN002050_10635
ko:K08348	seec:CFSAN002050_14250
ko:K02345	seec:CFSAN002050_15845
ko:K07481	seec:CFSAN002050_22005
ko:K03111	seec:CFSAN002050_04510
ko:K03111	seec:CFSAN002050_04105
ko:K03111	seec:CFSAN002050_22380
ko:K02031	seec:CFSAN002050_12685
ko:K07480	seec:CFSAN002050_22010
ko:K03111	seec:CFSAN002050_16275
ko:K18968	seec:CFSAN002050_08520
ko:K06148	seec:CFSAN002050_04540
ko:K18984	seec:CFSAN002050_13375
ko:K01791	seec:CFSAN002050_02485
ko:K19611	seec:CFSAN002050_20170
ko:K00526	seec:CFSAN002050_18315
ko:K00287	seec:CFSAN002050_06885
ko:K02495	seec:CFSAN002050_02895
ko:K19221	seec:CFSAN002050_15060
ko:K00254	seec:CFSAN002050_11685
ko:K01175	seec:CFSAN002050_10095
ko:K13654	seec:CFSAN002050_14340
ko:K01139	seec:CFSAN002050_01630
ko:K07274	seec:CFSAN002050_12825
ko:K19230	seec:CFSAN002050_14940
ko:K18816	seec:CFSAN002050_14495
ko:K07012	seec:CFSAN002050_21035
ko:K01420	seec:CFSAN002050_14725
ko:K03604	seec:CFSAN002050_13545
ko:K09477	seec:CFSAN002050_09700
ko:K03559	seec:CFSAN002050_22735
ko:K00040	seec:CFSAN002050_22625
ko:K00151	seec:CFSAN002050_11905
ko:K07245	seec:CFSAN002050_22030
ko:K04017	seec:CFSAN002050_04645
ko:K03779	seec:CFSAN002050_23745
ko:K00821	seec:CFSAN002050_24305
ko:K00951	seec:CFSAN002050_21140
ko:K17713	seec:CFSAN002050_19550
ko:K03417	seec:CFSAN002050_08430
ko:K06075	seec:CFSAN002050_13615
ko:K08302	seec:CFSAN002050_23245
ko:K05539	seec:CFSAN002050_04450
ko:K01775	seec:CFSAN002050_04470
ko:K00832	seec:CFSAN002050_04475
ko:K03788	seec:CFSAN002050_04480
ko:K03701	seec:CFSAN002050_04505
ko:K13631	seec:CFSAN002050_04560
ko:K13639	seec:CFSAN002050_04565
ko:K06901	seec:CFSAN002050_04575
ko:K14393	seec:CFSAN002050_04605
ko:K01895	seec:CFSAN002050_04615
ko:K03385	seec:CFSAN002050_04620
ko:K04013	seec:CFSAN002050_04625
ko:K04014	seec:CFSAN002050_04630
ko:K04016	seec:CFSAN002050_04640
ko:K11102	seec:CFSAN002050_04655
ko:K09994	seec:CFSAN002050_04680
ko:K06193	seec:CFSAN002050_04690
ko:K03762	seec:CFSAN002050_04695
ko:K00286	seec:CFSAN002050_08525
ko:K09768	seec:CFSAN002050_08530
ko:K00891	seec:CFSAN002050_08535
ko:K14591	seec:CFSAN002050_08545
ko:K09913	seec:CFSAN002050_08550
ko:K03554	seec:CFSAN002050_08555
ko:K00847	seec:CFSAN002050_08560
ko:K03547	seec:CFSAN002050_08575
ko:K07636	seec:CFSAN002050_08590
ko:K03311	seec:CFSAN002050_08595
ko:K11736	seec:CFSAN002050_08600
ko:K08682	seec:CFSAN002050_08615
ko:K07568	seec:CFSAN002050_08620
ko:K00773	seec:CFSAN002050_08625
ko:K03210	seec:CFSAN002050_08630
ko:K03072	seec:CFSAN002050_08635
ko:K03074	seec:CFSAN002050_08640
ko:K06996	seec:CFSAN002050_08645
ko:K05517	seec:CFSAN002050_08665
ko:K07738	seec:CFSAN002050_08675
ko:K11752	seec:CFSAN002050_08680
ko:K00794	seec:CFSAN002050_08685
ko:K03625	seec:CFSAN002050_08690
ko:K00946	seec:CFSAN002050_08695
ko:K01095	seec:CFSAN002050_08700
ko:K01662	seec:CFSAN002050_08710
ko:K00795	seec:CFSAN002050_08715
ko:K03602	seec:CFSAN002050_08720
ko:K03151	seec:CFSAN002050_08725
ko:K11082	seec:CFSAN002050_08730
ko:K11083	seec:CFSAN002050_08735
ko:K11084	seec:CFSAN002050_08740
ko:K11081	seec:CFSAN002050_08745
ko:K07637	seec:CFSAN002050_12540
ko:K01756	seec:CFSAN002050_12550
ko:K07153	seec:CFSAN002050_12555
ko:K00566	seec:CFSAN002050_12560
ko:K12152	seec:CFSAN002050_12565
ko:K06181	seec:CFSAN002050_12575
ko:K00031	seec:CFSAN002050_12580
ko:K03704	seec:CFSAN002050_12610
ko:K07804	seec:CFSAN002050_12625
ko:K04080	seec:CFSAN002050_12650
ko:K02034	seec:CFSAN002050_12680
ko:K11250	seec:CFSAN002050_12740
ko:K09712	seec:CFSAN002050_12765
ko:K00995	seec:CFSAN002050_16540
ko:K03703	seec:CFSAN002050_16545
ko:K07689	seec:CFSAN002050_16550
ko:K10010	seec:CFSAN002050_16570
ko:K10009	seec:CFSAN002050_16575
ko:K02424	seec:CFSAN002050_16585
ko:K02425	seec:CFSAN002050_16590
ko:K02405	seec:CFSAN002050_16595
ko:K02406	seec:CFSAN002050_16605
ko:K02407	seec:CFSAN002050_16615
ko:K02422	seec:CFSAN002050_16620
ko:K02423	seec:CFSAN002050_16625
ko:K07112	seec:CFSAN002050_16640
ko:K02408	seec:CFSAN002050_16655
ko:K02409	seec:CFSAN002050_16660
ko:K02410	seec:CFSAN002050_16665
ko:K02411	seec:CFSAN002050_16670
ko:K02412	seec:CFSAN002050_16675
ko:K02413	seec:CFSAN002050_16680
ko:K02415	seec:CFSAN002050_16690
ko:K02416	seec:CFSAN002050_16695
ko:K02417	seec:CFSAN002050_16700
ko:K02418	seec:CFSAN002050_16705
ko:K02419	seec:CFSAN002050_16710
ko:K02420	seec:CFSAN002050_16715
ko:K02421	seec:CFSAN002050_16720
ko:K07781	seec:CFSAN002050_16725
ko:K07026	seec:CFSAN002050_16740
ko:K09781	seec:CFSAN002050_16755
ko:K07458	seec:CFSAN002050_16765
ko:K06950	seec:CFSAN002050_16775
ko:K02467	seec:CFSAN002050_20490
ko:K12266	seec:CFSAN002050_20495
ko:K12264	seec:CFSAN002050_20500
ko:K12265	seec:CFSAN002050_20505
ko:K04656	seec:CFSAN002050_20510
ko:K05796	seec:CFSAN002050_20515
ko:K08315	seec:CFSAN002050_20525
ko:K15834	seec:CFSAN002050_20530
ko:K15832	seec:CFSAN002050_20535
ko:K15831	seec:CFSAN002050_20540
ko:K15830	seec:CFSAN002050_20545
ko:K15829	seec:CFSAN002050_20550
ko:K15828	seec:CFSAN002050_20555
ko:K15827	seec:CFSAN002050_20560
ko:K15833	seec:CFSAN002050_20565
ko:K04651	seec:CFSAN002050_20570
ko:K04653	seec:CFSAN002050_20580
