ko:K00887	lcx:LCA12A_0848
ko:K19973	lcx:LCA12A_1924
ko:K03483	lcx:LCA12A_0596
ko:K02003	lcx:LCA12A_2144
ko:K02004	lcx:LCA12A_2144
ko:K01101	lcx:LCA12A_0659
ko:K02476	lcx:LCA12A_0559
ko:K00634	lcx:LCA12A_1642
ko:K01271	lcx:LCA12A_0808
ko:K03328	lcx:LCA12A_0218
ko:K19225	lcx:LCA12A_2579
ko:K01265	lcx:LCA12A_2376
ko:K00938	lcx:LCA12A_2380
ko:K00963	lcx:LCA12A_2381
ko:K07483	lcx:LCA12A_0978
ko:K03704	lcx:LCA12A_0970
ko:K03816	lcx:LCA12A_0967
ko:K16169	lcx:LCA12A_0966
ko:K01589	lcx:LCA12A_0965
ko:K01756	lcx:LCA12A_0964
ko:K19005	lcx:LCA12A_0961
ko:K05340	lcx:LCA12A_0959
ko:K01810	lcx:LCA12A_0958
ko:K03523	lcx:LCA12A_0955
ko:K03111	lcx:LCA12A_0937
ko:K15051	lcx:LCA12A_1348
ko:K03810	lcx:LCA12A_1351
ko:K01990	lcx:LCA12A_1425
ko:K01992	lcx:LCA12A_1426
ko:K01607	lcx:LCA12A_1429
ko:K00799	lcx:LCA12A_1432
ko:K07693	lcx:LCA12A_1438
ko:K07778	lcx:LCA12A_1439
ko:K01992	lcx:LCA12A_1440
ko:K01990	lcx:LCA12A_1441
ko:K06959	lcx:LCA12A_1445
ko:K02986	lcx:LCA12A_1448
ko:K06286	lcx:LCA12A_1450
ko:K04487	lcx:LCA12A_1451
ko:K03151	lcx:LCA12A_1452
ko:K01926	lcx:LCA12A_1453
ko:K01873	lcx:LCA12A_1454
ko:K11754	lcx:LCA12A_1455
ko:K02086	lcx:LCA12A_0822
ko:K01893	lcx:LCA12A_0823
ko:K01823	lcx:LCA12A_0831
ko:K16898	lcx:LCA12A_0827
ko:K16899	lcx:LCA12A_0828
ko:K00869	lcx:LCA12A_0829
ko:K01821	lcx:LCA12A_0836
ko:K01597	lcx:LCA12A_0830
ko:K03630	lcx:LCA12A_1457
ko:K03569	lcx:LCA12A_1458
ko:K03570	lcx:LCA12A_1459
ko:K03571	lcx:LCA12A_1460
ko:K03610	lcx:LCA12A_1461
ko:K03609	lcx:LCA12A_1462
ko:K02029	lcx:LCA12A_1463
ko:K02028	lcx:LCA12A_1464
ko:K02030	lcx:LCA12A_1465
ko:K06131	lcx:LCA12A_1466
ko:K03925	lcx:LCA12A_1469
ko:K03438	lcx:LCA12A_1470
ko:K08724	lcx:LCA12A_1472
ko:K01000	lcx:LCA12A_1473
ko:K01925	lcx:LCA12A_1474
ko:K02563	lcx:LCA12A_1475
ko:K12574	lcx:LCA12A_1527
ko:K02358	lcx:LCA12A_1529
ko:K11085	lcx:LCA12A_1530
ko:K03545	lcx:LCA12A_1531
ko:K03544	lcx:LCA12A_1532
ko:K03978	lcx:LCA12A_1533
ko:K02029	lcx:LCA12A_1536
ko:K02030	lcx:LCA12A_1536
ko:K02028	lcx:LCA12A_1537
ko:K03703	lcx:LCA12A_1538
ko:K02768	lcx:LCA12A_1539
ko:K02769	lcx:LCA12A_1539
ko:K02770	lcx:LCA12A_1539
ko:K00882	lcx:LCA12A_1540
ko:K03436	lcx:LCA12A_1541
ko:K03979	lcx:LCA12A_1542
ko:K00784	lcx:LCA12A_1544
ko:K07124	lcx:LCA12A_1545
ko:K03695	lcx:LCA12A_1547
ko:K02911	lcx:LCA12A_1548
ko:K01119	lcx:LCA12A_1550
ko:K02337	lcx:LCA12A_1553
ko:K00850	lcx:LCA12A_1554
ko:K00873	lcx:LCA12A_1555
ko:K00243	lcx:LCA12A_1557
ko:K04763	lcx:LCA12A_1558
ko:K02859	lcx:LCA12A_1559
ko:K05896	lcx:LCA12A_1560
ko:K06024	lcx:LCA12A_1561
ko:K06178	lcx:LCA12A_1562
ko:K05337	lcx:LCA12A_1564
ko:K03654	lcx:LCA12A_1566
ko:K00945	lcx:LCA12A_1568
ko:K02945	lcx:LCA12A_1569
ko:K03977	lcx:LCA12A_1570
ko:K03530	lcx:LCA12A_1571
ko:K00974	lcx:LCA12A_1574
ko:K15738	lcx:LCA12A_1576
ko:K11068	lcx:LCA12A_1579
ko:K07304	lcx:LCA12A_1583
ko:K03797	lcx:LCA12A_1585
ko:K14540	lcx:LCA12A_1594
ko:K03470	lcx:LCA12A_1595
ko:K04096	lcx:LCA12A_1596
ko:K03168	lcx:LCA12A_1597
ko:K04094	lcx:LCA12A_1598
ko:K03733	lcx:LCA12A_1599
ko:K01419	lcx:LCA12A_1600
ko:K03667	lcx:LCA12A_1601
ko:K08591	lcx:LCA12A_1603
ko:K02622	lcx:LCA12A_1604
ko:K02621	lcx:LCA12A_1605
ko:K00656	lcx:LCA12A_1606
ko:K04069	lcx:LCA12A_1607
ko:K15986	lcx:LCA12A_1609
ko:K02004	lcx:LCA12A_1612
ko:K02003	lcx:LCA12A_1613
ko:K08217	lcx:LCA12A_1616
ko:K00817	lcx:LCA12A_1620
ko:K01523	lcx:LCA12A_1621
ko:K01496	lcx:LCA12A_1622
ko:K02500	lcx:LCA12A_1623
ko:K01814	lcx:LCA12A_1624
ko:K02501	lcx:LCA12A_1625
ko:K01693	lcx:LCA12A_1626
ko:K00013	lcx:LCA12A_1627
ko:K00765	lcx:LCA12A_1628
ko:K02502	lcx:LCA12A_1629
ko:K00817	lcx:LCA12A_1630
ko:K01515	lcx:LCA12A_1631
ko:K07035	lcx:LCA12A_1635
ko:K00077	lcx:LCA12A_1636
ko:K09699	lcx:LCA12A_1637
ko:K00167	lcx:LCA12A_1638
ko:K00166	lcx:LCA12A_1639
ko:K00382	lcx:LCA12A_1640
ko:K00929	lcx:LCA12A_1641
ko:K00762	lcx:LCA12A_1643
ko:K01591	lcx:LCA12A_1644
ko:K17828	lcx:LCA12A_1645
ko:K01955	lcx:LCA12A_1646
ko:K01956	lcx:LCA12A_1647
ko:K01465	lcx:LCA12A_1648
ko:K00609	lcx:LCA12A_1649
ko:K02824	lcx:LCA12A_1650
ko:K02825	lcx:LCA12A_1651
ko:K06180	lcx:LCA12A_1652
ko:K03101	lcx:LCA12A_1653
ko:K01938	lcx:LCA12A_1654
ko:K03469	lcx:LCA12A_1656
ko:K07078	lcx:LCA12A_1657
ko:K06131	lcx:LCA12A_1658
ko:K07386	lcx:LCA12A_1665
ko:K03800	lcx:LCA12A_1666
ko:K07444	lcx:LCA12A_0815
ko:K03700	lcx:LCA12A_0818
ko:K05366	lcx:LCA12A_0819
ko:K02777	lcx:LCA12A_0382
ko:K19225	lcx:LCA12A_1222
ko:K07448	lcx:LCA12A_0118
ko:K19157	lcx:LCA12A_2415
ko:K01621	lcx:LCA12A_1119
ko:K05881	lcx:LCA12A_2432
ko:K01710	lcx:LCA12A_0166
ko:K00571	lcx:LCA12A_2322
ko:K03734	lcx:LCA12A_1815
ko:K03885	lcx:LCA12A_1817
ko:K00805	lcx:LCA12A_1819
ko:K00805	lcx:LCA12A_1820
ko:K06988	lcx:LCA12A_1822
ko:K01990	lcx:LCA12A_1824
ko:K06962	lcx:LCA12A_1829
ko:K03218	lcx:LCA12A_1830
ko:K11145	lcx:LCA12A_1831
ko:K01883	lcx:LCA12A_1832
ko:K00104	lcx:LCA12A_1833
ko:K09698	lcx:LCA12A_1836
ko:K01807	lcx:LCA12A_1838
ko:K01990	lcx:LCA12A_1845
ko:K04485	lcx:LCA12A_1848
ko:K06975	lcx:LCA12A_1850
ko:K01372	lcx:LCA12A_1852
ko:K01372	lcx:LCA12A_1853
ko:K03549	lcx:LCA12A_1857
ko:K01006	lcx:LCA12A_1858
ko:K01834	lcx:LCA12A_1860
ko:K07248	lcx:LCA12A_1925
ko:K02954	lcx:LCA12A_1926
ko:K02077	lcx:LCA12A_1928
ko:K02077	lcx:LCA12A_1933
ko:K06199	lcx:LCA12A_1938
ko:K06199	lcx:LCA12A_1939
ko:K01689	lcx:LCA12A_1940
ko:K02044	lcx:LCA12A_1942
ko:K02041	lcx:LCA12A_1943
ko:K02042	lcx:LCA12A_1944
ko:K02042	lcx:LCA12A_1945
ko:K15553	lcx:LCA12A_1946
ko:K15555	lcx:LCA12A_1949
ko:K15554	lcx:LCA12A_1950
ko:K01992	lcx:LCA12A_1951
ko:K01992	lcx:LCA12A_1952
ko:K01990	lcx:LCA12A_1953
ko:K02996	lcx:LCA12A_1956
ko:K02871	lcx:LCA12A_1957
ko:K02004	lcx:LCA12A_1959
ko:K02003	lcx:LCA12A_1960
ko:K05847	lcx:LCA12A_0296
ko:K05845	lcx:LCA12A_0297
ko:K05846	lcx:LCA12A_0297
ko:K11041	lcx:LCA12A_0300
ko:K07052	lcx:LCA12A_0301
ko:K06950	lcx:LCA12A_0302
ko:K03701	lcx:LCA12A_0304
ko:K03469	lcx:LCA12A_0312
ko:K07150	lcx:LCA12A_0316
ko:K00882	lcx:LCA12A_0319
ko:K00864	lcx:LCA12A_0321
ko:K01684	lcx:LCA12A_0325
ko:K02775	lcx:LCA12A_0326
ko:K02774	lcx:LCA12A_0327
ko:K02773	lcx:LCA12A_0328
ko:K01625	lcx:LCA12A_0329
ko:K02759	lcx:LCA12A_0332
ko:K02760	lcx:LCA12A_0333
ko:K01223	lcx:LCA12A_0334
ko:K09704	lcx:LCA12A_0336
ko:K15524	lcx:LCA12A_0337
ko:K03492	lcx:LCA12A_0339
ko:K01628	lcx:LCA12A_0340
ko:K02775	lcx:LCA12A_0342
ko:K02774	lcx:LCA12A_0343
ko:K02526	lcx:LCA12A_0397
ko:K02821	lcx:LCA12A_0400
ko:K02822	lcx:LCA12A_0401
ko:K03475	lcx:LCA12A_0402
ko:K01714	lcx:LCA12A_0403
ko:K01625	lcx:LCA12A_0404
ko:K01042	lcx:LCA12A_0407
ko:K01465	lcx:LCA12A_0408
ko:K02781	lcx:LCA12A_0416
ko:K02782	lcx:LCA12A_0417
ko:K02783	lcx:LCA12A_0417
ko:K02783	lcx:LCA12A_0418
ko:K00068	lcx:LCA12A_0421
ko:K02822	lcx:LCA12A_0427
ko:K03475	lcx:LCA12A_0428
ko:K02821	lcx:LCA12A_0429
ko:K03476	lcx:LCA12A_0430
ko:K02770	lcx:LCA12A_0431
ko:K02769	lcx:LCA12A_0432
ko:K00033	lcx:LCA12A_0434
ko:K02027	lcx:LCA12A_0534
ko:K09167	lcx:LCA12A_0538
ko:K08981	lcx:LCA12A_0539
ko:K02028	lcx:LCA12A_0542
ko:K02029	lcx:LCA12A_0543
ko:K02030	lcx:LCA12A_0543
ko:K02029	lcx:LCA12A_0544
ko:K02030	lcx:LCA12A_0544
ko:K03817	lcx:LCA12A_0545
ko:K06384	lcx:LCA12A_0546
ko:K03924	lcx:LCA12A_0547
ko:K00661	lcx:LCA12A_0551
ko:K01744	lcx:LCA12A_0553
ko:K00027	lcx:LCA12A_0556
ko:K03710	lcx:LCA12A_0439
ko:K09758	lcx:LCA12A_0440
ko:K01206	lcx:LCA12A_0442
ko:K03828	lcx:LCA12A_0443
ko:K01624	lcx:LCA12A_0448
ko:K02794	lcx:LCA12A_0450
ko:K02793	lcx:LCA12A_0451
ko:K01126	lcx:LCA12A_0459
ko:K05813	lcx:LCA12A_0461
ko:K05815	lcx:LCA12A_0462
ko:K05814	lcx:LCA12A_0463
ko:K05816	lcx:LCA12A_0464
ko:K00763	lcx:LCA12A_0465
ko:K07106	lcx:LCA12A_0470
ko:K02794	lcx:LCA12A_0472
ko:K02795	lcx:LCA12A_0474
ko:K11741	lcx:LCA12A_0478
ko:K00389	lcx:LCA12A_2844
ko:K03282	lcx:LCA12A_0590
ko:K00948	lcx:LCA12A_0591
ko:K06889	lcx:LCA12A_0592
ko:K00009	lcx:LCA12A_0594
ko:K02798	lcx:LCA12A_0595
ko:K02799	lcx:LCA12A_0597
ko:K02800	lcx:LCA12A_0597
ko:K02564	lcx:LCA12A_0598
ko:K02005	lcx:LCA12A_0602
ko:K02003	lcx:LCA12A_0603
ko:K02004	lcx:LCA12A_0604
ko:K08317	lcx:LCA12A_0606
ko:K03495	lcx:LCA12A_0611
ko:K03650	lcx:LCA12A_0612
ko:K06346	lcx:LCA12A_0613
ko:K03217	lcx:LCA12A_0614
ko:K03536	lcx:LCA12A_0615
ko:K02914	lcx:LCA12A_0616
ko:K03589	lcx:LCA12A_1476
ko:K03590	lcx:LCA12A_1477
ko:K03531	lcx:LCA12A_1478
ko:K09772	lcx:LCA12A_1479
ko:K02221	lcx:LCA12A_1480
ko:K04074	lcx:LCA12A_1482
ko:K01870	lcx:LCA12A_1483
ko:K03704	lcx:LCA12A_1484
ko:K02040	lcx:LCA12A_1485
ko:K01515	lcx:LCA12A_1489
ko:K01243	lcx:LCA12A_1491
ko:K04487	lcx:LCA12A_1492
ko:K00566	lcx:LCA12A_1495
ko:K03581	lcx:LCA12A_1498
ko:K12574	lcx:LCA12A_1501
ko:K01462	lcx:LCA12A_1505
ko:K00161	lcx:LCA12A_1507
ko:K00162	lcx:LCA12A_1508
ko:K00627	lcx:LCA12A_1509
ko:K00382	lcx:LCA12A_1510
ko:K01092	lcx:LCA12A_1513
ko:K06207	lcx:LCA12A_1514
ko:K03588	lcx:LCA12A_1515
ko:K01958	lcx:LCA12A_1516
ko:K00954	lcx:LCA12A_1519
ko:K07177	lcx:LCA12A_1520
ko:K02237	lcx:LCA12A_1521
ko:K02238	lcx:LCA12A_1522
ko:K02340	lcx:LCA12A_1523
ko:K02968	lcx:LCA12A_1524
ko:K02956	lcx:LCA12A_1525
ko:K08659	lcx:LCA12A_1358
ko:K06147	lcx:LCA12A_1363
ko:K06147	lcx:LCA12A_1364
ko:K07104	lcx:LCA12A_1366
ko:K01928	lcx:LCA12A_1368
ko:K02835	lcx:LCA12A_1371
ko:K02493	lcx:LCA12A_1372
ko:K07566	lcx:LCA12A_1373
ko:K00600	lcx:LCA12A_1374
ko:K00761	lcx:LCA12A_1375
ko:K02108	lcx:LCA12A_1376
ko:K02110	lcx:LCA12A_1377
ko:K02109	lcx:LCA12A_1378
ko:K02113	lcx:LCA12A_1379
ko:K02111	lcx:LCA12A_1380
ko:K02115	lcx:LCA12A_1381
ko:K02112	lcx:LCA12A_1382
ko:K02114	lcx:LCA12A_1383
ko:K03569	lcx:LCA12A_1385
ko:K08998	lcx:LCA12A_1387
ko:K05837	lcx:LCA12A_1389
ko:K02437	lcx:LCA12A_1390
ko:K01439	lcx:LCA12A_1391
ko:K02073	lcx:LCA12A_1392
ko:K02073	lcx:LCA12A_1393
ko:K02071	lcx:LCA12A_1394
ko:K02072	lcx:LCA12A_1395
ko:K09013	lcx:LCA12A_1396
ko:K09015	lcx:LCA12A_1397
ko:K11717	lcx:LCA12A_1398
ko:K04488	lcx:LCA12A_1399
ko:K09014	lcx:LCA12A_1400
ko:K07478	lcx:LCA12A_1408
ko:K01919	lcx:LCA12A_1409
ko:K01752	lcx:LCA12A_1412
ko:K01752	lcx:LCA12A_1413
ko:K07304	lcx:LCA12A_1415
ko:K03811	lcx:LCA12A_1417
ko:K04486	lcx:LCA12A_1421
ko:K15580	lcx:LCA12A_1422
ko:K09117	lcx:LCA12A_0851
ko:K00009	lcx:LCA12A_2398
ko:K16957	lcx:LCA12A_2401
ko:K16959	lcx:LCA12A_2402
ko:K16958	lcx:LCA12A_2403
ko:K03761	lcx:LCA12A_2404
ko:K02004	lcx:LCA12A_2411
ko:K02003	lcx:LCA12A_2412
ko:K02794	lcx:LCA12A_2417
ko:K02795	lcx:LCA12A_2418
ko:K01182	lcx:LCA12A_2422
ko:K06147	lcx:LCA12A_2423
ko:K01421	lcx:LCA12A_2425
ko:K02073	lcx:LCA12A_2426
ko:K01442	lcx:LCA12A_2427
ko:K10254	lcx:LCA12A_2429
ko:K05879	lcx:LCA12A_2433
ko:K05878	lcx:LCA12A_2434
ko:K01246	lcx:LCA12A_2443
ko:K01624	lcx:LCA12A_2444
ko:K00158	lcx:LCA12A_2445
ko:K01990	lcx:LCA12A_2618
ko:K00868	lcx:LCA12A_2620
ko:K00297	lcx:LCA12A_2621
ko:K00549	lcx:LCA12A_2622
ko:K18891	lcx:LCA12A_2623
ko:K18892	lcx:LCA12A_2624
ko:K08177	lcx:LCA12A_2625
ko:K03486	lcx:LCA12A_2626
ko:K01226	lcx:LCA12A_2627
ko:K02755	lcx:LCA12A_2628
ko:K02756	lcx:LCA12A_2628
ko:K02757	lcx:LCA12A_2628
ko:K07862	lcx:LCA12A_2629
ko:K03294	lcx:LCA12A_2630
ko:K00016	lcx:LCA12A_2631
ko:K00262	lcx:LCA12A_2632
ko:K03704	lcx:LCA12A_2633
ko:K03316	lcx:LCA12A_2641
ko:K11051	lcx:LCA12A_2644
ko:K11050	lcx:LCA12A_2645
ko:K01674	lcx:LCA12A_2647
ko:K03320	lcx:LCA12A_2650
ko:K07223	lcx:LCA12A_2651
ko:K07507	lcx:LCA12A_2652
ko:K15051	lcx:LCA12A_2653
ko:K07173	lcx:LCA12A_1790
ko:K03550	lcx:LCA12A_0773
ko:K03551	lcx:LCA12A_0774
ko:K07568	lcx:LCA12A_0775
ko:K00773	lcx:LCA12A_0776
ko:K03210	lcx:LCA12A_0777
ko:K04072	lcx:LCA12A_0778
ko:K03709	lcx:LCA12A_0779
ko:K00036	lcx:LCA12A_0780
ko:K02346	lcx:LCA12A_0781
ko:K18692	lcx:LCA12A_0784
ko:K01872	lcx:LCA12A_0786
ko:K07447	lcx:LCA12A_0789
ko:K09888	lcx:LCA12A_0791
ko:K07456	lcx:LCA12A_0793
ko:K03671	lcx:LCA12A_0794
ko:K03367	lcx:LCA12A_0796
ko:K03739	lcx:LCA12A_0797
ko:K14188	lcx:LCA12A_0798
ko:K03740	lcx:LCA12A_0799
ko:K07095	lcx:LCA12A_0801
ko:K02440	lcx:LCA12A_0802
ko:K07105	lcx:LCA12A_0807
ko:K02529	lcx:LCA12A_0809
ko:K03693	lcx:LCA12A_0810
ko:K01560	lcx:LCA12A_0650
ko:K03524	lcx:LCA12A_0651
ko:K01126	lcx:LCA12A_0653
ko:K01869	lcx:LCA12A_2174
ko:K06183	lcx:LCA12A_2176
ko:K07069	lcx:LCA12A_2177
ko:K00712	lcx:LCA12A_2180
ko:K00712	lcx:LCA12A_2181
ko:K00432	lcx:LCA12A_2182
ko:K14155	lcx:LCA12A_2183
ko:K07166	lcx:LCA12A_2185
ko:K09157	lcx:LCA12A_2186
ko:K06198	lcx:LCA12A_2187
ko:K07816	lcx:LCA12A_2190
ko:K00858	lcx:LCA12A_2191
ko:K06180	lcx:LCA12A_2192
ko:K03734	lcx:LCA12A_2193
ko:K06201	lcx:LCA12A_2194
ko:K06153	lcx:LCA12A_2195
ko:K07404	lcx:LCA12A_2196
ko:K02781	lcx:LCA12A_2197
ko:K02954	lcx:LCA12A_2198
ko:K00364	lcx:LCA12A_2199
ko:K03284	lcx:LCA12A_2200
ko:K00563	lcx:LCA12A_2201
ko:K03216	lcx:LCA12A_2202
ko:K03466	lcx:LCA12A_2204
ko:K00059	lcx:LCA12A_2207
ko:K00995	lcx:LCA12A_2209
ko:K03742	lcx:LCA12A_2210
ko:K18682	lcx:LCA12A_2212
ko:K02240	lcx:LCA12A_2214
ko:K02242	lcx:LCA12A_2215
ko:K03070	lcx:LCA12A_2217
ko:K02836	lcx:LCA12A_2218
ko:K09812	lcx:LCA12A_2219
ko:K09811	lcx:LCA12A_2220
ko:K07658	lcx:LCA12A_2222
ko:K07636	lcx:LCA12A_2223
ko:K02040	lcx:LCA12A_2224
ko:K02037	lcx:LCA12A_2225
ko:K02038	lcx:LCA12A_2226
ko:K02036	lcx:LCA12A_2227
ko:K02036	lcx:LCA12A_2228
ko:K02039	lcx:LCA12A_2229
ko:K08972	lcx:LCA12A_2232
ko:K06023	lcx:LCA12A_2233
ko:K13292	lcx:LCA12A_2234
ko:K00057	lcx:LCA12A_2235
ko:K00384	lcx:LCA12A_2236
ko:K01835	lcx:LCA12A_2237
ko:K02003	lcx:LCA12A_2240
