ko:K19744	pael:T223_05460
ko:K18094	pael:T223_16870
ko:K10815	pael:T223_15990
ko:K00520	pael:T223_13480
ko:K00520	pael:T223_13770
ko:K11741	pael:T223_23250
ko:K18095	pael:T223_16875
ko:K01851	pael:T223_03595
ko:K18302	pael:T223_06435
ko:K01659	pael:T223_23195
ko:K19591	pael:T223_26425
ko:K19595	pael:T223_07520
ko:K03297	pael:T223_27525
ko:K02487	pael:T223_13695
ko:K03560	pael:T223_01010
ko:K04095	pael:T223_19525
ko:K02014	pael:T223_19530
ko:K22617	pael:T223_24155
ko:K19593	pael:T223_07530
ko:K16238	pael:T223_04665
ko:K09691	pael:T223_29905
ko:K19291	pael:T223_07425
ko:K18131	pael:T223_02145
ko:K18130	pael:T223_06215
ko:K00344	pael:T223_00115
ko:K02625	pael:T223_01135
ko:K11741	pael:T223_17590
ko:K11741	pael:T223_09030
ko:K06998	pael:T223_17480
ko:K21429	pael:T223_02890
ko:K00638	pael:T223_23595
ko:K07497	pael:T223_12065
ko:K19592	pael:T223_13370
ko:K03111	pael:T223_03590
ko:K07497	pael:T223_08500
ko:K12960	pael:T223_09535
ko:K19594	pael:T223_07525
ko:K19597	pael:T223_13375
ko:K15431	pael:T223_13170
ko:K19735	pael:T223_22080
ko:K19611	pael:T223_22400
ko:K18135	pael:T223_07260
ko:K21430	pael:T223_21510
ko:K01990	pael:T223_13240
ko:K18297	pael:T223_14385
ko:K18289	pael:T223_22665
ko:K18150	pael:T223_06225
ko:K18979	pael:T223_27320
ko:K11209	pael:T223_18960
ko:K19609	pael:T223_12305
ko:K11209	pael:T223_21910
ko:K18456	pael:T223_00725
ko:K01399	pael:T223_06195
ko:K18139	pael:T223_02160
ko:K09788	pael:T223_23205
ko:K03088	pael:T223_19540
ko:K03327	pael:T223_19550
ko:K11939	pael:T223_19555
ko:K04750	pael:T223_19590
ko:K03088	pael:T223_19600
ko:K10001	pael:T223_19645
ko:K10003	pael:T223_19650
ko:K10002	pael:T223_19655
ko:K10004	pael:T223_19660
ko:K05597	pael:T223_19670
ko:K17060	pael:T223_19675
ko:K17061	pael:T223_19680
ko:K10680	pael:T223_19685
ko:K01173	pael:T223_19720
ko:K01754	pael:T223_19725
ko:K16090	pael:T223_19745
ko:K02300	pael:T223_19755
ko:K01141	pael:T223_23980
ko:K03924	pael:T223_24010
ko:K14055	pael:T223_24040
ko:K00873	pael:T223_24045
ko:K01676	pael:T223_24065
ko:K03322	pael:T223_24070
ko:K05520	pael:T223_24080
ko:K01426	pael:T223_24110
ko:K07490	pael:T223_24185
ko:K04759	pael:T223_24190
ko:K04758	pael:T223_24195
ko:K05596	pael:T223_24220
ko:K09964	pael:T223_24225
ko:K06895	pael:T223_24230
ko:K04564	pael:T223_24235
ko:K03744	pael:T223_24250
ko:K07231	pael:T223_24255
ko:K07338	pael:T223_24265
ko:K10125	pael:T223_28420
ko:K10126	pael:T223_28425
ko:K11688	pael:T223_28430
ko:K11689	pael:T223_28435
ko:K03758	pael:T223_28445
ko:K01478	pael:T223_28450
ko:K00611	pael:T223_28455
ko:K00926	pael:T223_28460
ko:K01082	pael:T223_28470
ko:K08312	pael:T223_28475
ko:K02379	pael:T223_28495
ko:K04093	pael:T223_28520
ko:K07107	pael:T223_28525
ko:K01610	pael:T223_28560
ko:K04083	pael:T223_28565
ko:K04762	pael:T223_28575
ko:K05844	pael:T223_28585
ko:K01297	pael:T223_28590
ko:K07638	pael:T223_28595
ko:K07659	pael:T223_28600
ko:K06959	pael:T223_28605
ko:K01919	pael:T223_28615
ko:K14682	pael:T223_28620
ko:K05595	pael:T223_28625
ko:K01438	pael:T223_28630
ko:K03306	pael:T223_28635
ko:K07220	pael:T223_28640
ko:K02454	pael:T223_28650
ko:K07340	pael:T223_28655
ko:K00281	pael:T223_28665
ko:K02437	pael:T223_28670
ko:K00605	pael:T223_28675
ko:K02011	pael:T223_28680
ko:K02012	pael:T223_28685
ko:K01434	pael:T223_01520
ko:K07394	pael:T223_01550
ko:K10009	pael:T223_01570
ko:K02424	pael:T223_01575
ko:K00058	pael:T223_01585
ko:K11069	pael:T223_01620
ko:K11070	pael:T223_01625
ko:K11071	pael:T223_01630
ko:K11072	pael:T223_01635
ko:K09946	pael:T223_01655
ko:K01807	pael:T223_01660
ko:K01754	pael:T223_01665
ko:K08311	pael:T223_01695
ko:K08484	pael:T223_01700
ko:K07090	pael:T223_01715
ko:K13292	pael:T223_01720
ko:K01126	pael:T223_01750
ko:K07095	pael:T223_01770
ko:K16345	pael:T223_01775
ko:K01687	pael:T223_01780
ko:K06969	pael:T223_01785
ko:K05520	pael:T223_01790
ko:K10563	pael:T223_01800
ko:K03106	pael:T223_06080
ko:K02959	pael:T223_06085
ko:K07126	pael:T223_01815
ko:K00954	pael:T223_01830
ko:K00154	pael:T223_01845
ko:K07019	pael:T223_01860
ko:K08316	pael:T223_01870
ko:K07263	pael:T223_01875
ko:K07263	pael:T223_01880
ko:K03110	pael:T223_01885
ko:K09812	pael:T223_01890
ko:K09811	pael:T223_01895
ko:K03089	pael:T223_01900
ko:K03814	pael:T223_01910
ko:K03154	pael:T223_01920
ko:K03149	pael:T223_01925
ko:K03439	pael:T223_01930
ko:K02428	pael:T223_01955
ko:K00641	pael:T223_01970
ko:K09131	pael:T223_01980
ko:K02221	pael:T223_01985
ko:K00286	pael:T223_01990
ko:K06997	pael:T223_01995
ko:K02669	pael:T223_02000
ko:K02670	pael:T223_02005
ko:K16264	pael:T223_02010
ko:K01697	pael:T223_02020
ko:K01465	pael:T223_02030
ko:K00609	pael:T223_02035
ko:K02825	pael:T223_02040
ko:K07447	pael:T223_02045
ko:K07735	pael:T223_02050
ko:K03832	pael:T223_02055
ko:K01920	pael:T223_02060
ko:K02657	pael:T223_02065
ko:K02658	pael:T223_02070
ko:K02659	pael:T223_02075
ko:K02660	pael:T223_02080
ko:K01534	pael:T223_06370
ko:K01595	pael:T223_06385
ko:K00939	pael:T223_06390
ko:K15984	pael:T223_06420
ko:K09914	pael:T223_06450
ko:K00631	pael:T223_06455
ko:K01990	pael:T223_06460
ko:K01992	pael:T223_06465
ko:K02426	pael:T223_06480
ko:K01766	pael:T223_06485
ko:K00674	pael:T223_06490
ko:K02030	pael:T223_10910
ko:K03088	pael:T223_10940
ko:K13776	pael:T223_10955
ko:K13777	pael:T223_10965
ko:K13779	pael:T223_10970
ko:K11731	pael:T223_10975
ko:K13778	pael:T223_10980
ko:K13774	pael:T223_10985
ko:K07052	pael:T223_11000
ko:K01591	pael:T223_11040
ko:K03424	pael:T223_11090
ko:K15977	pael:T223_11100
ko:K01975	pael:T223_11115
ko:K04760	pael:T223_11125
ko:K02004	pael:T223_11130
ko:K02003	pael:T223_11135
ko:K10804	pael:T223_11140
ko:K02356	pael:T223_11170
ko:K07090	pael:T223_11190
ko:K06151	pael:T223_15525
ko:K06152	pael:T223_15530
ko:K00032	pael:T223_15535
ko:K02525	pael:T223_15555
ko:K01424	pael:T223_15585
ko:K03310	pael:T223_15590
ko:K00382	pael:T223_15600
ko:K09699	pael:T223_15605
ko:K00167	pael:T223_15610
ko:K00166	pael:T223_15615
ko:K03168	pael:T223_15630
ko:K12992	pael:T223_15685
ko:K02444	pael:T223_20045
ko:K00111	pael:T223_20050
ko:K00864	pael:T223_20060
ko:K01266	pael:T223_20065
ko:K02200	pael:T223_20085
ko:K02200	pael:T223_20090
ko:K02199	pael:T223_20095
ko:K02198	pael:T223_20100
ko:K02197	pael:T223_20105
ko:K02196	pael:T223_20110
ko:K02195	pael:T223_20115
ko:K02194	pael:T223_20120
ko:K02193	pael:T223_20125
ko:K04061	pael:T223_20135
ko:K00059	pael:T223_20150
ko:K05810	pael:T223_20155
ko:K00799	pael:T223_20170
ko:K03408	pael:T223_20180
ko:K03408	pael:T223_20185
ko:K02557	pael:T223_20195
ko:K02556	pael:T223_20200
ko:K03412	pael:T223_20205
ko:K03407	pael:T223_20210
ko:K03414	pael:T223_20215
ko:K03413	pael:T223_20220
ko:K02405	pael:T223_20225
ko:K04562	pael:T223_20230
ko:K02404	pael:T223_20235
ko:K02400	pael:T223_20240
ko:K06872	pael:T223_20245
ko:K06872	pael:T223_20250
ko:K02401	pael:T223_20255
ko:K02421	pael:T223_20260
ko:K02420	pael:T223_20265
ko:K02419	pael:T223_20270
ko:K02418	pael:T223_20275
ko:K02417	pael:T223_20280
ko:K02416	pael:T223_20285
ko:K02415	pael:T223_20290
ko:K02414	pael:T223_20295
ko:K07039	pael:T223_20300
ko:K09790	pael:T223_20305
ko:K07644	pael:T223_20310
ko:K07665	pael:T223_20315
ko:K07460	pael:T223_24535
ko:K03271	pael:T223_24540
ko:K03600	pael:T223_24550
ko:K03599	pael:T223_24555
ko:K00413	pael:T223_24560
ko:K00412	pael:T223_24565
ko:K00411	pael:T223_24570
ko:K02996	pael:T223_24575
ko:K02871	pael:T223_24580
ko:K06916	pael:T223_24605
ko:K01867	pael:T223_24610
ko:K07018	pael:T223_24615
ko:K09908	pael:T223_24620
ko:K00955	pael:T223_24625
ko:K00957	pael:T223_24630
ko:K08305	pael:T223_24635
ko:K04691	pael:T223_24645
ko:K00817	pael:T223_24650
ko:K00013	pael:T223_24655
ko:K00765	pael:T223_24660
ko:K00790	pael:T223_24665
ko:K07122	pael:T223_24675
ko:K07323	pael:T223_24680
ko:K02067	pael:T223_24685
ko:K02066	pael:T223_24690
ko:K02065	pael:T223_24695
ko:K06041	pael:T223_24700
ko:K03270	pael:T223_24705
ko:K11719	pael:T223_24710
