ko:K02030	bsx:C663_2279
ko:K21900	bsx:C663_3670
ko:K21613	bsx:C663_2776
ko:K06979	bsx:C663_0241
ko:K16961	bsx:C663_3870
ko:K19551	bsx:C663_3384
ko:K22044	bsx:C663_1463
ko:K19578	bsx:C663_2282
ko:K05592	bsx:C663_3829
ko:K19689	bsx:C663_1488
ko:K03297	bsx:C663_3228
ko:K18198	bsx:C663_0733
ko:K11741	bsx:C663_3334
ko:K18924	bsx:C663_3333
ko:K19417	bsx:C663_3318
ko:K19563	bsx:C663_2868
ko:K06297	bsx:C663_0800
ko:K18939	bsx:C663_3914
ko:K18926	bsx:C663_0258
ko:K18939	bsx:C663_0259
ko:K07155	bsx:C663_3913
ko:K01732	bsx:C663_1929
ko:K19427	bsx:C663_3308
ko:K07260	bsx:C663_2017
ko:K10040	bsx:C663_2583
ko:K03296	bsx:C663_0695
ko:K03293	bsx:C663_3281
ko:K00571	bsx:C663_2795
ko:K18682	bsx:C663_1739
ko:K09022	bsx:C663_0049
ko:K17234	bsx:C663_2720
ko:K03455	bsx:C663_1007
ko:K03698	bsx:C663_1016
ko:K07533	bsx:C663_1018
ko:K00058	bsx:C663_1919
ko:K03406	bsx:C663_1925
ko:K01569	bsx:C663_1932
ko:K00274	bsx:C663_1953
ko:K00059	bsx:C663_2789
ko:K06286	bsx:C663_2807
ko:K00027	bsx:C663_2835
ko:K01480	bsx:C663_3654
ko:K03298	bsx:C663_3668
ko:K00625	bsx:C663_3671
ko:K00294	bsx:C663_3684
ko:K07257	bsx:C663_3693
ko:K15629	bsx:C663_0198
ko:K00626	bsx:C663_1059
ko:K03307	bsx:C663_1069
ko:K07120	bsx:C663_1081
ko:K03299	bsx:C663_2006
ko:K03307	bsx:C663_2013
ko:K03784	bsx:C663_2018
ko:K01439	bsx:C663_2845
ko:K06183	bsx:C663_2850
ko:K05020	bsx:C663_2853
ko:K00652	bsx:C663_2867
ko:K10118	bsx:C663_2875
ko:K03488	bsx:C663_3713
ko:K01759	bsx:C663_3745
ko:K02564	bsx:C663_0224
ko:K00547	bsx:C663_0229
ko:K11626	bsx:C663_0231
ko:K03535	bsx:C663_0237
ko:K01708	bsx:C663_0240
ko:K01113	bsx:C663_0253
ko:K01424	bsx:C663_0260
ko:K09697	bsx:C663_0266
ko:K09696	bsx:C663_0267
ko:K16167	bsx:C663_2078
ko:K01048	bsx:C663_2899
ko:K02051	bsx:C663_2908
ko:K02049	bsx:C663_2909
ko:K02050	bsx:C663_2910
ko:K11709	bsx:C663_2923
ko:K11708	bsx:C663_2924
ko:K11710	bsx:C663_2925
ko:K11707	bsx:C663_2926
ko:K02549	bsx:C663_2927
ko:K08680	bsx:C663_2930
ko:K02552	bsx:C663_2932
ko:K00700	bsx:C663_2947
ko:K01222	bsx:C663_3769
ko:K03491	bsx:C663_3773
ko:K16012	bsx:C663_3787
ko:K16013	bsx:C663_3788
ko:K08097	bsx:C663_1118
ko:K01784	bsx:C663_3802
ko:K06910	bsx:C663_3803
ko:K01258	bsx:C663_3808
ko:K06889	bsx:C663_1141
ko:K07305	bsx:C663_2041
ko:K07304	bsx:C663_2042
ko:K03469	bsx:C663_2069
ko:K03469	bsx:C663_2071
ko:K16168	bsx:C663_2077
ko:K01182	bsx:C663_0275
ko:K09815	bsx:C663_0276
ko:K01176	bsx:C663_0294
ko:K00016	bsx:C663_0295
ko:K01916	bsx:C663_0303
ko:K00294	bsx:C663_0311
ko:K02035	bsx:C663_1165
ko:K02033	bsx:C663_1166
ko:K15582	bsx:C663_1172
ko:K15583	bsx:C663_1173
ko:K10823	bsx:C663_1174
ko:K16509	bsx:C663_1177
ko:K03455	bsx:C663_1192
ko:K03153	bsx:C663_1195
ko:K00065	bsx:C663_2087
ko:K06877	bsx:C663_2095
ko:K03700	bsx:C663_2104
ko:K02086	bsx:C663_2108
ko:K00974	bsx:C663_2118
ko:K03886	bsx:C663_2129
ko:K04517	bsx:C663_2134
ko:K16789	bsx:C663_2949
ko:K07192	bsx:C663_2952
ko:K03499	bsx:C663_2960
ko:K01813	bsx:C663_2971
ko:K03406	bsx:C663_2977
ko:K03406	bsx:C663_2978
ko:K03406	bsx:C663_2979
ko:K03406	bsx:C663_2980
ko:K03488	bsx:C663_3825
ko:K06902	bsx:C663_3828
ko:K02755	bsx:C663_3838
ko:K02756	bsx:C663_3838
ko:K02757	bsx:C663_3838
ko:K01479	bsx:C663_3858
ko:K01619	bsx:C663_3862
ko:K03406	bsx:C663_0335
ko:K08093	bsx:C663_0338
ko:K01259	bsx:C663_0359
ko:K02004	bsx:C663_0367
ko:K07250	bsx:C663_0383
ko:K00135	bsx:C663_0384
ko:K07029	bsx:C663_0696
ko:K01719	bsx:C663_1255
ko:K00073	bsx:C663_1264
ko:K00575	bsx:C663_2145
ko:K00805	bsx:C663_2149
ko:K01823	bsx:C663_2162
ko:K06313	bsx:C663_2167
ko:K05337	bsx:C663_2181
ko:K00058	bsx:C663_2184
ko:K07570	bsx:C663_2999
ko:K02056	bsx:C663_3016
ko:K05565	bsx:C663_3021
ko:K05568	bsx:C663_3024
ko:K05570	bsx:C663_3026
ko:K00010	bsx:C663_3889
ko:K06610	bsx:C663_3890
ko:K00851	bsx:C663_3922
ko:K02799	bsx:C663_0391
