ko:K06881	tmq:THMB_1635
ko:K14228	tmq:THMB_0493
ko:K14228	tmq:THMB_1418
ko:K14228	tmq:THMB_1393
ko:K14233	tmq:THMB_1823
ko:K14223	tmq:THMB_0770
ko:K14223	tmq:THMB_0404
ko:K14234	tmq:THMB_0593
ko:K14228	tmq:THMB_0837
ko:K14234	tmq:THMB_0458
ko:K14230	tmq:THMB_1367
ko:K14219	tmq:THMB_0202
ko:K04763	tmq:THMB_0990
ko:K14229	tmq:THMB_0494
ko:K14225	tmq:THMB_0492
ko:K14225	tmq:THMB_1368
ko:K14236	tmq:THMB_0459
ko:K14230	tmq:THMB_0457
ko:K22305	tmq:THMB_1400
ko:K14225	tmq:THMB_0198
ko:K04752	tmq:THMB_0409
ko:K11529	tmq:THMB_1620
ko:K14235	tmq:THMB_0461
ko:K14234	tmq:THMB_0335
ko:K01985	tmq:THMB_0179
ko:K02483	tmq:THMB_1284
ko:K05568	tmq:THMB_1128
ko:K05569	tmq:THMB_1129
ko:K05570	tmq:THMB_1130
ko:K05571	tmq:THMB_1131
ko:K05566	tmq:THMB_1133
ko:K06995	tmq:THMB_1135
ko:K05813	tmq:THMB_1143
ko:K05814	tmq:THMB_1144
ko:K05815	tmq:THMB_1145
ko:K02407	tmq:THMB_1146
ko:K06603	tmq:THMB_1147
ko:K02217	tmq:THMB_1151
ko:K01243	tmq:THMB_1152
ko:K03924	tmq:THMB_1155
ko:K01999	tmq:THMB_1158
ko:K01997	tmq:THMB_1159
ko:K01998	tmq:THMB_1160
ko:K01995	tmq:THMB_1161
ko:K01996	tmq:THMB_1162
ko:K04767	tmq:THMB_1163
ko:K06196	tmq:THMB_1164
ko:K03406	tmq:THMB_1166
ko:K03406	tmq:THMB_1170
ko:K00031	tmq:THMB_1172
ko:K02033	tmq:THMB_1173
ko:K02035	tmq:THMB_1174
ko:K02034	tmq:THMB_1177
ko:K01057	tmq:THMB_1178
ko:K00036	tmq:THMB_1179
ko:K06213	tmq:THMB_1186
ko:K00174	tmq:THMB_1189
ko:K00175	tmq:THMB_1190
ko:K00688	tmq:THMB_1193
ko:K00059	tmq:THMB_1194
ko:K02030	tmq:THMB_1195
ko:K05601	tmq:THMB_1197
ko:K03325	tmq:THMB_1198
ko:K07025	tmq:THMB_1202
ko:K02422	tmq:THMB_1204
ko:K01515	tmq:THMB_1206
ko:K03529	tmq:THMB_1207
ko:K07079	tmq:THMB_1208
ko:K01734	tmq:THMB_1210
ko:K00849	tmq:THMB_1216
ko:K00965	tmq:THMB_1217
ko:K07407	tmq:THMB_1218
ko:K01190	tmq:THMB_1219
ko:K12308	tmq:THMB_1221
ko:K02034	tmq:THMB_1223
ko:K02033	tmq:THMB_1224
ko:K02035	tmq:THMB_1225
ko:K02529	tmq:THMB_1226
ko:K01224	tmq:THMB_1227
ko:K10110	tmq:THMB_1228
ko:K10109	tmq:THMB_1229
ko:K10108	tmq:THMB_1230
ko:K05569	tmq:THMB_1231
ko:K05570	tmq:THMB_1232
ko:K05571	tmq:THMB_1233
ko:K05566	tmq:THMB_1235
ko:K05567	tmq:THMB_1236
ko:K05568	tmq:THMB_1237
ko:K00342	tmq:THMB_1238
ko:K00337	tmq:THMB_1239
ko:K00331	tmq:THMB_1240
ko:K00332	tmq:THMB_1241
ko:K00333	tmq:THMB_1242
ko:K00266	tmq:THMB_1243
ko:K02529	tmq:THMB_1244
ko:K02034	tmq:THMB_1247
ko:K02033	tmq:THMB_1248
ko:K02035	tmq:THMB_1249
ko:K18785	tmq:THMB_1251
