ko:K22220	mabl:MMASJCM_2557
ko:K09796	mabl:MMASJCM_2220
ko:K22476	mabl:MMASJCM_4274
ko:K14231	mabl:MMASJCM_t015
ko:K19311	mabl:MMASJCM_3538
ko:K19746	mabl:MMASJCM_4798
ko:K07671	mabl:MMASJCM_0873
ko:K01692	mabl:MMASJCM_0876
ko:K06942	mabl:MMASJCM_1291
ko:K01738	mabl:MMASJCM_1298
ko:K06994	mabl:MMASJCM_1313
ko:K02078	mabl:MMASJCM_1715
ko:K00666	mabl:MMASJCM_1716
ko:K02066	mabl:MMASJCM_1717
ko:K02066	mabl:MMASJCM_1718
ko:K02067	mabl:MMASJCM_1720
ko:K07044	mabl:MMASJCM_1725
ko:K01880	mabl:MMASJCM_1726
ko:K15372	mabl:MMASJCM_1727
ko:K01129	mabl:MMASJCM_1731
ko:K06889	mabl:MMASJCM_1734
ko:K02313	mabl:MMASJCM_0001
ko:K02338	mabl:MMASJCM_0003
ko:K00033	mabl:MMASJCM_0004
ko:K03629	mabl:MMASJCM_0005
ko:K02470	mabl:MMASJCM_0007
ko:K00675	mabl:MMASJCM_0013
ko:K02031	mabl:MMASJCM_0422
ko:K02032	mabl:MMASJCM_0422
ko:K02283	mabl:MMASJCM_0427
ko:K01673	mabl:MMASJCM_0431
ko:K01596	mabl:MMASJCM_0434
ko:K03321	mabl:MMASJCM_0435
ko:K00626	mabl:MMASJCM_0437
ko:K00626	mabl:MMASJCM_0438
ko:K00626	mabl:MMASJCM_0439
ko:K11609	mabl:MMASJCM_0440
ko:K01647	mabl:MMASJCM_0861
ko:K00059	mabl:MMASJCM_0869
ko:K03710	mabl:MMASJCM_0870
ko:K22552	mabl:MMASJCM_1296
ko:K22579	mabl:MMASJCM_0974
ko:K21688	mabl:MMASJCM_1140
ko:K21689	mabl:MMASJCM_4164
ko:K18654	mabl:MMASJCM_2588
ko:K18652	mabl:MMASJCM_2589
ko:K08174	mabl:MMASJCM_2590
ko:K02274	mabl:MMASJCM_2594
ko:K01996	mabl:MMASJCM_2598
ko:K01995	mabl:MMASJCM_2599
ko:K01998	mabl:MMASJCM_2600
ko:K01997	mabl:MMASJCM_2601
ko:K01999	mabl:MMASJCM_2602
ko:K00425	mabl:MMASJCM_2606
ko:K00426	mabl:MMASJCM_2607
ko:K16013	mabl:MMASJCM_2608
ko:K16012	mabl:MMASJCM_2609
ko:K07397	mabl:MMASJCM_1734
ko:K16786	mabl:MMASJCM_1737
ko:K16787	mabl:MMASJCM_1737
ko:K16785	mabl:MMASJCM_1738
ko:K02027	mabl:MMASJCM_1741
ko:K06042	mabl:MMASJCM_2150
ko:K02229	mabl:MMASJCM_2151
ko:K02230	mabl:MMASJCM_2152
ko:K07006	mabl:MMASJCM_2153
ko:K07006	mabl:MMASJCM_2154
ko:K07113	mabl:MMASJCM_2155
ko:K03820	mabl:MMASJCM_2157
ko:K00721	mabl:MMASJCM_2158
ko:K06994	mabl:MMASJCM_2162
ko:K18653	mabl:MMASJCM_2587
ko:K15554	mabl:MMASJCM_2169
ko:K15555	mabl:MMASJCM_2170
ko:K15553	mabl:MMASJCM_2171
ko:K04091	mabl:MMASJCM_2172
ko:K06978	mabl:MMASJCM_2175
ko:K19302	mabl:MMASJCM_0202
ko:K00897	mabl:MMASJCM_0165
ko:K16238	mabl:MMASJCM_2750
ko:K14228	mabl:MMASJCM_t033
ko:K14333	mabl:MMASJCM_3590
ko:K21672	mabl:MMASJCM_4689
ko:K14237	mabl:MMASJCM_t034
ko:K14218	mabl:MMASJCM_t002
ko:K14233	mabl:MMASJCM_t004
ko:K22552	mabl:MMASJCM_2908
ko:K16238	mabl:MMASJCM_3845
ko:K03343	mabl:MMASJCM_4423
ko:K19221	mabl:MMASJCM_3160
ko:K05556	mabl:MMASJCM_0753
ko:K07448	mabl:MMASJCM_4786
ko:K07448	mabl:MMASJCM_0947
ko:K00798	mabl:MMASJCM_1475
ko:K19190	mabl:MMASJCM_2946
ko:K01621	mabl:MMASJCM_2884
ko:K01621	mabl:MMASJCM_2513
ko:K02469	mabl:MMASJCM_0020
ko:K03767	mabl:MMASJCM_0026
ko:K01664	mabl:MMASJCM_0033
ko:K03325	mabl:MMASJCM_0453
ko:K18701	mabl:MMASJCM_0455
ko:K03321	mabl:MMASJCM_0457
ko:K12510	mabl:MMASJCM_0460
ko:K06994	mabl:MMASJCM_0467
ko:K07044	mabl:MMASJCM_0468
ko:K06877	mabl:MMASJCM_0473
ko:K03704	mabl:MMASJCM_0474
ko:K03168	mabl:MMASJCM_0476
ko:K02341	mabl:MMASJCM_0478
ko:K00138	mabl:MMASJCM_0889
ko:K09959	mabl:MMASJCM_0891
ko:K09861	mabl:MMASJCM_0893
ko:K06996	mabl:MMASJCM_0894
ko:K07107	mabl:MMASJCM_0899
ko:K06994	mabl:MMASJCM_0904
ko:K00537	mabl:MMASJCM_0907
ko:K11065	mabl:MMASJCM_1316
ko:K00571	mabl:MMASJCM_1825
ko:K13669	mabl:MMASJCM_1330
ko:K01433	mabl:MMASJCM_1332
ko:K01724	mabl:MMASJCM_1333
ko:K03574	mabl:MMASJCM_1334
ko:K06207	mabl:MMASJCM_1336
ko:K02026	mabl:MMASJCM_1742
ko:K02025	mabl:MMASJCM_1743
ko:K03568	mabl:MMASJCM_1744
ko:K12262	mabl:MMASJCM_1758
ko:K03781	mabl:MMASJCM_1759
ko:K08641	mabl:MMASJCM_1760
ko:K14743	mabl:MMASJCM_2178
ko:K03710	mabl:MMASJCM_2194
ko:K02051	mabl:MMASJCM_2196
ko:K02050	mabl:MMASJCM_2197
ko:K02049	mabl:MMASJCM_2198
ko:K04781	mabl:MMASJCM_2200
ko:K04787	mabl:MMASJCM_2202
ko:K04789	mabl:MMASJCM_2203
ko:K10805	mabl:MMASJCM_2614
ko:K00873	mabl:MMASJCM_2615
ko:K11741	mabl:MMASJCM_2616
ko:K01695	mabl:MMASJCM_2619
ko:K01696	mabl:MMASJCM_2620
ko:K01609	mabl:MMASJCM_2621
ko:K01657	mabl:MMASJCM_2623
ko:K06994	mabl:MMASJCM_2626
ko:K02503	mabl:MMASJCM_2627
ko:K03564	mabl:MMASJCM_2628
ko:K01496	mabl:MMASJCM_2629
ko:K02500	mabl:MMASJCM_2630
ko:K01092	mabl:MMASJCM_2631
ko:K01814	mabl:MMASJCM_2632
ko:K01817	mabl:MMASJCM_2632
ko:K02501	mabl:MMASJCM_2633
ko:K00817	mabl:MMASJCM_2635
ko:K00013	mabl:MMASJCM_2636
ko:K00767	mabl:MMASJCM_2638
ko:K01725	mabl:MMASJCM_0059
ko:K11921	mabl:MMASJCM_0060
ko:K03578	mabl:MMASJCM_0061
ko:K17883	mabl:MMASJCM_0065
ko:K08987	mabl:MMASJCM_0073
