ko:K13967	bmee:DK62_3016
ko:K22617	bmee:DK62_1436
ko:K21909	bmee:DK62_2587
ko:K00344	bmee:DK62_2862
ko:K00001	bmee:DK62_2709
ko:K02031	bmee:DK62_2664
ko:K03297	bmee:DK62_492
ko:K07492	bmee:DK62_889
ko:K18893	bmee:DK62_1994
ko:K07492	bmee:DK62_878
ko:K07492	bmee:DK62_872
ko:K22616	bmee:DK62_1985
ko:K02031	bmee:DK62_3022
ko:K07050	bmee:DK62_370
ko:K03296	bmee:DK62_2631
ko:K00035	bmee:DK62_2513
ko:K11741	bmee:DK62_629
ko:K00108	bmee:DK62_1911
ko:K14218	bmee:DK62_1707
ko:K14218	bmee:DK62_2336
ko:K14218	bmee:DK62_1907
ko:K14227	bmee:DK62_1706
ko:K14227	bmee:DK62_1906
ko:K14227	bmee:DK62_2335
ko:K14218	bmee:DK62_1379
ko:K14225	bmee:DK62_174
ko:K14219	bmee:DK62_684
ko:K14229	bmee:DK62_94
ko:K14230	bmee:DK62_2057
ko:K01271	bmee:DK62_2008
ko:K07005	bmee:DK62_61
ko:K21911	bmee:DK62_2583
ko:K02031	bmee:DK62_2356
ko:K00130	bmee:DK62_853
ko:K19231	bmee:DK62_2300
ko:K19233	bmee:DK62_1722
ko:K19232	bmee:DK62_1334
ko:K00336	bmee:DK62_598
ko:K11209	bmee:DK62_772
ko:K01990	bmee:DK62_2960
ko:K00249	bmee:DK62_985
ko:K00065	bmee:DK62_2474
ko:K00076	bmee:DK62_1927
ko:K01144	bmee:DK62_50
ko:K11079	bmee:DK62_2350
ko:K22616	bmee:DK62_1986
ko:K07492	bmee:DK62_868
ko:K04771	bmee:DK62_788
ko:K19270	bmee:DK62_551
ko:K21686	bmee:DK62_237
ko:K11077	bmee:DK62_2352
ko:K14230	bmee:DK62_1942
ko:K14226	bmee:DK62_1940
ko:K03446	bmee:DK62_2139
ko:K07498	bmee:DK62_1713
ko:K13010	bmee:DK62_880
ko:K05799	bmee:DK62_3215
ko:K01977	bmee:DK62_1705
ko:K01977	bmee:DK62_1905
ko:K01977	bmee:DK62_2334
ko:K01980	bmee:DK62_1708
ko:K01980	bmee:DK62_1908
ko:K01980	bmee:DK62_2337
ko:K00311	bmee:DK62_777
ko:K01256	bmee:DK62_782
ko:K07716	bmee:DK62_783
ko:K00982	bmee:DK62_785
ko:K02200	bmee:DK62_789
ko:K02198	bmee:DK62_790
ko:K02197	bmee:DK62_791
ko:K02200	bmee:DK62_792
ko:K05366	bmee:DK62_818
ko:K11357	bmee:DK62_824
ko:K02426	bmee:DK62_826
ko:K02433	bmee:DK62_827
ko:K01354	bmee:DK62_832
ko:K04564	bmee:DK62_834
ko:K01560	bmee:DK62_836
ko:K03760	bmee:DK62_1630
ko:K03070	bmee:DK62_1632
ko:K03769	bmee:DK62_1633
ko:K00620	bmee:DK62_1634
ko:K03574	bmee:DK62_1636
ko:K01069	bmee:DK62_1639
ko:K06190	bmee:DK62_1640
ko:K03110	bmee:DK62_1641
ko:K18707	bmee:DK62_1642
ko:K01778	bmee:DK62_1643
ko:K06916	bmee:DK62_1645
ko:K00024	bmee:DK62_1646
ko:K01903	bmee:DK62_1647
ko:K01902	bmee:DK62_1648
ko:K00164	bmee:DK62_1649
ko:K00658	bmee:DK62_1650
ko:K00382	bmee:DK62_1654
ko:K09973	bmee:DK62_1655
ko:K03733	bmee:DK62_1656
ko:K02860	bmee:DK62_1657
ko:K00554	bmee:DK62_1658
ko:K07090	bmee:DK62_1663
ko:K03457	bmee:DK62_1664
ko:K02884	bmee:DK62_1665
ko:K01703	bmee:DK62_1666
ko:K00241	bmee:DK62_1668
ko:K00242	bmee:DK62_1669
ko:K00239	bmee:DK62_1670
ko:K00240	bmee:DK62_1671
ko:K03185	bmee:DK62_1673
ko:K10805	bmee:DK62_1674
ko:K03320	bmee:DK62_1675
ko:K03466	bmee:DK62_1676
ko:K00324	bmee:DK62_2481
ko:K00324	bmee:DK62_2482
ko:K00325	bmee:DK62_2483
