ko:K18929	hpyb:HPOKI102_00985
ko:K18928	hpyb:HPOKI102_00990
ko:K07316	hpyb:HPOKI102_01605
ko:K18682	hpyb:HPOKI102_03240
ko:K03496	hpyb:HPOKI102_05235
ko:K03196	hpyb:HPOKI102_07160
ko:K03196	hpyb:HPOKI102_05285
ko:K07316	hpyb:HPOKI102_00520
ko:K02847	hpyb:HPOKI102_02345
ko:K06180	hpyb:HPOKI102_02015
ko:K07462	hpyb:HPOKI102_02020
ko:K01937	hpyb:HPOKI102_02025
ko:K02409	hpyb:HPOKI102_02035
ko:K02410	hpyb:HPOKI102_02040
ko:K02411	hpyb:HPOKI102_02045
ko:K01662	hpyb:HPOKI102_02050
ko:K03596	hpyb:HPOKI102_02055
ko:K02392	hpyb:HPOKI102_02070
ko:K03466	hpyb:HPOKI102_02085
ko:K00615	hpyb:HPOKI102_02095
ko:K11753	hpyb:HPOKI102_02100
ko:K06442	hpyb:HPOKI102_02105
ko:K00609	hpyb:HPOKI102_02115
ko:K11085	hpyb:HPOKI102_02125
ko:K07241	hpyb:HPOKI102_02150
ko:K17686	hpyb:HPOKI102_02175
ko:K17103	hpyb:HPOKI102_02180
ko:K03798	hpyb:HPOKI102_02190
ko:K02687	hpyb:HPOKI102_02195
ko:K03413	hpyb:HPOKI102_02200
ko:K06950	hpyb:HPOKI102_02220
ko:K03501	hpyb:HPOKI102_02225
ko:K07568	hpyb:HPOKI102_02230
ko:K03118	hpyb:HPOKI102_02235
ko:K03117	hpyb:HPOKI102_02240
ko:K03551	hpyb:HPOKI102_02245
ko:K00606	hpyb:HPOKI102_02250
ko:K03610	hpyb:HPOKI102_02275
ko:K02913	hpyb:HPOKI102_06360
ko:K02358	hpyb:HPOKI102_06365
ko:K07318	hpyb:HPOKI102_06400
ko:K00640	hpyb:HPOKI102_06410
ko:K02110	hpyb:HPOKI102_06425
ko:K00962	hpyb:HPOKI102_06430
ko:K04744	hpyb:HPOKI102_06440
ko:K01945	hpyb:HPOKI102_06450
ko:K01990	hpyb:HPOKI102_06475
ko:K00806	hpyb:HPOKI102_06480
ko:K01719	hpyb:HPOKI102_06495
ko:K06199	hpyb:HPOKI102_06500
ko:K08311	hpyb:HPOKI102_06515
ko:K00928	hpyb:HPOKI102_06520
ko:K02341	hpyb:HPOKI102_06530
ko:K00796	hpyb:HPOKI102_06535
ko:K09804	hpyb:HPOKI102_06555
ko:K01956	hpyb:HPOKI102_06560
ko:K01455	hpyb:HPOKI102_06565
ko:K06287	hpyb:HPOKI102_06575
