ko:K22350	ppun:PP4_25610
ko:K19296	ppun:PP4_07900
ko:K09796	ppun:PP4_34350
ko:K03560	ppun:PP4_52370
ko:K10747	ppun:PP4_10490
ko:K18923	ppun:PP4_33660
ko:K02226	ppun:PP4_40910
ko:K18302	ppun:PP4_41960
ko:K13609	ppun:PP4_22360
ko:K03297	ppun:PP4_49940
ko:K03863	ppun:PP4_20840
ko:K08305	ppun:PP4_48650
ko:K22617	ppun:PP4_08960
ko:K16238	ppun:PP4_06160
ko:K11383	ppun:PP4_01240
ko:K11741	ppun:PP4_40730
ko:K18334	ppun:PP4_29860
ko:K07665	ppun:PP4_00210
ko:K07221	ppun:PP4_00290
ko:K00652	ppun:PP4_03940
ko:K01409	ppun:PP4_04230
ko:K00974	ppun:PP4_04270
ko:K01525	ppun:PP4_04320
ko:K00124	ppun:PP4_05240
ko:K00127	ppun:PP4_05250
ko:K01424	ppun:PP4_05290
ko:K01784	ppun:PP4_05360
ko:K02004	ppun:PP4_05410
ko:K03406	ppun:PP4_06570
ko:K07213	ppun:PP4_06610
ko:K15725	ppun:PP4_00360
ko:K07665	ppun:PP4_00380
ko:K15727	ppun:PP4_00350
ko:K03499	ppun:PP4_00570
ko:K04063	ppun:PP4_00810
ko:K03406	ppun:PP4_03440
ko:K03406	ppun:PP4_03470
ko:K07304	ppun:PP4_03660
ko:K02843	ppun:PP4_03710
ko:K02014	ppun:PP4_03810
ko:K02342	ppun:PP4_03840
ko:K07182	ppun:PP4_03850
ko:K02052	ppun:PP4_04440
ko:K02055	ppun:PP4_04450
ko:K10914	ppun:PP4_04560
ko:K02274	ppun:PP4_00950
ko:K02258	ppun:PP4_00960
ko:K09815	ppun:PP4_01120
ko:K13590	ppun:PP4_01210
ko:K02067	ppun:PP4_01330
ko:K02030	ppun:PP4_05570
ko:K02858	ppun:PP4_05650
ko:K07017	ppun:PP4_05680
ko:K07114	ppun:PP4_05910
ko:K07114	ppun:PP4_05920
ko:K02014	ppun:PP4_01540
ko:K02051	ppun:PP4_01670
ko:K02049	ppun:PP4_01680
ko:K02050	ppun:PP4_01690
