ko:K01212	ppy:PPE_00682
ko:K01218	ppy:PPE_00557
ko:K01218	ppy:PPE_01136
ko:K03929	ppy:PPE_01207
ko:K15587	ppy:PPE_04751
ko:K10824	ppy:PPE_04750
ko:K04771	ppy:PPE_04344
ko:K04771	ppy:PPE_04910
ko:K10118	ppy:PPE_00643
ko:K01838	ppy:PPE_00248
ko:K01035	ppy:PPE_01172
ko:K02055	ppy:PPE_04592
ko:K02052	ppy:PPE_04587
ko:K02053	ppy:PPE_04588
ko:K02054	ppy:PPE_04589
ko:K00887	ppy:PPE_03177
ko:K22109	ppy:PPE_01206
ko:K15634	ppy:PPE_02729
ko:K02313	ppy:PPE_00001
ko:K02338	ppy:PPE_00002
ko:K21613	ppy:PPE_02081
ko:K06423	ppy:PPE_00032
ko:K00919	ppy:PPE_00033
ko:K06412	ppy:PPE_00035
ko:K06885	ppy:PPE_00025
ko:K03424	ppy:PPE_00026
ko:K06436	ppy:PPE_00030
ko:K06284	ppy:PPE_00024
ko:K05985	ppy:PPE_00028
ko:K02528	ppy:PPE_00029
ko:K15311	ppy:PPE_03015
ko:K15518	ppy:PPE_00888
ko:K04042	ppy:PPE_00036
ko:K01056	ppy:PPE_00039
ko:K04769	ppy:PPE_00043
ko:K03723	ppy:PPE_00041
ko:K00948	ppy:PPE_00037
ko:K10240	ppy:PPE_03704
ko:K01971	ppy:PPE_00335
ko:K03332	ppy:PPE_01473
ko:K01652	ppy:PPE_00080
ko:K02372	ppy:PPE_00082
ko:K06215	ppy:PPE_00090
ko:K08681	ppy:PPE_00091
ko:K01875	ppy:PPE_00092
ko:K03530	ppy:PPE_00046
ko:K07571	ppy:PPE_00051
ko:K06382	ppy:PPE_00053
ko:K04075	ppy:PPE_00056
ko:K00760	ppy:PPE_00057
ko:K03798	ppy:PPE_00058
ko:K00278	ppy:PPE_00059
ko:K00767	ppy:PPE_00060
ko:K03525	ppy:PPE_00061
ko:K04083	ppy:PPE_00062
ko:K01738	ppy:PPE_00064
ko:K01665	ppy:PPE_00065
ko:K00796	ppy:PPE_00068
ko:K01633	ppy:PPE_00069
ko:K00950	ppy:PPE_00070
ko:K03624	ppy:PPE_00073
ko:K04567	ppy:PPE_00074
ko:K00208	ppy:PPE_00077
ko:K14227	ppy:PPE_00149
ko:K14227	ppy:PPE_04235
ko:K14227	ppy:PPE_00349
ko:K14233	ppy:PPE_00093
ko:K03293	ppy:PPE_00872
ko:K14219	ppy:PPE_00193
ko:K03491	ppy:PPE_03810
ko:K07533	ppy:PPE_00042
ko:K14231	ppy:PPE_00158
ko:K14231	ppy:PPE_00358
ko:K14231	ppy:PPE_03981
ko:K14225	ppy:PPE_00365
ko:K14225	ppy:PPE_04225
ko:K14225	ppy:PPE_03638
ko:K14225	ppy:PPE_03975
ko:K00065	ppy:PPE_04630
ko:K00963	ppy:PPE_04339
ko:K01916	ppy:PPE_00691
ko:K00645	ppy:PPE_02357
ko:K01990	ppy:PPE_00297
ko:K06147	ppy:PPE_00981
ko:K01449	ppy:PPE_02461
