ko:K03457	abb:ABBFA_002160
ko:K14682	abb:ABBFA_003480
ko:K12297	abb:ABBFA_002388
ko:K18137	abb:ABBFA_001467
ko:K03602	abb:ABBFA_002354
ko:K14159	abb:ABBFA_002494
ko:K02946	abb:ABBFA_000431
ko:K03821	abb:ABBFA_001221
ko:K08167	abb:ABBFA_001419
ko:K03760	abb:ABBFA_000717
ko:K01874	abb:ABBFA_002833
ko:K00626	abb:ABBFA_000609
ko:K01895	abb:ABBFA_000172
ko:K01895	abb:ABBFA_003414
ko:K01895	abb:ABBFA_001319
ko:K00652	abb:ABBFA_002804
ko:K00567	abb:ABBFA_002906
ko:K00626	abb:ABBFA_000619
ko:K00626	abb:ABBFA_002137
ko:K00626	abb:ABBFA_001764
ko:K06958	abb:ABBFA_002973
ko:K02619	abb:ABBFA_000915
ko:K03316	abb:ABBFA_000774
ko:K00832	abb:ABBFA_003441
ko:K07090	abb:ABBFA_001832
ko:K07090	abb:ABBFA_001786
ko:K07090	abb:ABBFA_000028
ko:K00299	abb:ABBFA_000176
ko:K03767	abb:ABBFA_003498
ko:K00027	abb:ABBFA_003379
ko:K01262	abb:ABBFA_002510
ko:K02452	abb:ABBFA_003265
ko:K02453	abb:ABBFA_003264
ko:K01625	abb:ABBFA_003049
ko:K00265	abb:ABBFA_000327
ko:K11747	abb:ABBFA_003169
ko:K00262	abb:ABBFA_002583
ko:K11731	abb:ABBFA_000509
ko:K07642	abb:ABBFA_000578
ko:K12340	abb:ABBFA_003277
ko:K02237	abb:ABBFA_002978
ko:K03561	abb:ABBFA_001923
ko:K03497	abb:ABBFA_001924
ko:K11747	abb:ABBFA_001641
ko:K03501	abb:ABBFA_001926
ko:K07102	abb:ABBFA_001928
ko:K04744	abb:ABBFA_001929
ko:K03771	abb:ABBFA_001930
ko:K01624	abb:ABBFA_001931
ko:K09966	abb:ABBFA_001934
ko:K07862	abb:ABBFA_001939
ko:K09912	abb:ABBFA_001941
ko:K02437	abb:ABBFA_001945
ko:K00615	abb:ABBFA_001957
ko:K00789	abb:ABBFA_001958
ko:K07113	abb:ABBFA_001961
ko:K03594	abb:ABBFA_000335
ko:K02192	abb:ABBFA_000336
ko:K03060	abb:ABBFA_000339
ko:K00942	abb:ABBFA_000340
ko:K03527	abb:ABBFA_000341
ko:K08084	abb:ABBFA_000342
ko:K02672	abb:ABBFA_000343
ko:K02674	abb:ABBFA_000345
ko:K02655	abb:ABBFA_000347
ko:K02959	abb:ABBFA_000348
ko:K02860	abb:ABBFA_000349
ko:K00554	abb:ABBFA_000350
ko:K02884	abb:ABBFA_000351
ko:K00784	abb:ABBFA_001171
ko:K07018	abb:ABBFA_001172
ko:K09861	abb:ABBFA_001173
ko:K03149	abb:ABBFA_001174
ko:K03154	abb:ABBFA_001175
ko:K03089	abb:ABBFA_001177
ko:K03704	abb:ABBFA_001179
ko:K03732	abb:ABBFA_001180
ko:K00057	abb:ABBFA_001183
ko:K08296	abb:ABBFA_001184
ko:K02461	abb:ABBFA_001185
