ko:K00984	senn:SN31241_23340
ko:K18138	senn:SN31241_14780
ko:K10906	senn:SN31241_37460
ko:K00632	senn:SN31241_34970
ko:K19504	senn:SN31241_9150
ko:K06148	senn:SN31241_5790
ko:K03297	senn:SN31241_27320
ko:K19595	senn:SN31241_13470
ko:K01990	senn:SN31241_18650
ko:K18141	senn:SN31241_45160
ko:K09690	senn:SN31241_17220
ko:K08348	senn:SN31241_26450
ko:K02345	senn:SN31241_29750
ko:K21430	senn:SN31241_19150
ko:K03111	senn:SN31241_5730
ko:K02032	senn:SN31241_23300
ko:K00526	senn:SN31241_33830
ko:K03111	senn:SN31241_17960
ko:K18968	senn:SN31241_13820
ko:K01791	senn:SN31241_48020
ko:K01185	senn:SN31241_37260
ko:K19611	senn:SN31241_38650
ko:K14744	senn:SN31241_20420
ko:K00287	senn:SN31241_10670
ko:K02495	senn:SN31241_47300
ko:K19221	senn:SN31241_28020
ko:K10906	senn:SN31241_20250
ko:K00254	senn:SN31241_20730
ko:K18288	senn:SN31241_42420
ko:K13654	senn:SN31241_26630
ko:K01139	senn:SN31241_1350
ko:K07274	senn:SN31241_23590
ko:K19230	senn:SN31241_27780
ko:K18828	senn:SN31241_41480
ko:K00537	senn:SN31241_36020
ko:K18816	senn:SN31241_26930
ko:K07012	senn:SN31241_40420
ko:K01420	senn:SN31241_27410
ko:K03604	senn:SN31241_24970
ko:K09477	senn:SN31241_16230
ko:K00151	senn:SN31241_21690
ko:K03779	senn:SN31241_44790
ko:K06075	senn:SN31241_25110
ko:K00821	senn:SN31241_4200
ko:K00951	senn:SN31241_40660
ko:K17713	senn:SN31241_36260
ko:K18292	senn:SN31241_42440
ko:K11070	senn:SN31241_22910
ko:K03417	senn:SN31241_13640
ko:K08302	senn:SN31241_43810
ko:K00389	senn:SN31241_720
ko:K02116	senn:SN31241_40
ko:K02193	senn:SN31241_560
ko:K07772	senn:SN31241_510
ko:K02200	senn:SN31241_630
ko:K13636	senn:SN31241_770
ko:K02484	senn:SN31241_21620
ko:K12678	senn:SN31241_1230
ko:K01897	senn:SN31241_29040
ko:K18139	senn:SN31241_13450
ko:K00040	senn:SN31241_42630
ko:K00265	senn:SN31241_44530
ko:K00040	senn:SN31241_25800
ko:K03559	senn:SN31241_42860
ko:K08316	senn:SN31241_3200
ko:K08598	senn:SN31241_39570
ko:K04065	senn:SN31241_9360
ko:K01990	senn:SN31241_11610
ko:K14219	senn:SN31241_t120
ko:K14223	senn:SN31241_t820
ko:K14223	senn:SN31241_t830
ko:K14219	senn:SN31241_t220
ko:K03665	senn:SN31241_7480
ko:K04088	senn:SN31241_7490
ko:K04087	senn:SN31241_7500
ko:K09937	senn:SN31241_7510
ko:K01939	senn:SN31241_7520
ko:K13771	senn:SN31241_7530
ko:K12573	senn:SN31241_7540
ko:K03218	senn:SN31241_7550
ko:K09980	senn:SN31241_7560
ko:K10716	senn:SN31241_7580
ko:K08989	senn:SN31241_7600
ko:K09456	senn:SN31241_7630
ko:K03477	senn:SN31241_7670
ko:K03078	senn:SN31241_7720
ko:K02990	senn:SN31241_7760
ko:K02686	senn:SN31241_7770
ko:K02963	senn:SN31241_7780
ko:K02939	senn:SN31241_7790
ko:K07269	senn:SN31241_7810
ko:K03773	senn:SN31241_7820
ko:K11737	senn:SN31241_7840
ko:K07322	senn:SN31241_7870
ko:K07109	senn:SN31241_7940
ko:K07278	senn:SN31241_7980
ko:K09800	senn:SN31241_7990
ko:K03841	senn:SN31241_8040
ko:K00216	senn:SN31241_16020
ko:K06200	senn:SN31241_16040
ko:K08317	senn:SN31241_16060
ko:K14287	senn:SN31241_16070
ko:K03805	senn:SN31241_16110
ko:K03387	senn:SN31241_16130
ko:K11932	senn:SN31241_16180
ko:K06140	senn:SN31241_16210
ko:K01169	senn:SN31241_16220
ko:K14224	senn:SN31241_t20
ko:K14224	senn:SN31241_t640
ko:K14224	senn:SN31241_t390
ko:K14224	senn:SN31241_t540
ko:K14234	senn:SN31241_t530
ko:K14236	senn:SN31241_t510
ko:K14236	senn:SN31241_t240
ko:K14236	senn:SN31241_t250
ko:K05964	senn:SN31241_16250
ko:K01643	senn:SN31241_16260
ko:K01644	senn:SN31241_16270
ko:K01646	senn:SN31241_16280
ko:K01910	senn:SN31241_16290
ko:K07700	senn:SN31241_16310
ko:K07702	senn:SN31241_16320
ko:K12973	senn:SN31241_16340
ko:K03704	senn:SN31241_16350
ko:K06199	senn:SN31241_16360
ko:K03425	senn:SN31241_16380
ko:K03644	senn:SN31241_16390
ko:K03801	senn:SN31241_16410
ko:K09158	senn:SN31241_16420
ko:K03642	senn:SN31241_16440
