ko:K18137	abx:ABK1_2568
ko:K03602	abx:ABK1_1657
ko:K00520	abx:ABK1_1138
ko:K03395	abx:ABK1_1589
ko:K20319	abx:ABK1_2681
ko:K15725	abx:ABK1_3465
ko:K18138	abx:ABK1_3039
ko:K03297	abx:ABK1_1190
ko:K03297	abx:ABK1_3145
ko:K18145	abx:ABK1_2283
ko:K18146	abx:ABK1_2282
ko:K21029	abx:ABK1_1344
ko:K11735	abx:ABK1_1250
ko:K11735	abx:ABK1_3529
ko:K19302	abx:ABK1_0030
ko:K16238	abx:ABK1_1435
ko:K07278	abx:ABK1_1407
ko:K11741	abx:ABK1_0692
ko:K03286	abx:ABK1_1753
ko:K12543	abx:ABK1_1684
ko:K11939	abx:ABK1_1697
ko:K07391	abx:ABK1_0233
ko:K10716	abx:ABK1_1412
ko:K12262	abx:ABK1_1604
ko:K00020	abx:ABK1_0136
ko:K02169	abx:ABK1_0805
ko:K01935	abx:ABK1_0806
ko:K06178	abx:ABK1_0807
ko:K06024	abx:ABK1_0808
ko:K05896	abx:ABK1_0809
ko:K09906	abx:ABK1_0811
ko:K07040	abx:ABK1_0812
ko:K02911	abx:ABK1_0813
ko:K00645	abx:ABK1_0814
ko:K02078	abx:ABK1_0816
ko:K00941	abx:ABK1_0818
ko:K01091	abx:ABK1_0819
ko:K01579	abx:ABK1_0823
ko:K01056	abx:ABK1_0824
ko:K02897	abx:ABK1_0825
ko:K00948	abx:ABK1_0826
ko:K02494	abx:ABK1_0827
ko:K02492	abx:ABK1_0829
ko:K05807	abx:ABK1_0831
ko:K06180	abx:ABK1_0832
ko:K05810	abx:ABK1_0833
ko:K03664	abx:ABK1_0835
ko:K00954	abx:ABK1_0836
ko:K07246	abx:ABK1_0840
ko:K01950	abx:ABK1_0847
ko:K06911	abx:ABK1_0849
ko:K08973	abx:ABK1_0850
ko:K02950	abx:ABK1_0853
ko:K02992	abx:ABK1_0854
ko:K02355	abx:ABK1_0855
ko:K07044	abx:ABK1_0857
ko:K07044	abx:ABK1_0858
ko:K03789	abx:ABK1_0859
ko:K00684	abx:ABK1_0861
ko:K09761	abx:ABK1_1586
ko:K06911	abx:ABK1_1596
ko:K06901	abx:ABK1_1602
ko:K03470	abx:ABK1_1606
ko:K03563	abx:ABK1_1607
ko:K00928	abx:ABK1_1608
ko:K01872	abx:ABK1_1609
ko:K00134	abx:ABK1_1610
ko:K02502	abx:ABK1_1611
ko:K01939	abx:ABK1_1612
ko:K03771	abx:ABK1_2052
ko:K04744	abx:ABK1_2053
ko:K03501	abx:ABK1_2056
ko:K03561	abx:ABK1_2059
ko:K00912	abx:ABK1_2062
ko:K00979	abx:ABK1_2063
ko:K02341	abx:ABK1_2064
ko:K02676	abx:ABK1_2065
ko:K03424	abx:ABK1_2066
ko:K02456	abx:ABK1_2068
ko:K02458	abx:ABK1_2069
ko:K02459	abx:ABK1_2070
ko:K02460	abx:ABK1_2071
ko:K01737	abx:ABK1_2072
ko:K03648	abx:ABK1_2073
ko:K00945	abx:ABK1_2077
ko:K02945	abx:ABK1_2078
ko:K05788	abx:ABK1_2079
ko:K01591	abx:ABK1_2081
ko:K01265	abx:ABK1_2521
ko:K03311	abx:ABK1_2522
ko:K02769	abx:ABK1_2528
ko:K02770	abx:ABK1_2528
ko:K00117	abx:ABK1_2535
ko:K01556	abx:ABK1_2541
ko:K04762	abx:ABK1_2548
ko:K07443	abx:ABK1_2988
ko:K09781	abx:ABK1_3003
ko:K01867	abx:ABK1_3004
ko:K01902	abx:ABK1_3005
ko:K01903	abx:ABK1_3006
ko:K00382	abx:ABK1_3007
ko:K00658	abx:ABK1_3008
ko:K00164	abx:ABK1_3009
ko:K00240	abx:ABK1_3010
ko:K00239	abx:ABK1_3011
ko:K00242	abx:ABK1_3012
ko:K01647	abx:ABK1_3014
ko:K06938	abx:ABK1_3015
ko:K00891	abx:ABK1_3440
ko:K02666	abx:ABK1_3441
ko:K02662	abx:ABK1_3445
ko:K05366	abx:ABK1_3446
ko:K00563	abx:ABK1_3447
ko:K01000	abx:ABK1_3449
ko:K01929	abx:ABK1_3450
ko:K01928	abx:ABK1_3451
ko:K03587	abx:ABK1_3452
ko:K03586	abx:ABK1_3453
ko:K03438	abx:ABK1_3454
ko:K02048	abx:ABK1_3455
ko:K13292	abx:ABK1_0503
ko:K07093	abx:ABK1_0505
ko:K07093	abx:ABK1_0506
ko:K03118	abx:ABK1_0507
ko:K03117	abx:ABK1_0508
ko:K03116	abx:ABK1_0509
