ko:K06896	stw:Y1U_C0182
ko:K07016	stw:Y1U_C0927
ko:K01533	stw:Y1U_C1018
ko:K02028	stw:Y1U_C0581
ko:K03293	stw:Y1U_C0487
ko:K10040	stw:Y1U_C0766
ko:K10009	stw:Y1U_C0916
ko:K19689	stw:Y1U_C0061
ko:K16301	stw:Y1U_C0878
ko:K01119	stw:Y1U_C0129
ko:K04072	stw:Y1U_C1765
ko:K13677	stw:Y1U_C0545
ko:K07260	stw:Y1U_C0106
ko:K01271	stw:Y1U_C0605
ko:K01925	stw:Y1U_C0698
ko:K02563	stw:Y1U_C0699
ko:K03589	stw:Y1U_C0700
ko:K03590	stw:Y1U_C0701
ko:K03531	stw:Y1U_C0702
ko:K06997	stw:Y1U_C0703
ko:K09772	stw:Y1U_C0704
ko:K02221	stw:Y1U_C0705
ko:K04074	stw:Y1U_C0707
ko:K01870	stw:Y1U_C0708
ko:K02909	stw:Y1U_C0712
ko:K03734	stw:Y1U_C0713
ko:K02835	stw:Y1U_C0718
ko:K02493	stw:Y1U_C0719
ko:K07566	stw:Y1U_C0720
ko:K00600	stw:Y1U_C0721
ko:K03367	stw:Y1U_C0727
ko:K03739	stw:Y1U_C0728
ko:K14188	stw:Y1U_C0729
ko:K03740	stw:Y1U_C0730
ko:K00549	stw:Y1U_C0753
ko:K07707	stw:Y1U_C1579
ko:K06941	stw:Y1U_C1590
ko:K01000	stw:Y1U_C1595
ko:K03438	stw:Y1U_C1598
ko:K00147	stw:Y1U_C1603
ko:K00931	stw:Y1U_C1604
ko:K07150	stw:Y1U_C1607
ko:K03655	stw:Y1U_C1615
ko:K01775	stw:Y1U_C1616
ko:K00997	stw:Y1U_C1617
ko:K00962	stw:Y1U_C0074
ko:K00640	stw:Y1U_C0076
ko:K01883	stw:Y1U_C0077
ko:K11145	stw:Y1U_C0078
ko:K03218	stw:Y1U_C0082
ko:K06962	stw:Y1U_C0083
ko:K00077	stw:Y1U_C0086
ko:K02871	stw:Y1U_C0087
ko:K02996	stw:Y1U_C0088
ko:K07282	stw:Y1U_C0102
ko:K07166	stw:Y1U_C0103
ko:K09157	stw:Y1U_C0104
ko:K03705	stw:Y1U_C0108
ko:K03687	stw:Y1U_C0109
ko:K04043	stw:Y1U_C0110
ko:K03686	stw:Y1U_C0111
ko:K06173	stw:Y1U_C0112
ko:K00868	stw:Y1U_C0113
ko:K00574	stw:Y1U_C0118
ko:K03545	stw:Y1U_C0122
ko:K01937	stw:Y1U_C0124
ko:K02687	stw:Y1U_C0127
ko:K09761	stw:Y1U_C0128
ko:K03106	stw:Y1U_C0983
ko:K03710	stw:Y1U_C0985
ko:K01951	stw:Y1U_C0986
ko:K02029	stw:Y1U_C0996
ko:K06193	stw:Y1U_C0997
ko:K00820	stw:Y1U_C0998
ko:K01154	stw:Y1U_C1012
ko:K00640	stw:Y1U_C1014
ko:K03704	stw:Y1U_C1019
ko:K06958	stw:Y1U_C1024
ko:K09457	stw:Y1U_C1027
ko:K10026	stw:Y1U_C1028
ko:K01737	stw:Y1U_C1029
ko:K06920	stw:Y1U_C1030
ko:K03551	stw:Y1U_C1831
ko:K01939	stw:Y1U_C1835
ko:K07478	stw:Y1U_C1850
ko:K02902	stw:Y1U_C1851
ko:K07447	stw:Y1U_C1853
ko:K09861	stw:Y1U_C1860
ko:K01876	stw:Y1U_C1862
ko:K01892	stw:Y1U_C1864
ko:K02911	stw:Y1U_C1865
ko:K02913	stw:Y1U_C1866
ko:K01421	stw:Y1U_C1878
ko:K08987	stw:Y1U_C1880
ko:K02986	stw:Y1U_C1882
ko:K04758	stw:Y1U_C0582
ko:K04759	stw:Y1U_C0583
ko:K01790	stw:Y1U_C0585
ko:K01491	stw:Y1U_C0588
ko:K00687	stw:Y1U_C0590
ko:K06187	stw:Y1U_C0591
ko:K07042	stw:Y1U_C0594
ko:K00859	stw:Y1U_C0598
ko:K03075	stw:Y1U_C0600
ko:K12573	stw:Y1U_C0601
ko:K03664	stw:Y1U_C0602
ko:K02529	stw:Y1U_C0606
ko:K01689	stw:Y1U_C0609
ko:K06969	stw:Y1U_C0612
ko:K03785	stw:Y1U_C0613
ko:K00014	stw:Y1U_C0614
ko:K01735	stw:Y1U_C0615
ko:K01736	stw:Y1U_C0616
ko:K00800	stw:Y1U_C0620
ko:K00891	stw:Y1U_C0621
ko:K03215	stw:Y1U_C0627
ko:K00655	stw:Y1U_C1457
ko:K07461	stw:Y1U_C1461
ko:K05592	stw:Y1U_C1462
ko:K02837	stw:Y1U_C1468
ko:K01929	stw:Y1U_C1470
ko:K02029	stw:Y1U_C1475
ko:K02029	stw:Y1U_C1476
ko:K01921	stw:Y1U_C1477
ko:K01695	stw:Y1U_C1481
ko:K01696	stw:Y1U_C1482
ko:K01817	stw:Y1U_C1483
ko:K01609	stw:Y1U_C1484
ko:K00766	stw:Y1U_C1485
ko:K01657	stw:Y1U_C1487
ko:K09747	stw:Y1U_C1493
ko:K01687	stw:Y1U_C1499
ko:K07007	stw:Y1U_C1500
ko:K03439	stw:Y1U_C1501
ko:K02503	stw:Y1U_C1505
ko:K03565	stw:Y1U_C0360
ko:K01914	stw:Y1U_C0362
ko:K00928	stw:Y1U_C0363
ko:K00648	stw:Y1U_C0367
ko:K02078	stw:Y1U_C0368
ko:K00645	stw:Y1U_C0370
ko:K09458	stw:Y1U_C0372
ko:K02160	stw:Y1U_C0373
ko:K02372	stw:Y1U_C0374
ko:K01961	stw:Y1U_C0375
ko:K01963	stw:Y1U_C0376
ko:K01962	stw:Y1U_C0377
ko:K07173	stw:Y1U_C0378
ko:K02313	stw:Y1U_C0001
ko:K02338	stw:Y1U_C0002
ko:K06942	stw:Y1U_C0004
ko:K01056	stw:Y1U_C0005
ko:K03723	stw:Y1U_C0006
ko:K04075	stw:Y1U_C0011
ko:K00760	stw:Y1U_C0012
ko:K03798	stw:Y1U_C0013
ko:K03570	stw:Y1U_C0021
ko:K03571	stw:Y1U_C0022
ko:K00948	stw:Y1U_C0024
ko:K03584	stw:Y1U_C0027
ko:K03621	stw:Y1U_C0028
ko:K00382	stw:Y1U_C0874
ko:K07224	stw:Y1U_C0877
ko:K07243	stw:Y1U_C0879
ko:K03118	stw:Y1U_C0880
ko:K03116	stw:Y1U_C0881
ko:K02529	stw:Y1U_C0884
ko:K00705	stw:Y1U_C0885
ko:K00688	stw:Y1U_C0886
ko:K03800	stw:Y1U_C0889
ko:K01256	stw:Y1U_C0892
ko:K02039	stw:Y1U_C0893
ko:K02036	stw:Y1U_C0894
ko:K02036	stw:Y1U_C0895
ko:K02038	stw:Y1U_C0896
ko:K02037	stw:Y1U_C0897
ko:K02040	stw:Y1U_C0898
ko:K11753	stw:Y1U_C0903
ko:K11065	stw:Y1U_C0906
ko:K01740	stw:Y1U_C0907
ko:K03657	stw:Y1U_C0908
ko:K03310	stw:Y1U_C0909
ko:K03650	stw:Y1U_C0910
ko:K03305	stw:Y1U_C0919
ko:K00762	stw:Y1U_C0920
ko:K01591	stw:Y1U_C0921
ko:K05823	stw:Y1U_C1723
ko:K00563	stw:Y1U_C1725
ko:K07112	stw:Y1U_C1731
