ko:K19504	senv:AU39_22235
ko:K01977	senv:AU39_19105
ko:K01977	senv:AU39_01270
ko:K00632	senv:AU39_19535
ko:K19595	senv:AU39_01700
ko:K19555	senv:AU39_22715
ko:K01990	senv:AU39_03945
ko:K18816	senv:AU39_07430
ko:K21430	senv:AU39_04180
ko:K19611	senv:AU39_13315
ko:K02495	senv:AU39_19640
ko:K19697	senv:AU39_10380
ko:K19789	senv:AU39_11210
ko:K14225	senv:AU39_05490
ko:K14225	senv:AU39_21325
ko:K14225	senv:AU39_21320
ko:K14225	senv:AU39_21330
ko:K14225	senv:AU39_14640
ko:K14225	senv:AU39_20375
ko:K08348	senv:AU39_07675
ko:K03292	senv:AU39_19965
ko:K04103	senv:AU39_12115
ko:K00001	senv:AU39_19855
ko:K12979	senv:AU39_21000
ko:K01007	senv:AU39_08785
ko:K21469	senv:AU39_12475
ko:K14223	senv:AU39_03300
ko:K14223	senv:AU39_03305
ko:K14230	senv:AU39_03295
ko:K14230	senv:AU39_03315
ko:K08156	senv:AU39_01915
ko:K21905	senv:AU39_22925
ko:K19597	senv:AU39_01705
ko:K07005	senv:AU39_03415
ko:K07493	senv:AU39_06050
ko:K01801	senv:AU39_10975
ko:K08970	senv:AU39_14570
ko:K12453	senv:AU39_10550
ko:K00984	senv:AU39_09270
ko:K04753	senv:AU39_15340
ko:K01023	senv:AU39_15440
ko:K05874	senv:AU39_22205
ko:K21645	senv:AU39_22070
ko:K20861	senv:AU39_04215
ko:K20866	senv:AU39_19745
ko:K20881	senv:AU39_17145
ko:K20862	senv:AU39_19375
ko:K13450	senv:AU39_22690
ko:K01611	senv:AU39_00845
ko:K00797	senv:AU39_00850
ko:K14588	senv:AU39_00860
ko:K00117	senv:AU39_00865
ko:K00760	senv:AU39_00870
ko:K01673	senv:AU39_00875
ko:K01990	senv:AU39_00880
ko:K01992	senv:AU39_00885
ko:K07347	senv:AU39_00895
ko:K01579	senv:AU39_00920
ko:K01918	senv:AU39_00925
ko:K00606	senv:AU39_00930
ko:K00950	senv:AU39_00935
ko:K00970	senv:AU39_00940
ko:K01894	senv:AU39_00945
ko:K06204	senv:AU39_00950
ko:K05964	senv:AU39_03015
ko:K01643	senv:AU39_03020
ko:K01644	senv:AU39_03025
ko:K01646	senv:AU39_03030
ko:K01910	senv:AU39_03035
ko:K07700	senv:AU39_03040
ko:K07702	senv:AU39_03045
ko:K03326	senv:AU39_03050
ko:K12973	senv:AU39_03055
ko:K03704	senv:AU39_03060
ko:K06199	senv:AU39_03065
ko:K03425	senv:AU39_03075
ko:K03644	senv:AU39_03080
ko:K03801	senv:AU39_03090
ko:K09158	senv:AU39_03095
ko:K03642	senv:AU39_03105
ko:K05837	senv:AU39_03110
ko:K05515	senv:AU39_03115
ko:K00783	senv:AU39_03120
ko:K09710	senv:AU39_03125
ko:K02226	senv:AU39_03135
ko:K04720	senv:AU39_03140
ko:K07126	senv:AU39_05200
ko:K07126	senv:AU39_05205
ko:K07483	senv:AU39_05210
ko:K03704	senv:AU39_05235
ko:K06950	senv:AU39_05250
