ko:K03741	fpw:IA04_07650
ko:K21029	fpw:IA04_02080
ko:K01156	fpw:IA04_10585
ko:K19166	fpw:IA04_05770
ko:K19159	fpw:IA04_12025
ko:K19158	fpw:IA04_12020
ko:K01710	fpw:IA04_12180
ko:K01710	fpw:IA04_06115
ko:K09748	fpw:IA04_02250
ko:K02600	fpw:IA04_02255
ko:K07106	fpw:IA04_03550
ko:K07444	fpw:IA04_03570
ko:K03215	fpw:IA04_03595
ko:K00819	fpw:IA04_03620
ko:K06169	fpw:IA04_03635
ko:K07054	fpw:IA04_03645
ko:K05844	fpw:IA04_03655
ko:K03696	fpw:IA04_03660
ko:K02469	fpw:IA04_03665
ko:K09022	fpw:IA04_03675
ko:K01448	fpw:IA04_03685
ko:K02067	fpw:IA04_03690
ko:K01736	fpw:IA04_03750
ko:K00626	fpw:IA04_03775
ko:K00605	fpw:IA04_03805
ko:K01745	fpw:IA04_03815
ko:K13653	fpw:IA04_03820
ko:K02371	fpw:IA04_08485
ko:K03695	fpw:IA04_08500
ko:K00949	fpw:IA04_08510
ko:K06970	fpw:IA04_08515
ko:K00014	fpw:IA04_08520
ko:K03281	fpw:IA04_08540
ko:K03313	fpw:IA04_08545
ko:K00566	fpw:IA04_08550
ko:K03284	fpw:IA04_08570
ko:K01468	fpw:IA04_08575
ko:K02217	fpw:IA04_08585
ko:K01809	fpw:IA04_08620
ko:K03564	fpw:IA04_08625
ko:K01737	fpw:IA04_08630
ko:K01823	fpw:IA04_08635
ko:K02945	fpw:IA04_08640
ko:K00609	fpw:IA04_08650
ko:K02825	fpw:IA04_08655
ko:K06199	fpw:IA04_08665
ko:K00639	fpw:IA04_08690
ko:K01756	fpw:IA04_08695
ko:K12410	fpw:IA04_08700
ko:K00556	fpw:IA04_08705
ko:K03671	fpw:IA04_08730
ko:K07090	fpw:IA04_08750
ko:K05592	fpw:IA04_08760
ko:K02428	fpw:IA04_08765
ko:K00757	fpw:IA04_04785
ko:K03648	fpw:IA04_04815
ko:K07456	fpw:IA04_04820
ko:K01890	fpw:IA04_04830
ko:K06937	fpw:IA04_04845
ko:K00616	fpw:IA04_04865
ko:K02519	fpw:IA04_02260
ko:K06207	fpw:IA04_02270
ko:K00243	fpw:IA04_02275
ko:K01661	fpw:IA04_02280
ko:K02548	fpw:IA04_02285
ko:K03790	fpw:IA04_02390
ko:K01627	fpw:IA04_02415
ko:K03446	fpw:IA04_02420
ko:K03543	fpw:IA04_02425
ko:K01695	fpw:IA04_02445
ko:K01696	fpw:IA04_02450
ko:K01817	fpw:IA04_02455
ko:K01609	fpw:IA04_02460
ko:K00766	fpw:IA04_02465
ko:K01658	fpw:IA04_02470
ko:K01657	fpw:IA04_02475
ko:K09812	fpw:IA04_02505
ko:K02014	fpw:IA04_02520
ko:K00133	fpw:IA04_02530
ko:K01953	fpw:IA04_02540
ko:K02470	fpw:IA04_02545
ko:K00024	fpw:IA04_02550
ko:K12257	fpw:IA04_02555
ko:K06878	fpw:IA04_02560
ko:K15342	fpw:IA04_07260
ko:K09951	fpw:IA04_07265
ko:K03655	fpw:IA04_07425
ko:K03657	fpw:IA04_07460
ko:K07107	fpw:IA04_07545
ko:K00606	fpw:IA04_07550
ko:K03606	fpw:IA04_12175
ko:K00067	fpw:IA04_12185
ko:K01790	fpw:IA04_12190
ko:K03116	fpw:IA04_12220
ko:K06959	fpw:IA04_12225
ko:K16264	fpw:IA04_12235
ko:K01808	fpw:IA04_12245
ko:K12573	fpw:IA04_12250
ko:K01633	fpw:IA04_12270
ko:K01886	fpw:IA04_12275
ko:K01885	fpw:IA04_12300
ko:K03495	fpw:IA04_12315
ko:K06142	fpw:IA04_12325
ko:K02341	fpw:IA04_12360
ko:K02340	fpw:IA04_04895
ko:K01486	fpw:IA04_04925
ko:K07056	fpw:IA04_04935
ko:K01775	fpw:IA04_04950
ko:K03282	fpw:IA04_04955
ko:K06925	fpw:IA04_04965
ko:K00259	fpw:IA04_04970
ko:K01923	fpw:IA04_05020
ko:K01992	fpw:IA04_05070
ko:K02338	fpw:IA04_05080
ko:K11927	fpw:IA04_05085
ko:K01465	fpw:IA04_05095
ko:K06999	fpw:IA04_05105
ko:K03216	fpw:IA04_09735
ko:K02013	fpw:IA04_09740
ko:K00075	fpw:IA04_09745
ko:K01953	fpw:IA04_09750
ko:K03629	fpw:IA04_09770
ko:K00794	fpw:IA04_09780
ko:K00826	fpw:IA04_09795
ko:K07735	fpw:IA04_09800
ko:K03530	fpw:IA04_09805
ko:K00604	fpw:IA04_09810
ko:K03654	fpw:IA04_09815
ko:K09158	fpw:IA04_09825
ko:K00790	fpw:IA04_09835
ko:K03786	fpw:IA04_09860
ko:K04763	fpw:IA04_09870
ko:K01892	fpw:IA04_09875
ko:K02004	fpw:IA04_09880
ko:K02493	fpw:IA04_09885
ko:K03828	fpw:IA04_09890
ko:K11752	fpw:IA04_09895
ko:K03975	fpw:IA04_09910
ko:K01673	fpw:IA04_09915
ko:K06876	fpw:IA04_09980
ko:K01669	fpw:IA04_09985
ko:K02956	fpw:IA04_09995
ko:K00962	fpw:IA04_10005
ko:K03086	fpw:IA04_10015
ko:K01783	fpw:IA04_10020
ko:K09933	fpw:IA04_10025
ko:K09117	fpw:IA04_10035
ko:K03531	fpw:IA04_10050
ko:K07098	fpw:IA04_01325
ko:K03671	fpw:IA04_01330
ko:K01993	fpw:IA04_01345
ko:K03841	fpw:IA04_01365
ko:K00928	fpw:IA04_01380
ko:K03646	fpw:IA04_01390
ko:K07007	fpw:IA04_01415
ko:K01597	fpw:IA04_01425
ko:K00869	fpw:IA04_01440
ko:K03179	fpw:IA04_01445
ko:K06178	fpw:IA04_01450
ko:K01963	fpw:IA04_01495
ko:K01624	fpw:IA04_01500
ko:K03437	fpw:IA04_01510
ko:K03183	fpw:IA04_01520
ko:K08999	fpw:IA04_01555
ko:K03522	fpw:IA04_01560
ko:K03521	fpw:IA04_01565
ko:K00162	fpw:IA04_01570
ko:K01507	fpw:IA04_01580
ko:K02337	fpw:IA04_01600
ko:K02959	fpw:IA04_01615
ko:K02860	fpw:IA04_01620
ko:K15460	fpw:IA04_01625
ko:K00252	fpw:IA04_01630
ko:K02886	fpw:IA04_06325
ko:K02892	fpw:IA04_06330
ko:K02926	fpw:IA04_06335
ko:K02906	fpw:IA04_06340
ko:K02946	fpw:IA04_06345
ko:K02355	fpw:IA04_06350
ko:K02992	fpw:IA04_06355
ko:K02950	fpw:IA04_06360
