ko:K22220	mavr:LA63_17535
ko:K07029	mavr:LA63_10045
ko:K14226	mavr:LA63_07530
ko:K07068	mavr:LA63_06075
ko:K14219	mavr:LA63_04625
ko:K03297	mavr:LA63_18215
ko:K01563	mavr:LA63_01680
ko:K11741	mavr:LA63_19985
ko:K21431	mavr:LA63_04295
ko:K19221	mavr:LA63_17030
ko:K14233	mavr:LA63_01520
ko:K18956	mavr:LA63_00200
ko:K18958	mavr:LA63_19175
ko:K18955	mavr:LA63_19575
ko:K14219	mavr:LA63_01235
ko:K19311	mavr:LA63_19215
ko:K00344	mavr:LA63_18560
ko:K21688	mavr:LA63_05130
ko:K21691	mavr:LA63_07815
ko:K14228	mavr:LA63_10790
ko:K22311	mavr:LA63_15955
ko:K18688	mavr:LA63_02985
ko:K18687	mavr:LA63_04280
ko:K14234	mavr:LA63_03270
ko:K01978	mavr:LA63_24610
ko:K01977	mavr:LA63_06895
ko:K02500	mavr:LA63_14465
ko:K01092	mavr:LA63_14470
ko:K01814	mavr:LA63_14475
ko:K01817	mavr:LA63_14475
ko:K02501	mavr:LA63_14480
ko:K01693	mavr:LA63_14485
ko:K00817	mavr:LA63_14490
ko:K00013	mavr:LA63_14495
ko:K00767	mavr:LA63_14505
ko:K00278	mavr:LA63_14510
ko:K03517	mavr:LA63_14515
ko:K01012	mavr:LA63_14540
ko:K01935	mavr:LA63_14580
ko:K00652	mavr:LA63_14585
ko:K00833	mavr:LA63_14590
ko:K06044	mavr:LA63_14615
ko:K01236	mavr:LA63_14620
ko:K01754	mavr:LA63_14645
ko:K00631	mavr:LA63_14660
ko:K02337	mavr:LA63_14680
ko:K07124	mavr:LA63_14690
ko:K06886	mavr:LA63_14700
ko:K06180	mavr:LA63_14710
ko:K03101	mavr:LA63_14715
ko:K01424	mavr:LA63_14720
ko:K02346	mavr:LA63_14725
ko:K01870	mavr:LA63_14735
ko:K06886	mavr:LA63_18505
ko:K13671	mavr:LA63_10620
ko:K01626	mavr:LA63_10635
ko:K14337	mavr:LA63_10655
ko:K01681	mavr:LA63_15045
ko:K01692	mavr:LA63_15065
ko:K00384	mavr:LA63_15070
ko:K04488	mavr:LA63_15100
ko:K11717	mavr:LA63_15105
ko:K09013	mavr:LA63_15110
ko:K09015	mavr:LA63_15115
ko:K09014	mavr:LA63_15120
ko:K14339	mavr:LA63_15130
ko:K01990	mavr:LA63_15135
ko:K01992	mavr:LA63_15140
ko:K02259	mavr:LA63_15145
ko:K00615	mavr:LA63_15165
ko:K00616	mavr:LA63_15170
ko:K01057	mavr:LA63_15185
ko:K01595	mavr:LA63_15210
ko:K03075	mavr:LA63_15220
ko:K01803	mavr:LA63_15225
ko:K00927	mavr:LA63_15230
ko:K00134	mavr:LA63_15235
ko:K09762	mavr:LA63_15305
ko:K06958	mavr:LA63_15315
ko:K03703	mavr:LA63_15320
ko:K00612	mavr:LA63_18880
ko:K03271	mavr:LA63_18895
ko:K00012	mavr:LA63_18915
ko:K00156	mavr:LA63_18920
ko:K02067	mavr:LA63_21150
ko:K02067	mavr:LA63_21155
ko:K02066	mavr:LA63_21160
ko:K02066	mavr:LA63_21165
ko:K09122	mavr:LA63_21215
ko:K00849	mavr:LA63_21220
ko:K00965	mavr:LA63_21225
ko:K09767	mavr:LA63_21275
ko:K00057	mavr:LA63_21285
ko:K07107	mavr:LA63_23525
ko:K01153	mavr:LA63_23540
ko:K03427	mavr:LA63_23555
ko:K02065	mavr:LA63_23620
ko:K12141	mavr:LA63_23630
ko:K04561	mavr:LA63_18515
ko:K05602	mavr:LA63_18545
ko:K00451	mavr:LA63_18565
ko:K01640	mavr:LA63_18580
ko:K00330	mavr:LA63_18620
ko:K00331	mavr:LA63_18625
ko:K00332	mavr:LA63_18630
ko:K00333	mavr:LA63_18635
ko:K00334	mavr:LA63_18640
ko:K00337	mavr:LA63_18655
ko:K02992	mavr:LA63_20860
ko:K02950	mavr:LA63_20865
ko:K01692	mavr:LA63_20885
ko:K02616	mavr:LA63_20890
ko:K01692	mavr:LA63_20895
ko:K09456	mavr:LA63_20900
ko:K01151	mavr:LA63_20905
ko:K03046	mavr:LA63_20910
ko:K03043	mavr:LA63_20915
ko:K02065	mavr:LA63_20920
ko:K11159	mavr:LA63_20925
ko:K02935	mavr:LA63_20935
ko:K02864	mavr:LA63_20940
ko:K00845	mavr:LA63_20950
ko:K00645	mavr:LA63_20955
ko:K00574	mavr:LA63_20980
ko:K00574	mavr:LA63_20985
ko:K03088	mavr:LA63_20995
ko:K02863	mavr:LA63_21000
ko:K01596	mavr:LA63_23245
ko:K03439	mavr:LA63_23260
ko:K06860	mavr:LA63_23265
ko:K07386	mavr:LA63_23310
ko:K04047	mavr:LA63_23315
ko:K01687	mavr:LA63_23370
ko:K00545	mavr:LA63_13915
ko:K04763	mavr:LA63_13920
ko:K01515	mavr:LA63_13925
ko:K01937	mavr:LA63_13930
ko:K03631	mavr:LA63_13945
ko:K00858	mavr:LA63_13950
ko:K06442	mavr:LA63_13955
ko:K01866	mavr:LA63_13980
ko:K03652	mavr:LA63_13985
ko:K03320	mavr:LA63_13990
ko:K01990	mavr:LA63_13995
ko:K16167	mavr:LA63_14100
ko:K12434	mavr:LA63_14115
ko:K16167	mavr:LA63_14120
ko:K01755	mavr:LA63_14125
ko:K01940	mavr:LA63_14130
ko:K03402	mavr:LA63_14135
ko:K00611	mavr:LA63_14140
ko:K00930	mavr:LA63_14150
ko:K00620	mavr:LA63_14155
ko:K00145	mavr:LA63_14160
ko:K01890	mavr:LA63_14165
ko:K01889	mavr:LA63_14170
ko:K06994	mavr:LA63_18240
ko:K16786	mavr:LA63_18245
ko:K16787	mavr:LA63_18245
ko:K01689	mavr:LA63_18250
ko:K07341	mavr:LA63_18320
ko:K03076	mavr:LA63_20575
ko:K00854	mavr:LA63_20590
ko:K00058	mavr:LA63_20595
ko:K01628	mavr:LA63_20600
ko:K04773	mavr:LA63_20625
ko:K02876	mavr:LA63_20635
ko:K02907	mavr:LA63_20640
ko:K02988	mavr:LA63_20645
ko:K02881	mavr:LA63_20650
ko:K02933	mavr:LA63_20655
ko:K02994	mavr:LA63_20660
ko:K02954	mavr:LA63_20665
ko:K02931	mavr:LA63_20670
ko:K02895	mavr:LA63_20675
ko:K02874	mavr:LA63_20680
ko:K02040	mavr:LA63_20705
ko:K01130	mavr:LA63_20710
ko:K02961	mavr:LA63_20715
ko:K02904	mavr:LA63_20720
ko:K00363	mavr:LA63_22950
ko:K00362	mavr:LA63_22955
ko:K00239	mavr:LA63_22975
ko:K00240	mavr:LA63_22980
ko:K00626	mavr:LA63_23005
ko:K00059	mavr:LA63_23010
ko:K01207	mavr:LA63_23030
ko:K16648	mavr:LA63_23045
ko:K03781	mavr:LA63_23060
ko:K03781	mavr:LA63_23065
ko:K00122	mavr:LA63_23080
ko:K01759	mavr:LA63_23090
ko:K00982	mavr:LA63_10325
ko:K01692	mavr:LA63_13340
ko:K03090	mavr:LA63_13400
ko:K01130	mavr:LA63_13530
ko:K12507	mavr:LA63_13560
ko:K00666	mavr:LA63_13580
ko:K07068	mavr:LA63_13595
ko:K00566	mavr:LA63_17840
ko:K04487	mavr:LA63_17845
ko:K03522	mavr:LA63_17860
ko:K03521	mavr:LA63_17865
ko:K16149	mavr:LA63_17875
ko:K16150	mavr:LA63_17880
ko:K07071	mavr:LA63_17885
ko:K13787	mavr:LA63_17905
ko:K10027	mavr:LA63_17910
ko:K02291	mavr:LA63_17915
ko:K09879	mavr:LA63_17935
ko:K01823	mavr:LA63_17950
ko:K06994	mavr:LA63_17955
ko:K01669	mavr:LA63_17965
ko:K01692	mavr:LA63_18005
ko:K02013	mavr:LA63_18015
ko:K01079	mavr:LA63_18020
ko:K02274	mavr:LA63_18025
ko:K02016	mavr:LA63_18030
ko:K13979	mavr:LA63_18035
ko:K03789	mavr:LA63_20280
ko:K06925	mavr:LA63_20290
ko:K01775	mavr:LA63_20300
ko:K01580	mavr:LA63_20305
ko:K00820	mavr:LA63_20325
ko:K03431	mavr:LA63_20355
ko:K02996	mavr:LA63_20360
ko:K02871	mavr:LA63_20365
ko:K06173	mavr:LA63_20390
ko:K02879	mavr:LA63_20395
ko:K03040	mavr:LA63_20400
ko:K02986	mavr:LA63_20405
ko:K02948	mavr:LA63_20410
ko:K02952	mavr:LA63_20415
ko:K14340	mavr:LA63_22630
ko:K04719	mavr:LA63_22720
ko:K00598	mavr:LA63_22730
ko:K14743	mavr:LA63_22745
ko:K00606	mavr:LA63_10300
ko:K01915	mavr:LA63_10320
ko:K07045	mavr:LA63_12755
ko:K01915	mavr:LA63_12760
ko:K03594	mavr:LA63_12780
ko:K04761	mavr:LA63_12805
ko:K03386	mavr:LA63_12810
ko:K04756	mavr:LA63_12815
ko:K00101	mavr:LA63_12830
ko:K00626	mavr:LA63_12870
ko:K06153	mavr:LA63_12880
ko:K07052	mavr:LA63_12895
ko:K13953	mavr:LA63_12900
ko:K02017	mavr:LA63_12915
ko:K02018	mavr:LA63_12920
ko:K02020	mavr:LA63_12930
ko:K03885	mavr:LA63_12950
ko:K00033	mavr:LA63_12970
ko:K00088	mavr:LA63_12975
ko:K02078	mavr:LA63_12980
ko:K01909	mavr:LA63_12985
ko:K01638	mavr:LA63_13010
ko:K00281	mavr:LA63_13030
ko:K03106	mavr:LA63_17355
ko:K00990	mavr:LA63_17370
ko:K04751	mavr:LA63_17375
ko:K03320	mavr:LA63_17380
ko:K03110	mavr:LA63_17385
ko:K03529	mavr:LA63_17390
ko:K01512	mavr:LA63_17395
ko:K10563	mavr:LA63_17410
ko:K03685	mavr:LA63_17415
ko:K07040	mavr:LA63_17420
ko:K07089	mavr:LA63_17435
ko:K01652	mavr:LA63_17440
ko:K03466	mavr:LA63_17470
ko:K06994	mavr:LA63_17500
ko:K00954	mavr:LA63_17540
ko:K03655	mavr:LA63_17575
ko:K07030	mavr:LA63_17580
ko:K02902	mavr:LA63_17590
ko:K03648	mavr:LA63_17625
ko:K01443	mavr:LA63_19980
ko:K07058	mavr:LA63_19990
ko:K01867	mavr:LA63_19995
ko:K00031	mavr:LA63_20005
ko:K00031	mavr:LA63_20010
ko:K00641	mavr:LA63_20020
ko:K01491	mavr:LA63_20050
ko:K06945	mavr:LA63_20080
ko:K07131	mavr:LA63_20090
ko:K03216	mavr:LA63_20105
ko:K14162	mavr:LA63_20115
ko:K01027	mavr:LA63_22325
ko:K00762	mavr:LA63_22345
ko:K07124	mavr:LA63_22350
ko:K13789	mavr:LA63_22405
ko:K13640	mavr:LA63_22420
ko:K03686	mavr:LA63_22425
ko:K03687	mavr:LA63_22430
ko:K04043	mavr:LA63_22435
ko:K03820	mavr:LA63_11255
ko:K03929	mavr:LA63_11355
ko:K00851	mavr:LA63_11365
ko:K08281	mavr:LA63_11385
ko:K03088	mavr:LA63_11400
ko:K02027	mavr:LA63_11405
ko:K02025	mavr:LA63_11410
ko:K02026	mavr:LA63_11415
ko:K10112	mavr:LA63_11420
ko:K07001	mavr:LA63_11425
ko:K07243	mavr:LA63_11440
ko:K07224	mavr:LA63_11445
ko:K16301	mavr:LA63_11450
ko:K03088	mavr:LA63_11470
ko:K01159	mavr:LA63_15895
ko:K00797	mavr:LA63_15920
ko:K08681	mavr:LA63_15930
ko:K10805	mavr:LA63_15935
ko:K06215	mavr:LA63_15940
ko:K08256	mavr:LA63_15950
ko:K00995	mavr:LA63_15960
ko:K01868	mavr:LA63_15970
ko:K03316	mavr:LA63_15975
ko:K00459	mavr:LA63_16000
ko:K01857	mavr:LA63_16040
ko:K00448	mavr:LA63_16045
ko:K00449	mavr:LA63_16050
ko:K07090	mavr:LA63_16115
ko:K03781	mavr:LA63_16120
ko:K02361	mavr:LA63_19280
ko:K03088	mavr:LA63_19320
