ko:K10947	llj:LG36_2009
ko:K22278	llj:LG36_1097
ko:K08153	llj:LG36_0089
ko:K11741	llj:LG36_0088
ko:K04771	llj:LG36_2075
ko:K02851	llj:LG36_1748
ko:K13677	llj:LG36_2076
ko:K03293	llj:LG36_0358
ko:K02493	llj:LG36_0562
ko:K07566	llj:LG36_0564
ko:K00600	llj:LG36_0565
ko:K00831	llj:LG36_0567
ko:K00058	llj:LG36_0568
ko:K01079	llj:LG36_0569
ko:K01512	llj:LG36_0570
ko:K03437	llj:LG36_0571
ko:K01507	llj:LG36_0572
ko:K01265	llj:LG36_0576
ko:K07058	llj:LG36_0577
ko:K06023	llj:LG36_0582
ko:K03731	llj:LG36_0428
ko:K13292	llj:LG36_0583
ko:K00298	llj:LG36_1164
ko:K20490	llj:LG36_0638
ko:K21449	llj:LG36_1559
ko:K21449	llj:LG36_0921
ko:K09692	llj:LG36_1411
ko:K00067	llj:LG36_0178
ko:K12996	llj:LG36_0179
ko:K12997	llj:LG36_0180
ko:K01992	llj:LG36_0181
ko:K01990	llj:LG36_0182
ko:K09153	llj:LG36_0188
ko:K12997	llj:LG36_0190
ko:K07271	llj:LG36_0192
ko:K00991	llj:LG36_0193
ko:K12990	llj:LG36_0196
ko:K12997	llj:LG36_0197
ko:K01854	llj:LG36_0201
ko:K00088	llj:LG36_0203
ko:K06948	llj:LG36_0204
ko:K03665	llj:LG36_0206
ko:K07574	llj:LG36_0207
ko:K00969	llj:LG36_0208
ko:K09710	llj:LG36_0211
ko:K03648	llj:LG36_0217
ko:K02970	llj:LG36_0222
ko:K00927	llj:LG36_0228
ko:K05878	llj:LG36_0231
ko:K05879	llj:LG36_0232
ko:K02440	llj:LG36_0234
ko:K09765	llj:LG36_1020
ko:K00432	llj:LG36_1023
ko:K01955	llj:LG36_1024
ko:K06181	llj:LG36_1025
ko:K06872	llj:LG36_1026
ko:K01060	llj:LG36_1029
ko:K02025	llj:LG36_1032
ko:K02026	llj:LG36_1033
ko:K01223	llj:LG36_1035
ko:K03492	llj:LG36_1036
ko:K02823	llj:LG36_1038
ko:K17828	llj:LG36_1039
ko:K01591	llj:LG36_1040
ko:K03501	llj:LG36_1042
ko:K00805	llj:LG36_1043
ko:K00805	llj:LG36_1044
ko:K00963	llj:LG36_1046
ko:K00057	llj:LG36_1047
ko:K01443	llj:LG36_1050
ko:K00850	llj:LG36_1051
ko:K00873	llj:LG36_1052
ko:K00016	llj:LG36_1053
ko:K02057	llj:LG36_1054
ko:K02057	llj:LG36_1055
ko:K02056	llj:LG36_1056
ko:K00563	llj:LG36_1057
ko:K16509	llj:LG36_1061
ko:K00077	llj:LG36_1062
ko:K03547	llj:LG36_1063
ko:K07032	llj:LG36_1067
ko:K09772	llj:LG36_1822
ko:K06997	llj:LG36_1823
ko:K03531	llj:LG36_1824
ko:K03590	llj:LG36_1825
ko:K03218	llj:LG36_1827
ko:K01372	llj:LG36_1833
ko:K01243	llj:LG36_1835
ko:K01515	llj:LG36_1837
ko:K04042	llj:LG36_1838
ko:K00286	llj:LG36_1839
ko:K02956	llj:LG36_1840
ko:K03500	llj:LG36_1843
ko:K00604	llj:LG36_1848
ko:K04066	llj:LG36_1852
ko:K03060	llj:LG36_1853
ko:K00942	llj:LG36_1854
ko:K18682	llj:LG36_1855
ko:K00789	llj:LG36_1857
ko:K00574	llj:LG36_1858
ko:K03524	llj:LG36_1859
ko:K01624	llj:LG36_1864
ko:K00033	llj:LG36_0586
ko:K03549	llj:LG36_0587
ko:K03549	llj:LG36_0588
ko:K00791	llj:LG36_0590
ko:K00784	llj:LG36_0594
ko:K07124	llj:LG36_0595
ko:K07462	llj:LG36_0596
ko:K00759	llj:LG36_0597
ko:K03048	llj:LG36_0598
ko:K07082	llj:LG36_0599
ko:K03624	llj:LG36_0600
ko:K03708	llj:LG36_0601
ko:K03696	llj:LG36_0602
ko:K01689	llj:LG36_0604
ko:K02003	llj:LG36_0605
ko:K02004	llj:LG36_0606
ko:K03284	llj:LG36_0609
ko:K00656	llj:LG36_0610
ko:K00859	llj:LG36_0611
ko:K03588	llj:LG36_0613
ko:K01958	llj:LG36_0614
ko:K01647	llj:LG36_0615
ko:K01681	llj:LG36_0616
ko:K00031	llj:LG36_0617
ko:K01854	llj:LG36_1404
ko:K09693	llj:LG36_1412
ko:K02470	llj:LG36_1420
ko:K03366	llj:LG36_1428
ko:K00004	llj:LG36_1429
ko:K05837	llj:LG36_1430
ko:K07570	llj:LG36_1432
ko:K03768	llj:LG36_1433
ko:K03768	llj:LG36_1434
ko:K11618	llj:LG36_1435
ko:K11617	llj:LG36_1436
ko:K02954	llj:LG36_1438
ko:K03588	llj:LG36_1440
ko:K07104	llj:LG36_1441
ko:K06988	llj:LG36_1443
ko:K02016	llj:LG36_1448
ko:K08659	llj:LG36_0235
ko:K06969	llj:LG36_0237
ko:K04041	llj:LG36_0238
ko:K07007	llj:LG36_0239
ko:K06147	llj:LG36_0242
ko:K06147	llj:LG36_0243
ko:K07173	llj:LG36_0247
ko:K01689	llj:LG36_0257
ko:K16786	llj:LG36_0258
ko:K16787	llj:LG36_0259
ko:K16785	llj:LG36_0260
ko:K00674	llj:LG36_0262
ko:K05823	llj:LG36_0263
ko:K02986	llj:LG36_0265
ko:K06959	llj:LG36_0282
ko:K03095	llj:LG36_0283
ko:K01488	llj:LG36_0284
ko:K12574	llj:LG36_0286
ko:K03342	llj:LG36_1072
ko:K16509	llj:LG36_1073
ko:K01759	llj:LG36_1082
ko:K00661	llj:LG36_1083
ko:K03427	llj:LG36_1089
ko:K01154	llj:LG36_1090
ko:K01153	llj:LG36_1091
ko:K05970	llj:LG36_1092
ko:K02025	llj:LG36_1094
ko:K15531	llj:LG36_1096
ko:K01235	llj:LG36_1098
ko:K09815	llj:LG36_1100
ko:K14540	llj:LG36_1107
ko:K03470	llj:LG36_1108
ko:K01580	llj:LG36_1111
ko:K00826	llj:LG36_1113
ko:K00265	llj:LG36_1115
ko:K00266	llj:LG36_1116
ko:K01586	llj:LG36_1117
ko:K09976	llj:LG36_1118
ko:K01776	llj:LG36_1119
ko:K02428	llj:LG36_1120
ko:K07095	llj:LG36_1121
ko:K05896	llj:LG36_1124
ko:K06024	llj:LG36_1125
ko:K06178	llj:LG36_1126
ko:K01868	llj:LG36_1866
ko:K03322	llj:LG36_1868
ko:K07078	llj:LG36_1869
ko:K00761	llj:LG36_1870
ko:K14155	llj:LG36_1872
ko:K01739	llj:LG36_1873
ko:K00651	llj:LG36_1874
ko:K07088	llj:LG36_1876
ko:K03698	llj:LG36_1878
ko:K09760	llj:LG36_1879
ko:K01783	llj:LG36_1881
ko:K06949	llj:LG36_1884
ko:K01890	llj:LG36_1886
ko:K01889	llj:LG36_1887
ko:K13727	llj:LG36_1888
ko:K14232	llj:LG36_t0015
ko:K14232	llj:LG36_t0026
ko:K14233	llj:LG36_t0002
ko:K14231	llj:LG36_t0004
ko:K14231	llj:LG36_t0029
ko:K01358	llj:LG36_0618
ko:K16509	llj:LG36_0620
ko:K01537	llj:LG36_0622
ko:K11936	llj:LG36_0624
ko:K03311	llj:LG36_0627
ko:K06975	llj:LG36_0628
ko:K00694	llj:LG36_0643
ko:K03484	llj:LG36_0644
ko:K01193	llj:LG36_0645
ko:K02808	llj:LG36_0646
ko:K02809	llj:LG36_0646
ko:K02810	llj:LG36_0646
ko:K00847	llj:LG36_0647
ko:K01807	llj:LG36_0650
ko:K03488	llj:LG36_0654
ko:K02755	llj:LG36_0655
ko:K02756	llj:LG36_0655
ko:K02757	llj:LG36_0655
ko:K01223	llj:LG36_0656
ko:K03488	llj:LG36_0657
ko:K02755	llj:LG36_0658
ko:K02756	llj:LG36_0658
ko:K02757	llj:LG36_0658
ko:K01223	llj:LG36_0659
ko:K02768	llj:LG36_0661
ko:K01624	llj:LG36_0662
ko:K02769	llj:LG36_0663
ko:K02770	llj:LG36_0664
ko:K01785	llj:LG36_0666
ko:K00854	llj:LG36_0667
ko:K07979	llj:LG36_0668
ko:K03424	llj:LG36_0672
ko:K02015	llj:LG36_1449
ko:K02015	llj:LG36_1450
ko:K07017	llj:LG36_1451
ko:K02013	llj:LG36_1452
ko:K01421	llj:LG36_1455
ko:K03530	llj:LG36_1457
ko:K03811	llj:LG36_1460
ko:K02884	llj:LG36_1464
ko:K02003	llj:LG36_1467
ko:K02004	llj:LG36_1468
ko:K01000	llj:LG36_1470
ko:K12556	llj:LG36_1471
ko:K03438	llj:LG36_1473
ko:K03631	llj:LG36_1477
ko:K03402	llj:LG36_1478
ko:K06442	llj:LG36_1479
ko:K13789	llj:LG36_1481
ko:K00865	llj:LG36_1482
ko:K03602	llj:LG36_1483
ko:K03601	llj:LG36_1484
ko:K01491	llj:LG36_1485
ko:K01533	llj:LG36_1487
ko:K00226	llj:LG36_1498
ko:K15738	llj:LG36_1501
ko:K01183	llj:LG36_1890
ko:K01939	llj:LG36_1892
ko:K04083	llj:LG36_1896
ko:K01876	llj:LG36_1903
ko:K01892	llj:LG36_1905
ko:K00995	llj:LG36_1908
ko:K03629	llj:LG36_1913
ko:K01607	llj:LG36_1914
ko:K01784	llj:LG36_1917
ko:K01190	llj:LG36_1918
ko:K03789	llj:LG36_0289
ko:K03789	llj:LG36_0290
ko:K01409	llj:LG36_0291
ko:K02761	llj:LG36_0294
ko:K02440	llj:LG36_0296
ko:K02044	llj:LG36_0298
ko:K02041	llj:LG36_0299
ko:K02042	llj:LG36_0300
ko:K02042	llj:LG36_0301
ko:K01119	llj:LG36_0302
ko:K11065	llj:LG36_0303
ko:K01256	llj:LG36_0304
ko:K00790	llj:LG36_0311
ko:K06147	llj:LG36_0315
ko:K03523	llj:LG36_0317
ko:K03976	llj:LG36_0318
ko:K16789	llj:LG36_0319
ko:K02073	llj:LG36_0320
ko:K02073	llj:LG36_0321
ko:K02073	llj:LG36_0322
ko:K02073	llj:LG36_0323
ko:K02071	llj:LG36_0324
ko:K02072	llj:LG36_0325
ko:K16924	llj:LG36_0326
ko:K16786	llj:LG36_0327
ko:K16787	llj:LG36_0327
ko:K16785	llj:LG36_0328
ko:K07729	llj:LG36_0329
ko:K02013	llj:LG36_0330
ko:K02015	llj:LG36_0331
ko:K02015	llj:LG36_0332
ko:K02016	llj:LG36_0333
ko:K08234	llj:LG36_0338
ko:K01834	llj:LG36_0339
ko:K03386	llj:LG36_0340
ko:K03387	llj:LG36_0341
ko:K00687	llj:LG36_0342
ko:K06187	llj:LG36_0343
ko:K02864	llj:LG36_1132
ko:K02935	llj:LG36_1133
ko:K01791	llj:LG36_1135
ko:K00878	llj:LG36_1137
ko:K00941	llj:LG36_1138
ko:K00788	llj:LG36_1139
ko:K03367	llj:LG36_1140
ko:K03739	llj:LG36_1141
ko:K14188	llj:LG36_1142
ko:K03740	llj:LG36_1143
ko:K01531	llj:LG36_1144
ko:K03709	llj:LG36_1145
ko:K00549	llj:LG36_1146
ko:K00297	llj:LG36_1147
ko:K01626	llj:LG36_1148
ko:K01176	llj:LG36_1150
ko:K03316	llj:LG36_1152
ko:K00864	llj:LG36_1155
ko:K00105	llj:LG36_1156
ko:K02440	llj:LG36_1157
ko:K04094	llj:LG36_1168
ko:K03168	llj:LG36_1169
ko:K04096	llj:LG36_1170
ko:K01575	llj:LG36_1172
ko:K01754	llj:LG36_1173
ko:K00053	llj:LG36_1174
ko:K01653	llj:LG36_1175
ko:K01652	llj:LG36_1176
ko:K01687	llj:LG36_1177
ko:K02013	llj:LG36_1178
ko:K01704	llj:LG36_1179
ko:K01703	llj:LG36_1180
ko:K00052	llj:LG36_1181
ko:K01649	llj:LG36_1182
ko:K00965	llj:LG36_1920
ko:K00849	llj:LG36_1921
ko:K01785	llj:LG36_1922
ko:K16209	llj:LG36_1923
ko:K08303	llj:LG36_1928
ko:K00563	llj:LG36_1932
ko:K06201	llj:LG36_1947
ko:K01992	llj:LG36_1948
ko:K01990	llj:LG36_1949
ko:K01126	llj:LG36_1950
ko:K02503	llj:LG36_1951
ko:K02863	llj:LG36_1954
ko:K02867	llj:LG36_1955
ko:K01990	llj:LG36_1957
ko:K07304	llj:LG36_1959
ko:K00243	llj:LG36_1960
ko:K02838	llj:LG36_1962
ko:K09903	llj:LG36_1963
ko:K00925	llj:LG36_1965
ko:K00925	llj:LG36_1966
ko:K06207	llj:LG36_1969
ko:K02003	llj:LG36_1972
ko:K02004	llj:LG36_1973
ko:K03790	llj:LG36_0776
ko:K05985	llj:LG36_0674
ko:K02528	llj:LG36_0675
ko:K01262	llj:LG36_0676
ko:K02356	llj:LG36_0677
ko:K03625	llj:LG36_0679
ko:K00705	llj:LG36_0680
ko:K00975	llj:LG36_0681
ko:K00975	llj:LG36_0682
ko:K00703	llj:LG36_0683
