ko:K03741	fpc:FPSM_01215
ko:K00059	fpc:FPSM_01364
ko:K02343	fpc:FPSM_01365
ko:K01524	fpc:FPSM_01368
ko:K01902	fpc:FPSM_01372
ko:K00937	fpc:FPSM_01369
ko:K02356	fpc:FPSM_01375
ko:K02536	fpc:FPSM_01374
ko:K01089	fpc:FPSM_01357
ko:K00817	fpc:FPSM_01358
ko:K00013	fpc:FPSM_01359
ko:K00765	fpc:FPSM_01360
ko:K10254	fpc:FPSM_01395
ko:K07220	fpc:FPSM_01400
ko:K03306	fpc:FPSM_01399
ko:K10254	fpc:FPSM_01397
ko:K00074	fpc:FPSM_01396
ko:K06910	fpc:FPSM_01405
ko:K03655	fpc:FPSM_01409
ko:K01256	fpc:FPSM_01407
ko:K00677	fpc:FPSM_01376
ko:K16363	fpc:FPSM_01377
ko:K07456	fpc:FPSM_01440
ko:K03648	fpc:FPSM_01439
ko:K03687	fpc:FPSM_01651
ko:K02916	fpc:FPSM_01479
ko:K01868	fpc:FPSM_01477
ko:K01890	fpc:FPSM_01442
ko:K06937	fpc:FPSM_01445
ko:K15726	fpc:FPSM_01492
ko:K15727	fpc:FPSM_01491
ko:K15726	fpc:FPSM_01493
ko:K06180	fpc:FPSM_01485
ko:K08303	fpc:FPSM_01428
ko:K01752	fpc:FPSM_01488
ko:K00606	fpc:FPSM_01487
ko:K02340	fpc:FPSM_01452
ko:K06925	fpc:FPSM_01466
ko:K00616	fpc:FPSM_01448
ko:K00128	fpc:FPSM_01484
ko:K02887	fpc:FPSM_01480
ko:K02520	fpc:FPSM_01478
ko:K06915	fpc:FPSM_02325
ko:K01895	fpc:FPSM_01342
ko:K14236	fpc:FPSM_r024
ko:K14237	fpc:FPSM_r025
ko:K14237	fpc:FPSM_r035
ko:K14219	fpc:FPSM_r030
ko:K14232	fpc:FPSM_r031
ko:K14232	fpc:FPSM_r049
ko:K14233	fpc:FPSM_r032
ko:K21029	fpc:FPSM_00477
ko:K08151	fpc:FPSM_00635
ko:K18682	fpc:FPSM_02058
ko:K06885	fpc:FPSM_01379
ko:K02536	fpc:FPSM_01378
ko:K01156	fpc:FPSM_00554
ko:K00979	fpc:FPSM_01381
ko:K03832	fpc:FPSM_01935
ko:K01486	fpc:FPSM_01458
ko:K07056	fpc:FPSM_01460
ko:K01952	fpc:FPSM_01626
ko:K01775	fpc:FPSM_01463
ko:K03282	fpc:FPSM_01464
ko:K11381	fpc:FPSM_01429
ko:K03113	fpc:FPSM_01432
ko:K00757	fpc:FPSM_01433
ko:K00259	fpc:FPSM_01467
ko:K09691	fpc:FPSM_02180
ko:K12257	fpc:FPSM_01808
ko:K06878	fpc:FPSM_01807
ko:K03313	fpc:FPSM_01030
ko:K03281	fpc:FPSM_01031
ko:K00014	fpc:FPSM_01036
ko:K06970	fpc:FPSM_01037
ko:K00949	fpc:FPSM_01038
ko:K03695	fpc:FPSM_01041
ko:K02371	fpc:FPSM_01044
ko:K02652	fpc:FPSM_02421
ko:K02655	fpc:FPSM_02423
ko:K06142	fpc:FPSM_02424
ko:K02653	fpc:FPSM_02439
ko:K00128	fpc:FPSM_02450
ko:K00946	fpc:FPSM_02452
ko:K00833	fpc:FPSM_02454
ko:K01935	fpc:FPSM_02455
