ko:K00130	bsut:BSUB_03320
ko:K21900	bsut:BSUB_04001
ko:K02253	bsut:BSUB_03389
ko:K02277	bsut:BSUB_01621
ko:K06292	bsut:BSUB_03814
ko:K21613	bsut:BSUB_03119
ko:K19551	bsut:BSUB_03725
ko:K22044	bsut:BSUB_01548
ko:K19578	bsut:BSUB_02575
ko:K05592	bsut:BSUB_04151
ko:K19689	bsut:BSUB_01572
ko:K03297	bsut:BSUB_03585
ko:K14228	bsut:BSUB_00528
ko:K14228	bsut:BSUB_00102
ko:K11741	bsut:BSUB_03678
ko:K18924	bsut:BSUB_03677
ko:K19563	bsut:BSUB_03212
ko:K18926	bsut:BSUB_00316
ko:K18939	bsut:BSUB_00317
ko:K07155	bsut:BSUB_04240
ko:K18939	bsut:BSUB_04241
ko:K01732	bsut:BSUB_02005
ko:K19427	bsut:BSUB_03655
ko:K03296	bsut:BSUB_00742
ko:K02032	bsut:BSUB_01236
ko:K03293	bsut:BSUB_03629
ko:K00571	bsut:BSUB_03138
ko:K07029	bsut:BSUB_00743
ko:K07315	bsut:BSUB_03639
ko:K21064	bsut:BSUB_01212
ko:K01990	bsut:BSUB_00305
ko:K11638	bsut:BSUB_00833
ko:K01212	bsut:BSUB_03674
ko:K19575	bsut:BSUB_02576
ko:K01990	bsut:BSUB_00906
ko:K01990	bsut:BSUB_01004
ko:K18924	bsut:BSUB_01426
ko:K08221	bsut:BSUB_00814
ko:K07149	bsut:BSUB_04327
ko:K03892	bsut:BSUB_00588
ko:K22579	bsut:BSUB_03749
ko:K21471	bsut:BSUB_03710
ko:K21469	bsut:BSUB_00211
ko:K21472	bsut:BSUB_03452
ko:K21466	bsut:BSUB_01523
ko:K15654	bsut:BSUB_00398
ko:K19242	bsut:BSUB_04127
ko:K11691	bsut:BSUB_00487
ko:K19546	bsut:BSUB_04010
ko:K19417	bsut:BSUB_03665
ko:K19449	bsut:BSUB_02636
ko:K19429	bsut:BSUB_03652
ko:K19430	bsut:BSUB_03651
ko:K01101	bsut:BSUB_03447
ko:K19420	bsut:BSUB_03664
ko:K01487	bsut:BSUB_01435
ko:K06187	bsut:BSUB_00027
ko:K06317	bsut:BSUB_00029
ko:K00943	bsut:BSUB_00039
ko:K09770	bsut:BSUB_00041
ko:K02341	bsut:BSUB_00042
ko:K07461	bsut:BSUB_00046
ko:K07056	bsut:BSUB_00047
ko:K06284	bsut:BSUB_00048
ko:K01874	bsut:BSUB_00049
ko:K03424	bsut:BSUB_00050
ko:K05985	bsut:BSUB_00052
ko:K02528	bsut:BSUB_00053
ko:K06436	bsut:BSUB_00054
ko:K06423	bsut:BSUB_00056
ko:K00919	bsut:BSUB_00057
ko:K09685	bsut:BSUB_00058
ko:K09022	bsut:BSUB_00059
ko:K00627	bsut:BSUB_00883
ko:K00382	bsut:BSUB_00884
ko:K06425	bsut:BSUB_00886
ko:K09771	bsut:BSUB_00887
ko:K01232	bsut:BSUB_00893
ko:K03481	bsut:BSUB_00894
ko:K02749	bsut:BSUB_00895
ko:K02750	bsut:BSUB_00895
ko:K07104	bsut:BSUB_00899
ko:K01992	bsut:BSUB_00907
ko:K01992	bsut:BSUB_00908
ko:K14205	bsut:BSUB_00917
ko:K02016	bsut:BSUB_00918
ko:K02015	bsut:BSUB_00919
ko:K02015	bsut:BSUB_00920
ko:K07071	bsut:BSUB_00925
ko:K03565	bsut:BSUB_00926
ko:K06428	bsut:BSUB_00929
ko:K07038	bsut:BSUB_00936
ko:K03575	bsut:BSUB_00937
ko:K02387	bsut:BSUB_01749
ko:K02388	bsut:BSUB_01750
ko:K02408	bsut:BSUB_01751
ko:K02409	bsut:BSUB_01752
ko:K02410	bsut:BSUB_01753
ko:K02411	bsut:BSUB_01754
ko:K02412	bsut:BSUB_01755
ko:K02413	bsut:BSUB_01756
ko:K02414	bsut:BSUB_01758
ko:K02389	bsut:BSUB_01759
ko:K02390	bsut:BSUB_01760
ko:K02385	bsut:BSUB_01761
ko:K02415	bsut:BSUB_01762
ko:K02416	bsut:BSUB_01763
ko:K02417	bsut:BSUB_01764
ko:K03413	bsut:BSUB_01765
ko:K02418	bsut:BSUB_01766
ko:K02419	bsut:BSUB_01767
ko:K02420	bsut:BSUB_01768
ko:K02421	bsut:BSUB_01769
ko:K02401	bsut:BSUB_01770
ko:K02400	bsut:BSUB_01771
ko:K02404	bsut:BSUB_01772
ko:K04562	bsut:BSUB_01773
ko:K03412	bsut:BSUB_01774
ko:K03407	bsut:BSUB_01775
ko:K03408	bsut:BSUB_01776
ko:K03410	bsut:BSUB_01777
ko:K03411	bsut:BSUB_01778
ko:K02405	bsut:BSUB_01779
ko:K02967	bsut:BSUB_01781
ko:K02357	bsut:BSUB_01782
ko:K09903	bsut:BSUB_01783
ko:K02838	bsut:BSUB_01784
ko:K00806	bsut:BSUB_01785
ko:K00981	bsut:BSUB_01786
ko:K00099	bsut:BSUB_01787
ko:K11749	bsut:BSUB_01788
ko:K01881	bsut:BSUB_01789
ko:K03763	bsut:BSUB_01790
ko:K09748	bsut:BSUB_01791
ko:K02600	bsut:BSUB_01792
ko:K07742	bsut:BSUB_01793
ko:K02519	bsut:BSUB_01795
ko:K09764	bsut:BSUB_01796
ko:K02834	bsut:BSUB_01797
ko:K03177	bsut:BSUB_01798
ko:K11753	bsut:BSUB_01799
ko:K02956	bsut:BSUB_01800
ko:K00962	bsut:BSUB_01801
ko:K00283	bsut:BSUB_02630
ko:K00282	bsut:BSUB_02631
ko:K00605	bsut:BSUB_02632
ko:K13280	bsut:BSUB_02638
ko:K02249	bsut:BSUB_02642
ko:K02248	bsut:BSUB_02643
ko:K02247	bsut:BSUB_02644
ko:K02246	bsut:BSUB_02645
ko:K02245	bsut:BSUB_02646
ko:K02244	bsut:BSUB_02647
ko:K02243	bsut:BSUB_02648
ko:K17763	bsut:BSUB_02652
ko:K16509	bsut:BSUB_02654
ko:K01308	bsut:BSUB_02660
ko:K00845	bsut:BSUB_02662
ko:K01934	bsut:BSUB_02666
ko:K02913	bsut:BSUB_02667
ko:K02036	bsut:BSUB_02672
ko:K02036	bsut:BSUB_02673
ko:K02038	bsut:BSUB_02674
ko:K02037	bsut:BSUB_02675
ko:K02040	bsut:BSUB_02676
ko:K08222	bsut:BSUB_02678
ko:K04564	bsut:BSUB_02679
ko:K09793	bsut:BSUB_02680
ko:K03644	bsut:BSUB_03451
ko:K07090	bsut:BSUB_03456
ko:K01466	bsut:BSUB_03459
ko:K09684	bsut:BSUB_03460
ko:K16169	bsut:BSUB_03462
ko:K07127	bsut:BSUB_03464
ko:K07141	bsut:BSUB_03469
ko:K02083	bsut:BSUB_03472
ko:K10112	bsut:BSUB_03474
ko:K10711	bsut:BSUB_03475
ko:K10710	bsut:BSUB_03476
ko:K10119	bsut:BSUB_03477
ko:K10118	bsut:BSUB_03478
ko:K10117	bsut:BSUB_03479
ko:K10708	bsut:BSUB_03480
ko:K00285	bsut:BSUB_03482
ko:K09014	bsut:BSUB_03487
ko:K04488	bsut:BSUB_03488
ko:K11717	bsut:BSUB_03489
ko:K09015	bsut:BSUB_03490
ko:K09013	bsut:BSUB_03491
ko:K02073	bsut:BSUB_03494
ko:K02072	bsut:BSUB_03495
ko:K02071	bsut:BSUB_03496
ko:K07476	bsut:BSUB_03499
ko:K02437	bsut:BSUB_03501
ko:K00537	bsut:BSUB_03502
ko:K03489	bsut:BSUB_04257
ko:K16916	bsut:BSUB_04259
ko:K16917	bsut:BSUB_04260
ko:K16922	bsut:BSUB_04261
ko:K04041	bsut:BSUB_04264
ko:K00783	bsut:BSUB_04268
ko:K01476	bsut:BSUB_04279
ko:K02205	bsut:BSUB_04280
ko:K00819	bsut:BSUB_04281
ko:K06714	bsut:BSUB_04282
ko:K07652	bsut:BSUB_04287
ko:K07668	bsut:BSUB_04288
ko:K01939	bsut:BSUB_04293
ko:K03449	bsut:BSUB_04299
ko:K02939	bsut:BSUB_04301
ko:K06329	bsut:BSUB_04305
ko:K15986	bsut:BSUB_04307
ko:K06412	bsut:BSUB_00060
ko:K04042	bsut:BSUB_00061
ko:K00948	bsut:BSUB_00062
ko:K02897	bsut:BSUB_00063
ko:K01056	bsut:BSUB_00064
ko:K03723	bsut:BSUB_00066
ko:K04769	bsut:BSUB_00067
ko:K02499	bsut:BSUB_00069
ko:K07571	bsut:BSUB_00074
ko:K06382	bsut:BSUB_00077
ko:K07114	bsut:BSUB_00078
ko:K04075	bsut:BSUB_00080
ko:K00760	bsut:BSUB_00081
ko:K03798	bsut:BSUB_00082
ko:K03525	bsut:BSUB_00083
ko:K04083	bsut:BSUB_00084
ko:K01738	bsut:BSUB_00086
ko:K01665	bsut:BSUB_00087
ko:K01664	bsut:BSUB_00088
ko:K02619	bsut:BSUB_00089
ko:K00796	bsut:BSUB_00090
ko:K01633	bsut:BSUB_00091
ko:K00950	bsut:BSUB_00092
ko:K04567	bsut:BSUB_00095
ko:K03708	bsut:BSUB_00111
ko:K03696	bsut:BSUB_00114
ko:K04485	bsut:BSUB_00115
ko:K07067	bsut:BSUB_00116
ko:K00991	bsut:BSUB_00118
ko:K01770	bsut:BSUB_00119
ko:K10780	bsut:BSUB_00939
ko:K06422	bsut:BSUB_00940
ko:K07586	bsut:BSUB_00942
ko:K11085	bsut:BSUB_00943
ko:K01845	bsut:BSUB_00945
ko:K03564	bsut:BSUB_00946
