ko:K03704	cun:Cul210932_0672
ko:K07012	cun:Cul210932_0037
ko:K18926	cun:Cul210932_0550
ko:K18955	cun:Cul210932_0585
ko:K01906	cun:Cul210932_1345
ko:K07012	cun:Cul210932_0113
ko:K19745	cun:Cul210932_1811
ko:K00130	cun:Cul210932_1982
ko:K21480	cun:Cul210932_1652
ko:K21687	cun:Cul210932_0670
ko:K21688	cun:Cul210932_0760
ko:K00652	cun:Cul210932_1346
ko:K02483	cun:Cul210932_1934
ko:K10007	cun:Cul210932_0729
ko:K01644	cun:Cul210932_0730
ko:K02963	cun:Cul210932_0733
ko:K02954	cun:Cul210932_0734
ko:K02913	cun:Cul210932_0735
ko:K02902	cun:Cul210932_0736
ko:K02909	cun:Cul210932_0737
ko:K02911	cun:Cul210932_0738
ko:K07669	cun:Cul210932_0739
ko:K07653	cun:Cul210932_0740
ko:K08372	cun:Cul210932_0741
ko:K03282	cun:Cul210932_0744
ko:K01934	cun:Cul210932_0746
ko:K00963	cun:Cul210932_0747
ko:K03750	cun:Cul210932_0748
ko:K03790	cun:Cul210932_0749
ko:K15977	cun:Cul210932_0751
ko:K07056	cun:Cul210932_0756
ko:K01874	cun:Cul210932_0757
ko:K03424	cun:Cul210932_0758
ko:K02528	cun:Cul210932_0761
ko:K00919	cun:Cul210932_0762
ko:K03811	cun:Cul210932_0768
ko:K00134	cun:Cul210932_0773
ko:K01259	cun:Cul210932_0776
ko:K02837	cun:Cul210932_0777
ko:K00459	cun:Cul210932_0780
ko:K01056	cun:Cul210932_0779
ko:K01056	cun:Cul210932_0782
ko:K02897	cun:Cul210932_0783
ko:K00948	cun:Cul210932_0785
ko:K04042	cun:Cul210932_0786
ko:K03723	cun:Cul210932_0791
ko:K03758	cun:Cul210932_0792
ko:K02428	cun:Cul210932_0793
ko:K01689	cun:Cul210932_0796
ko:K09009	cun:Cul210932_0798
ko:K01524	cun:Cul210932_0799
ko:K03624	cun:Cul210932_0805
ko:K18455	cun:Cul210932_0807
ko:K12503	cun:Cul210932_0809
ko:K00867	cun:Cul210932_0811
ko:K00600	cun:Cul210932_0812
ko:K03823	cun:Cul210932_0818
