ko:K01006	lml:lmo4a_1925
ko:K01699	lml:lmo4a_1136
ko:K22010	lml:lmo4a_1155
ko:K15771	lml:lmo4a_0278
ko:K11051	lml:lmo4a_1003
ko:K05350	lml:lmo4a_0385
ko:K11741	lml:lmo4a_0864
ko:K19689	lml:lmo4a_1769
ko:K11741	lml:lmo4a_0865
ko:K09692	lml:lmo4a_1079
ko:K18926	lml:lmo4a_0534
ko:K01448	lml:lmo4a_0153
ko:K06975	lml:lmo4a_0159
ko:K02034	lml:lmo4a_0162
ko:K09817	lml:lmo4a_0174
ko:K09816	lml:lmo4a_0175
ko:K02341	lml:lmo4a_0182
ko:K07461	lml:lmo4a_0186
ko:K07056	lml:lmo4a_0187
ko:K06284	lml:lmo4a_0188
ko:K05823	lml:lmo4a_1028
ko:K02000	lml:lmo4a_1030
ko:K02001	lml:lmo4a_1031
ko:K02002	lml:lmo4a_1032
ko:K00243	lml:lmo4a_1035
ko:K11622	lml:lmo4a_1036
ko:K03752	lml:lmo4a_1047
ko:K02018	lml:lmo4a_1049
ko:K02020	lml:lmo4a_1050
ko:K03750	lml:lmo4a_1051
ko:K03753	lml:lmo4a_1052
ko:K03636	lml:lmo4a_1054
ko:K03637	lml:lmo4a_1055
ko:K03639	lml:lmo4a_1056
ko:K03638	lml:lmo4a_1057
ko:K01462	lml:lmo4a_1060
ko:K00161	lml:lmo4a_1061
ko:K00162	lml:lmo4a_1062
ko:K00627	lml:lmo4a_1063
ko:K00382	lml:lmo4a_1064
ko:K03284	lml:lmo4a_1069
ko:K06207	lml:lmo4a_1072
ko:K06960	lml:lmo4a_1853
ko:K02959	lml:lmo4a_1854
ko:K03106	lml:lmo4a_1858
ko:K03110	lml:lmo4a_1860
ko:K03529	lml:lmo4a_1861
ko:K03685	lml:lmo4a_1862
ko:K02078	lml:lmo4a_1863
ko:K00645	lml:lmo4a_1865
ko:K03621	lml:lmo4a_1866
ko:K03655	lml:lmo4a_1868
ko:K01752	lml:lmo4a_1869
ko:K01752	lml:lmo4a_1870
ko:K02902	lml:lmo4a_1873
ko:K01783	lml:lmo4a_1875
ko:K06949	lml:lmo4a_1876
ko:K03500	lml:lmo4a_1879
ko:K00604	lml:lmo4a_1880
ko:K04066	lml:lmo4a_1881
ko:K13038	lml:lmo4a_1882
ko:K03060	lml:lmo4a_1883
ko:K00942	lml:lmo4a_1884
ko:K00762	lml:lmo4a_1888
ko:K01591	lml:lmo4a_1889
ko:K01955	lml:lmo4a_1892
ko:K01956	lml:lmo4a_1893
ko:K01465	lml:lmo4a_1894
ko:K00609	lml:lmo4a_1895
ko:K02825	lml:lmo4a_1897
ko:K06180	lml:lmo4a_1900
ko:K02996	lml:lmo4a_2660
ko:K02871	lml:lmo4a_2661
ko:K06173	lml:lmo4a_2662
ko:K07507	lml:lmo4a_2666
ko:K02879	lml:lmo4a_2669
ko:K03040	lml:lmo4a_2670
ko:K02948	lml:lmo4a_2671
ko:K02952	lml:lmo4a_2672
ko:K02919	lml:lmo4a_2673
ko:K02518	lml:lmo4a_2674
ko:K03076	lml:lmo4a_2676
ko:K02876	lml:lmo4a_2677
ko:K02907	lml:lmo4a_2678
ko:K02988	lml:lmo4a_2679
ko:K02881	lml:lmo4a_2680
ko:K02933	lml:lmo4a_2681
ko:K02994	lml:lmo4a_2682
ko:K02954	lml:lmo4a_2683
ko:K02931	lml:lmo4a_2684
ko:K02895	lml:lmo4a_2685
ko:K02874	lml:lmo4a_2686
ko:K02961	lml:lmo4a_2687
ko:K02904	lml:lmo4a_2688
ko:K02878	lml:lmo4a_2689
ko:K02982	lml:lmo4a_2690
ko:K02890	lml:lmo4a_2691
ko:K02965	lml:lmo4a_2692
ko:K02886	lml:lmo4a_2693
ko:K02892	lml:lmo4a_2694
ko:K02926	lml:lmo4a_2695
ko:K02906	lml:lmo4a_2696
ko:K02946	lml:lmo4a_2697
ko:K03734	lml:lmo4a_2700
ko:K03885	lml:lmo4a_2702
ko:K01874	lml:lmo4a_0193
ko:K03424	lml:lmo4a_0201
ko:K05985	lml:lmo4a_0203
ko:K02528	lml:lmo4a_0204
ko:K00919	lml:lmo4a_0206
ko:K02003	lml:lmo4a_0210
ko:K06412	lml:lmo4a_0212
ko:K06412	lml:lmo4a_0213
ko:K04042	lml:lmo4a_0214
ko:K00948	lml:lmo4a_0215
ko:K01114	lml:lmo4a_0221
ko:K02897	lml:lmo4a_0227
ko:K01056	lml:lmo4a_0229
ko:K03723	lml:lmo4a_0230
ko:K07571	lml:lmo4a_0234
ko:K03798	lml:lmo4a_0236
ko:K03525	lml:lmo4a_0237
ko:K04083	lml:lmo4a_0238
ko:K01738	lml:lmo4a_0239
ko:K00796	lml:lmo4a_0240
ko:K01633	lml:lmo4a_0241
ko:K00950	lml:lmo4a_0242
ko:K04567	lml:lmo4a_0244
ko:K03588	lml:lmo4a_1076
ko:K02016	lml:lmo4a_1078
ko:K00963	lml:lmo4a_1086
ko:K00763	lml:lmo4a_1094
ko:K02760	lml:lmo4a_1097
