ko:K19296	ppb:PPUBIRD1_4283
ko:K10747	ppb:PPUBIRD1_1155
ko:K18302	ppb:PPUBIRD1_4044
ko:K13609	ppb:PPUBIRD1_2201
ko:K03297	ppb:PPUBIRD1_4713
ko:K02028	ppb:PPUBIRD1_4810
ko:K03863	ppb:PPUBIRD1_2025
ko:K22278	ppb:PPUBIRD1_2088
ko:K02054	ppb:PPUBIRD1_4075
ko:K11735	ppb:PPUBIRD1_1744
ko:K17322	ppb:PPUBIRD1_3392
ko:K08305	ppb:PPUBIRD1_4581
ko:K22617	ppb:PPUBIRD1_0974
ko:K16238	ppb:PPUBIRD1_0593
ko:K03321	ppb:PPUBIRD1_0104
ko:K03457	ppb:PPUBIRD1_1785
ko:K16081	ppb:PPUBIRD1_4277
ko:K11741	ppb:PPUBIRD1_3916
ko:K06969	ppb:PPUBIRD1_1550
ko:K19338	ppb:PPUBIRD1_3610
ko:K09458	ppb:PPUBIRD1_2920
ko:K18334	ppb:PPUBIRD1_2903
ko:K10716	ppb:PPUBIRD1_1553
ko:K00254	ppb:PPUBIRD1_3557
ko:K00020	ppb:PPUBIRD1_4364
ko:K03111	ppb:PPUBIRD1_0522
ko:K03111	ppb:PPUBIRD1_2786
ko:K02946	ppb:PPUBIRD1_0490
ko:K02906	ppb:PPUBIRD1_0491
ko:K02926	ppb:PPUBIRD1_0492
ko:K02892	ppb:PPUBIRD1_0493
ko:K02886	ppb:PPUBIRD1_0494
ko:K02965	ppb:PPUBIRD1_0495
ko:K02890	ppb:PPUBIRD1_0496
ko:K02982	ppb:PPUBIRD1_0497
ko:K02878	ppb:PPUBIRD1_0498
ko:K02904	ppb:PPUBIRD1_0499
ko:K02961	ppb:PPUBIRD1_0500
ko:K02874	ppb:PPUBIRD1_0501
ko:K02895	ppb:PPUBIRD1_0502
ko:K02931	ppb:PPUBIRD1_0503
ko:K02954	ppb:PPUBIRD1_0504
ko:K02994	ppb:PPUBIRD1_0505
ko:K02933	ppb:PPUBIRD1_0506
ko:K02881	ppb:PPUBIRD1_0507
ko:K02988	ppb:PPUBIRD1_0508
ko:K02907	ppb:PPUBIRD1_0509
ko:K02876	ppb:PPUBIRD1_0510
ko:K03076	ppb:PPUBIRD1_0511
ko:K02919	ppb:PPUBIRD1_0512
ko:K02952	ppb:PPUBIRD1_0513
ko:K02948	ppb:PPUBIRD1_0514
ko:K02986	ppb:PPUBIRD1_0515
ko:K03040	ppb:PPUBIRD1_0516
ko:K02879	ppb:PPUBIRD1_0517
ko:K03781	ppb:PPUBIRD1_0518
ko:K03594	ppb:PPUBIRD1_0519
ko:K03701	ppb:PPUBIRD1_0520
ko:K07090	ppb:PPUBIRD1_0525
ko:K00123	ppb:PPUBIRD1_0527
ko:K00123	ppb:PPUBIRD1_0528
ko:K02380	ppb:PPUBIRD1_0531
ko:K01042	ppb:PPUBIRD1_0532
ko:K03833	ppb:PPUBIRD1_0533
ko:K03310	ppb:PPUBIRD1_0535
ko:K07090	ppb:PPUBIRD1_0539
ko:K00067	ppb:PPUBIRD1_0541
ko:K07275	ppb:PPUBIRD1_0545
ko:K09950	ppb:PPUBIRD1_0546
ko:K02003	ppb:PPUBIRD1_0548
ko:K01118	ppb:PPUBIRD1_1362
ko:K09803	ppb:PPUBIRD1_1368
ko:K12543	ppb:PPUBIRD1_1380
ko:K09790	ppb:PPUBIRD1_1381
ko:K07039	ppb:PPUBIRD1_1382
ko:K03654	ppb:PPUBIRD1_1384
ko:K07001	ppb:PPUBIRD1_1386
ko:K07401	ppb:PPUBIRD1_1387
ko:K09780	ppb:PPUBIRD1_1397
ko:K06190	ppb:PPUBIRD1_1398
ko:K07053	ppb:PPUBIRD1_1399
ko:K05896	ppb:PPUBIRD1_1401
ko:K06024	ppb:PPUBIRD1_1402
ko:K06178	ppb:PPUBIRD1_1404
ko:K00500	ppb:PPUBIRD1_1411
ko:K03721	ppb:PPUBIRD1_1412
ko:K01895	ppb:PPUBIRD1_1414
ko:K07507	ppb:PPUBIRD1_2253
ko:K01640	ppb:PPUBIRD1_2254
ko:K00481	ppb:PPUBIRD1_2257
ko:K14977	ppb:PPUBIRD1_2263
ko:K15553	ppb:PPUBIRD1_2266
ko:K00826	ppb:PPUBIRD1_2284
ko:K02234	ppb:PPUBIRD1_2288
ko:K02230	ppb:PPUBIRD1_2290
ko:K13580	ppb:PPUBIRD1_2292
ko:K08303	ppb:PPUBIRD1_2295
ko:K06967	ppb:PPUBIRD1_2297
ko:K07240	ppb:PPUBIRD1_3120
ko:K00457	ppb:PPUBIRD1_3122
ko:K01740	ppb:PPUBIRD1_3155
ko:K06950	ppb:PPUBIRD1_3160
ko:K01425	ppb:PPUBIRD1_3162
ko:K08195	ppb:PPUBIRD1_3164
ko:K10218	ppb:PPUBIRD1_3170
ko:K01495	ppb:PPUBIRD1_3173
ko:K07678	ppb:PPUBIRD1_3966
ko:K03778	ppb:PPUBIRD1_3967
ko:K03809	ppb:PPUBIRD1_3972
ko:K14058	ppb:PPUBIRD1_3975
ko:K02742	ppb:PPUBIRD1_3977
ko:K00528	ppb:PPUBIRD1_3978
ko:K00901	ppb:PPUBIRD1_3980
ko:K06966	ppb:PPUBIRD1_3985
ko:K03565	ppb:PPUBIRD1_3986
ko:K03555	ppb:PPUBIRD1_3990
ko:K06194	ppb:PPUBIRD1_3993
ko:K00573	ppb:PPUBIRD1_3994
ko:K03787	ppb:PPUBIRD1_3995
ko:K06176	ppb:PPUBIRD1_3996
ko:K01770	ppb:PPUBIRD1_3997
ko:K01070	ppb:PPUBIRD1_3998
ko:K00991	ppb:PPUBIRD1_4001
ko:K05589	ppb:PPUBIRD1_4002
ko:K01689	ppb:PPUBIRD1_4003
ko:K01627	ppb:PPUBIRD1_4004
ko:K01937	ppb:PPUBIRD1_4005
ko:K04075	ppb:PPUBIRD1_4007
ko:K01962	ppb:PPUBIRD1_4008
ko:K02337	ppb:PPUBIRD1_4009
ko:K03470	ppb:PPUBIRD1_4010
ko:K00748	ppb:PPUBIRD1_4011
ko:K00677	ppb:PPUBIRD1_4012
ko:K02372	ppb:PPUBIRD1_4013
ko:K02536	ppb:PPUBIRD1_4014
ko:K06142	ppb:PPUBIRD1_4015
ko:K07277	ppb:PPUBIRD1_4016
ko:K07712	ppb:PPUBIRD1_4838
ko:K03216	ppb:PPUBIRD1_4840
ko:K03071	ppb:PPUBIRD1_4841
ko:K15633	ppb:PPUBIRD1_4844
ko:K03797	ppb:PPUBIRD1_4846
ko:K09798	ppb:PPUBIRD1_4847
ko:K02168	ppb:PPUBIRD1_4850
ko:K02167	ppb:PPUBIRD1_4851
ko:K05802	ppb:PPUBIRD1_4856
ko:K03672	ppb:PPUBIRD1_4858
ko:K08224	ppb:PPUBIRD1_4861
ko:K01599	ppb:PPUBIRD1_4863
ko:K00266	ppb:PPUBIRD1_4864
ko:K03112	ppb:PPUBIRD1_4866
ko:K01735	ppb:PPUBIRD1_4867
ko:K00891	ppb:PPUBIRD1_4868
ko:K02666	ppb:PPUBIRD1_4869
ko:K02662	ppb:PPUBIRD1_4872
ko:K05366	ppb:PPUBIRD1_4873
ko:K00029	ppb:PPUBIRD1_4874
ko:K02909	ppb:PPUBIRD1_4876
ko:K04066	ppb:PPUBIRD1_4877
ko:K01887	ppb:PPUBIRD1_4878
ko:K02669	ppb:PPUBIRD1_4882
ko:K06997	ppb:PPUBIRD1_4883
ko:K00286	ppb:PPUBIRD1_4884
ko:K02221	ppb:PPUBIRD1_4885
ko:K00641	ppb:PPUBIRD1_4886
ko:K03439	ppb:PPUBIRD1_4892
ko:K01977	ppb:PPUBIRD1_r0001
ko:K01977	ppb:PPUBIRD1_r0004
ko:K01977	ppb:PPUBIRD1_r0019
ko:K01977	ppb:PPUBIRD1_r0022
ko:K01977	ppb:PPUBIRD1_r0014
ko:K01977	ppb:PPUBIRD1_r0008
ko:K01977	ppb:PPUBIRD1_r0011
ko:K05838	ppb:PPUBIRD1_0551
ko:K07738	ppb:PPUBIRD1_0554
ko:K11752	ppb:PPUBIRD1_0555
ko:K00793	ppb:PPUBIRD1_0556
ko:K14652	ppb:PPUBIRD1_0557
ko:K00794	ppb:PPUBIRD1_0558
ko:K03625	ppb:PPUBIRD1_0559
ko:K00946	ppb:PPUBIRD1_0560
ko:K01095	ppb:PPUBIRD1_0561
ko:K01662	ppb:PPUBIRD1_0567
ko:K13789	ppb:PPUBIRD1_0568
ko:K03602	ppb:PPUBIRD1_0569
ko:K09933	ppb:PPUBIRD1_0588
ko:K03975	ppb:PPUBIRD1_0589
ko:K03736	ppb:PPUBIRD1_0591
ko:K03735	ppb:PPUBIRD1_0592
ko:K02558	ppb:PPUBIRD1_0596
ko:K03186	ppb:PPUBIRD1_0597
ko:K00627	ppb:PPUBIRD1_0603
ko:K00673	ppb:PPUBIRD1_1422
ko:K00673	ppb:PPUBIRD1_1423
ko:K06447	ppb:PPUBIRD1_1424
ko:K01484	ppb:PPUBIRD1_1425
ko:K05526	ppb:PPUBIRD1_1427
ko:K01872	ppb:PPUBIRD1_1429
ko:K00928	ppb:PPUBIRD1_1430
ko:K03563	ppb:PPUBIRD1_1431
ko:K06213	ppb:PPUBIRD1_1432
ko:K05774	ppb:PPUBIRD1_1434
ko:K00382	ppb:PPUBIRD1_1438
ko:K09699	ppb:PPUBIRD1_1439
