ko:K18917	coi:CpCIP5297_0642
ko:K01992	coi:CpCIP5297_1113
ko:K01992	coi:CpCIP5297_1638
ko:K14237	coi:CpCIP5297_t50
ko:K18926	coi:CpCIP5297_0487
ko:K14232	coi:CpCIP5297_t34
ko:K16147	coi:CpCIP5297_0875
ko:K16148	coi:CpCIP5297_0804
ko:K16164	coi:CpCIP5297_0162
ko:K10716	coi:CpCIP5297_0556
ko:K14235	coi:CpCIP5297_t15
ko:K02028	coi:CpCIP5297_0944
ko:K15733	coi:CpCIP5297_1208
ko:K01588	coi:CpCIP5297_0504
ko:K01809	coi:CpCIP5297_0522
ko:K01251	coi:CpCIP5297_0527
ko:K00943	coi:CpCIP5297_0528
ko:K03070	coi:CpCIP5297_0534
ko:K06949	coi:CpCIP5297_0540
ko:K00800	coi:CpCIP5297_0541
ko:K03088	coi:CpCIP5297_0544
ko:K01265	coi:CpCIP5297_1320
ko:K00099	coi:CpCIP5297_1324
ko:K00981	coi:CpCIP5297_1328
ko:K02838	coi:CpCIP5297_1329
ko:K09903	coi:CpCIP5297_1330
ko:K02357	coi:CpCIP5297_1331
ko:K02967	coi:CpCIP5297_1332
ko:K03733	coi:CpCIP5297_1335
ko:K04096	coi:CpCIP5297_1336
ko:K03470	coi:CpCIP5297_1339
ko:K03100	coi:CpCIP5297_1340
ko:K02884	coi:CpCIP5297_1341
ko:K06959	coi:CpCIP5297_1342
ko:K00554	coi:CpCIP5297_1345
ko:K02860	coi:CpCIP5297_1346
ko:K02959	coi:CpCIP5297_1348
ko:K03106	coi:CpCIP5297_1349
ko:K00990	coi:CpCIP5297_1350
ko:K04751	coi:CpCIP5297_1351
ko:K03110	coi:CpCIP5297_1352
ko:K03529	coi:CpCIP5297_1354
ko:K01512	coi:CpCIP5297_1355
ko:K03310	coi:CpCIP5297_1356
ko:K03685	coi:CpCIP5297_1358
ko:K07040	coi:CpCIP5297_1359
ko:K00259	coi:CpCIP5297_1363
ko:K00262	coi:CpCIP5297_1364
ko:K00865	coi:CpCIP5297_1365
ko:K00688	coi:CpCIP5297_1368
ko:K00873	coi:CpCIP5297_1370
ko:K03501	coi:CpCIP5297_2135
ko:K03217	coi:CpCIP5297_2136
ko:K08998	coi:CpCIP5297_2137
ko:K03536	coi:CpCIP5297_2138
ko:K00024	coi:CpCIP5297_1607
ko:K03544	coi:CpCIP5297_1610
ko:K13950	coi:CpCIP5297_1611
