ko:K19079	suu:M013TW_0648
ko:K09022	suu:M013TW_0468
ko:K19005	suu:M013TW_0705
ko:K19285	suu:M013TW_0362
ko:K00887	suu:M013TW_1584
ko:K01990	suu:M013TW_2324
ko:K07145	suu:M013TW_0155
ko:K11737	suu:M013TW_1709
ko:K16012	suu:M013TW_0672
ko:K16013	suu:M013TW_0671
ko:K16301	suu:M013TW_0323
ko:K02013	suu:M013TW_0634
ko:K02015	suu:M013TW_0635
ko:K02015	suu:M013TW_0636
ko:K05878	suu:M013TW_0637
ko:K05879	suu:M013TW_0638
ko:K07220	suu:M013TW_0650
ko:K03306	suu:M013TW_0651
ko:K06890	suu:M013TW_0653
ko:K09793	suu:M013TW_0661
ko:K02015	suu:M013TW_0719
ko:K02015	suu:M013TW_0720
ko:K02013	suu:M013TW_0721
ko:K02016	suu:M013TW_0722
ko:K00075	suu:M013TW_0723
ko:K00865	suu:M013TW_0729
ko:K03070	suu:M013TW_0740
ko:K02836	suu:M013TW_0741
ko:K07023	suu:M013TW_0743
ko:K03702	suu:M013TW_0745
ko:K03701	suu:M013TW_0746
ko:K07084	suu:M013TW_0862
ko:K05571	suu:M013TW_0865
ko:K05569	suu:M013TW_0867
ko:K05567	suu:M013TW_0869
ko:K05566	suu:M013TW_0870
ko:K06347	suu:M013TW_0872
ko:K00260	suu:M013TW_0877
ko:K01126	suu:M013TW_0878
ko:K01755	suu:M013TW_0879
ko:K01940	suu:M013TW_0880
ko:K01810	suu:M013TW_0881
ko:K03100	suu:M013TW_0883
ko:K03100	suu:M013TW_0884
ko:K03695	suu:M013TW_0893
ko:K00648	suu:M013TW_0905
ko:K09458	suu:M013TW_0906
ko:K15581	suu:M013TW_0908
ko:K15580	suu:M013TW_0912
ko:K02034	suu:M013TW_0917
ko:K00627	suu:M013TW_1027
ko:K00382	suu:M013TW_1028
ko:K03322	suu:M013TW_1037
ko:K06207	suu:M013TW_1041
ko:K03588	suu:M013TW_1045
ko:K02259	suu:M013TW_1047
ko:K08976	suu:M013TW_1049
ko:K01126	suu:M013TW_1052
ko:K00954	suu:M013TW_1056
ko:K07040	suu:M013TW_1058
ko:K02911	suu:M013TW_1059
ko:K02016	suu:M013TW_1066
ko:K02015	suu:M013TW_1067
ko:K08600	suu:M013TW_1068
ko:K03437	suu:M013TW_1070
ko:K01889	suu:M013TW_1071
ko:K01890	suu:M013TW_1072
ko:K09888	suu:M013TW_1074
ko:K02347	suu:M013TW_1076
ko:K07456	suu:M013TW_1077
ko:K03671	suu:M013TW_1078
ko:K03703	suu:M013TW_1079
ko:K00239	suu:M013TW_1081
ko:K02357	suu:M013TW_1197
ko:K09903	suu:M013TW_1198
ko:K02838	suu:M013TW_1199
ko:K00806	suu:M013TW_1200
ko:K00981	suu:M013TW_1201
ko:K11749	suu:M013TW_1202
ko:K01881	suu:M013TW_1203
ko:K03763	suu:M013TW_1204
ko:K09748	suu:M013TW_1205
ko:K02600	suu:M013TW_1206
ko:K07742	suu:M013TW_1207
ko:K02519	suu:M013TW_1209
ko:K02834	suu:M013TW_1210
ko:K11753	suu:M013TW_1212
ko:K02956	suu:M013TW_1213
ko:K00962	suu:M013TW_1214
ko:K03466	suu:M013TW_1216
ko:K00995	suu:M013TW_1225
ko:K09769	suu:M013TW_1230
ko:K00174	suu:M013TW_1231
ko:K00175	suu:M013TW_1232
ko:K06168	suu:M013TW_1234
ko:K03555	suu:M013TW_1237
ko:K03572	suu:M013TW_1238
ko:K02440	suu:M013TW_1240
ko:K00864	suu:M013TW_1241
ko:K00111	suu:M013TW_1242
ko:K00791	suu:M013TW_1244
ko:K03666	suu:M013TW_1245
ko:K00432	suu:M013TW_1246
ko:K03665	suu:M013TW_1247
ko:K01915	suu:M013TW_1250
ko:K03797	suu:M013TW_1366
ko:K09125	suu:M013TW_1378
ko:K08170	suu:M013TW_1383
ko:K01754	suu:M013TW_1385
ko:K00259	suu:M013TW_1386
ko:K07444	suu:M013TW_1391
ko:K05366	suu:M013TW_1398
ko:K10773	suu:M013TW_1400
ko:K01893	suu:M013TW_1402
ko:K03524	suu:M013TW_1404
ko:K06973	suu:M013TW_1408
ko:K00800	suu:M013TW_1412
ko:K01735	suu:M013TW_1413
ko:K01736	suu:M013TW_1414
ko:K00940	suu:M013TW_1416
ko:K03183	suu:M013TW_1418
ko:K09699	suu:M013TW_1531
ko:K00167	suu:M013TW_1532
ko:K00166	suu:M013TW_1533
ko:K00382	suu:M013TW_1534
ko:K03631	suu:M013TW_1535
ko:K03402	suu:M013TW_1536
ko:K13789	suu:M013TW_1537
ko:K03602	suu:M013TW_1538
ko:K03601	suu:M013TW_1539
ko:K03625	suu:M013TW_1540
ko:K01961	suu:M013TW_1542
ko:K02160	suu:M013TW_1543
ko:K02356	suu:M013TW_1544
ko:K03800	suu:M013TW_1548
ko:K00283	suu:M013TW_1550
ko:K00282	suu:M013TW_1551
ko:K00605	suu:M013TW_1552
ko:K00824	suu:M013TW_1765
ko:K07007	suu:M013TW_1771
ko:K01869	suu:M013TW_1774
ko:K07139	suu:M013TW_1776
ko:K00318	suu:M013TW_1780
ko:K00794	suu:M013TW_1781
ko:K14652	suu:M013TW_1782
ko:K00793	suu:M013TW_1783
ko:K11752	suu:M013TW_1784
ko:K03893	suu:M013TW_1786
ko:K06199	suu:M013TW_1796
ko:K00891	suu:M013TW_1553
ko:K02913	suu:M013TW_1566
ko:K04564	suu:M013TW_1568
ko:K09816	suu:M013TW_1570
ko:K09817	suu:M013TW_1571
ko:K01151	suu:M013TW_1572
ko:K06967	suu:M013TW_1575
ko:K03086	suu:M013TW_1576
ko:K09773	suu:M013TW_1578
ko:K01880	suu:M013TW_1580
ko:K03584	suu:M013TW_1581
ko:K01938	suu:M013TW_1746
ko:K01895	suu:M013TW_1747
ko:K04766	suu:M013TW_1748
ko:K04768	suu:M013TW_1749
ko:K02529	suu:M013TW_1750
ko:K13853	suu:M013TW_1751
ko:K01924	suu:M013TW_1754
ko:K03466	suu:M013TW_1755
ko:K06878	suu:M013TW_1756
ko:K03439	suu:M013TW_1763
ko:K05352	suu:M013TW_0233
ko:K05352	suu:M013TW_0237
ko:K01733	suu:M013TW_1277
ko:K00872	suu:M013TW_1278
ko:K03781	suu:M013TW_1282
ko:K02913	suu:M013TW_1283
ko:K02954	suu:M013TW_1284
ko:K00364	suu:M013TW_1285
ko:K01356	suu:M013TW_1287
ko:K00615	suu:M013TW_1290
ko:K03547	suu:M013TW_1293
ko:K03282	suu:M013TW_1295
ko:K01681	suu:M013TW_1297
ko:K07107	suu:M013TW_1298
ko:K08591	suu:M013TW_1300
ko:K02622	suu:M013TW_1301
ko:K02621	suu:M013TW_1302
ko:K03310	suu:M013TW_1303
ko:K03480	suu:M013TW_1304
ko:K14205	suu:M013TW_1306
ko:K01821	suu:M013TW_1309
ko:K01657	suu:M013TW_1313
ko:K03530	suu:M013TW_1420
ko:K00057	suu:M013TW_1421
ko:K03977	suu:M013TW_1422
ko:K02945	suu:M013TW_1423
ko:K00945	suu:M013TW_1424
ko:K03654	suu:M013TW_1429
ko:K07042	suu:M013TW_1585
ko:K02970	suu:M013TW_1590
ko:K09761	suu:M013TW_1592
ko:K02687	suu:M013TW_1593
ko:K03686	suu:M013TW_1594
ko:K04043	suu:M013TW_1595
ko:K03687	suu:M013TW_1596
ko:K03705	suu:M013TW_1597
ko:K03596	suu:M013TW_1599
ko:K02968	suu:M013TW_1600
ko:K02340	suu:M013TW_1601
ko:K02237	suu:M013TW_1604
ko:K09710	suu:M013TW_1606
ko:K00969	suu:M013TW_1608
ko:K07574	suu:M013TW_1609
ko:K00014	suu:M013TW_1610
ko:K07015	suu:M013TW_1612
ko:K07160	suu:M013TW_1621
ko:K01961	suu:M013TW_1622
ko:K02160	suu:M013TW_1626
ko:K03624	suu:M013TW_1629
ko:K00876	suu:M013TW_1630
ko:K08303	suu:M013TW_1631
ko:K07447	suu:M013TW_1635
ko:K01620	suu:M013TW_1268
ko:K06131	suu:M013TW_1270
ko:K00928	suu:M013TW_1275
ko:K00003	suu:M013TW_1276
ko:K06199	suu:M013TW_1797
ko:K00789	suu:M013TW_1800
ko:K01610	suu:M013TW_1801
ko:K08998	suu:M013TW_1804
ko:K01911	suu:M013TW_1806
ko:K01154	suu:M013TW_1818
