ko:K07489	ypw:CH59_896
ko:K13060	ypw:CH59_878
ko:K08723	ypw:CH59_3804
ko:K21029	ypw:CH59_344
ko:K15634	ypw:CH59_1406
ko:K19734	ypw:CH59_4287
ko:K19734	ypw:CH59_879
ko:K20542	ypw:CH59_1946
ko:K20866	ypw:CH59_2121
ko:K02495	ypw:CH59_2116
ko:K19789	ypw:CH59_576
ko:K14225	ypw:CH59_1495
ko:K14225	ypw:CH59_3298
ko:K14231	ypw:CH59_1525
ko:K14231	ypw:CH59_904
ko:K14234	ypw:CH59_1643
ko:K14234	ypw:CH59_1679
ko:K14236	ypw:CH59_1681
ko:K14236	ypw:CH59_3953
ko:K14232	ypw:CH59_1792
ko:K14232	ypw:CH59_1955
ko:K14226	ypw:CH59_1795
ko:K14219	ypw:CH59_1796
ko:K14235	ypw:CH59_1850
ko:K00344	ypw:CH59_1546
ko:K21908	ypw:CH59_1273
ko:K01271	ypw:CH59_1699
ko:K07493	ypw:CH59_107
ko:K01138	ypw:CH59_1025
ko:K11904	ypw:CH59_365
ko:K01593	ypw:CH59_650
ko:K00130	ypw:CH59_678
ko:K13002	ypw:CH59_2967
ko:K03973	ypw:CH59_4181
ko:K02032	ypw:CH59_2594
ko:K00632	ypw:CH59_1701
ko:K02081	ypw:CH59_1036
ko:K04057	ypw:CH59_4482
ko:K02032	ypw:CH59_3543
ko:K13001	ypw:CH59_2961
ko:K13000	ypw:CH59_2958
ko:K12453	ypw:CH59_2953
ko:K03892	ypw:CH59_2703
ko:K05799	ypw:CH59_2628
ko:K03293	ypw:CH59_1797
ko:K01406	ypw:CH59_1921
ko:K11894	ypw:CH59_2348
ko:K04753	ypw:CH59_1191
ko:K07497	ypw:CH59_4117
ko:K02015	ypw:CH59_499
ko:K09798	ypw:CH59_2155
ko:K20881	ypw:CH59_2233
ko:K00632	ypw:CH59_3633
ko:K09803	ypw:CH59_3280
ko:K06887	ypw:CH59_3289
ko:K00995	ypw:CH59_3299
ko:K03703	ypw:CH59_3300
ko:K07689	ypw:CH59_3301
ko:K11737	ypw:CH59_3307
ko:K17948	ypw:CH59_3308
ko:K03809	ypw:CH59_3309
ko:K16301	ypw:CH59_3310
ko:K07224	ypw:CH59_3311
ko:K07243	ypw:CH59_3312
ko:K11928	ypw:CH59_3313
ko:K13821	ypw:CH59_3315
ko:K10010	ypw:CH59_3318
ko:K10009	ypw:CH59_3319
ko:K02424	ypw:CH59_3320
ko:K05396	ypw:CH59_3321
ko:K02425	ypw:CH59_3322
ko:K02405	ypw:CH59_3323
ko:K02406	ypw:CH59_3324
ko:K02407	ypw:CH59_3325
ko:K02422	ypw:CH59_3326
ko:K07126	ypw:CH59_4139
ko:K00720	ypw:CH59_4147
ko:K00648	ypw:CH59_4152
ko:K00648	ypw:CH59_4153
ko:K09975	ypw:CH59_4155
ko:K05603	ypw:CH59_4156
ko:K05836	ypw:CH59_4157
ko:K01468	ypw:CH59_4158
ko:K01479	ypw:CH59_4159
ko:K07507	ypw:CH59_4162
ko:K03297	ypw:CH59_4163
ko:K03737	ypw:CH59_4164
ko:K14058	ypw:CH59_4165
ko:K16074	ypw:CH59_4169
ko:K15580	ypw:CH59_4170
ko:K14054	ypw:CH59_4171
ko:K11065	ypw:CH59_4173
ko:K07491	ypw:CH59_4174
ko:K03721	ypw:CH59_4175
ko:K08990	ypw:CH59_4178
ko:K06918	ypw:CH59_4179
ko:K03971	ypw:CH59_4180
ko:K03970	ypw:CH59_4182
ko:K03969	ypw:CH59_4183
ko:K03974	ypw:CH59_4184
ko:K07491	ypw:CH59_4185
ko:K19226	ypw:CH59_4186
ko:K19227	ypw:CH59_4187
ko:K19228	ypw:CH59_4188
ko:K19229	ypw:CH59_4189
ko:K19230	ypw:CH59_4190
ko:K02050	ypw:CH59_3814
ko:K02051	ypw:CH59_3815
ko:K17202	ypw:CH59_3816
ko:K02529	ypw:CH59_3818
ko:K03281	ypw:CH59_3846
ko:K01935	ypw:CH59_3847
ko:K15545	ypw:CH59_3849
ko:K08224	ypw:CH59_3851
ko:K10748	ypw:CH59_3852
ko:K01679	ypw:CH59_3853
ko:K01809	ypw:CH59_3854
ko:K14347	ypw:CH59_3857
ko:K02099	ypw:CH59_3863
ko:K10538	ypw:CH59_3864
ko:K10539	ypw:CH59_3865
ko:K10537	ypw:CH59_3866
ko:K00853	ypw:CH59_3867
ko:K01804	ypw:CH59_3868
ko:K12531	ypw:CH59_3870
ko:K12532	ypw:CH59_3871
ko:K12532	ypw:CH59_3872
ko:K12530	ypw:CH59_3873
ko:K03617	ypw:CH59_3875
ko:K03616	ypw:CH59_3876
ko:K03615	ypw:CH59_3877
ko:K03614	ypw:CH59_3879
ko:K03612	ypw:CH59_3880
ko:K03613	ypw:CH59_3881
ko:K10773	ypw:CH59_3882
ko:K01147	ypw:CH59_3885
ko:K06200	ypw:CH59_3886
ko:K08313	ypw:CH59_3888
ko:K04062	ypw:CH59_3891
ko:K03113	ypw:CH59_3892
ko:K01591	ypw:CH59_3893
ko:K08992	ypw:CH59_3896
ko:K01497	ypw:CH59_3898
ko:K01681	ypw:CH59_3899
ko:K13634	ypw:CH59_3901
ko:K03168	ypw:CH59_3902
ko:K04774	ypw:CH59_3905
ko:K19221	ypw:CH59_3907
ko:K06178	ypw:CH59_3908
ko:K07053	ypw:CH59_3910
ko:K01657	ypw:CH59_3911
ko:K01658	ypw:CH59_3912
ko:K00766	ypw:CH59_3913
ko:K13498	ypw:CH59_3914
ko:K01696	ypw:CH59_3915
ko:K01695	ypw:CH59_3916
ko:K07275	ypw:CH59_3918
ko:K07245	ypw:CH59_3382
ko:K07156	ypw:CH59_3383
ko:K02217	ypw:CH59_3384
ko:K02345	ypw:CH59_3385
ko:K01259	ypw:CH59_3386
ko:K01354	ypw:CH59_3387
ko:K09900	ypw:CH59_3389
ko:K09918	ypw:CH59_3390
ko:K05591	ypw:CH59_3391
ko:K08289	ypw:CH59_3392
ko:K09917	ypw:CH59_3393
ko:K01665	ypw:CH59_3394
ko:K01752	ypw:CH59_3396
ko:K00484	ypw:CH59_3397
ko:K00483	ypw:CH59_3398
ko:K02511	ypw:CH59_3399
ko:K02510	ypw:CH59_3400
ko:K02509	ypw:CH59_3401
ko:K01826	ypw:CH59_3402
ko:K00455	ypw:CH59_3403
ko:K00151	ypw:CH59_3404
ko:K05921	ypw:CH59_3405
ko:K05921	ypw:CH59_3406
ko:K02793	ypw:CH59_3409
ko:K02794	ypw:CH59_3409
ko:K02795	ypw:CH59_3410
ko:K02014	ypw:CH59_3414
ko:K00563	ypw:CH59_3417
ko:K03704	ypw:CH59_3419
ko:K12973	ypw:CH59_3421
ko:K11734	ypw:CH59_3422
ko:K06147	ypw:CH59_3431
ko:K08997	ypw:CH59_4247
ko:K03800	ypw:CH59_4248
ko:K12963	ypw:CH59_4250
ko:K12962	ypw:CH59_4251
ko:K07264	ypw:CH59_4252
ko:K13014	ypw:CH59_4253
