ko:K02028	sui:SSUJS14_0460
ko:K06148	sui:SSUJS14_1037
ko:K19689	sui:SSUJS14_1909
ko:K10040	sui:SSUJS14_1326
ko:K03790	sui:SSUJS14_1155
ko:K13677	sui:SSUJS14_1331
ko:K10041	sui:SSUJS14_1323
ko:K02424	sui:SSUJS14_2023
ko:K10039	sui:SSUJS14_1324
ko:K10009	sui:SSUJS14_2022
ko:K10716	sui:SSUJS14_1084
ko:K10040	sui:SSUJS14_1325
ko:K07570	sui:SSUJS14_0401
ko:K01873	sui:SSUJS14_0426
ko:K06131	sui:SSUJS14_1273
ko:K07124	sui:SSUJS14_1275
ko:K00784	sui:SSUJS14_1276
ko:K03665	sui:SSUJS14_1278
ko:K01738	sui:SSUJS14_0402
ko:K00791	sui:SSUJS14_1279
ko:K03449	sui:SSUJS14_1281
ko:K00077	sui:SSUJS14_1286
ko:K00243	sui:SSUJS14_1287
ko:K02838	sui:SSUJS14_1288
ko:K09903	sui:SSUJS14_1289
ko:K11209	sui:SSUJS14_1291
ko:K02867	sui:SSUJS14_1294
ko:K08234	sui:SSUJS14_1296
ko:K03466	sui:SSUJS14_1297
ko:K01193	sui:SSUJS14_1298
ko:K02529	sui:SSUJS14_1302
ko:K02837	sui:SSUJS14_1309
ko:K01929	sui:SSUJS14_1312
ko:K01921	sui:SSUJS14_1314
ko:K06187	sui:SSUJS14_1315
ko:K02240	sui:SSUJS14_0404
ko:K00687	sui:SSUJS14_1316
ko:K07652	sui:SSUJS14_1321
ko:K07668	sui:SSUJS14_1322
ko:K00995	sui:SSUJS14_2122
ko:K03629	sui:SSUJS14_2127
ko:K00088	sui:SSUJS14_2128
ko:K02242	sui:SSUJS14_0405
ko:K05808	sui:SSUJS14_0406
ko:K01867	sui:SSUJS14_2129
ko:K00783	sui:SSUJS14_2135
ko:K03565	sui:SSUJS14_0411
ko:K07586	sui:SSUJS14_0412
ko:K03710	sui:SSUJS14_0414
ko:K12308	sui:SSUJS14_0416
ko:K02795	sui:SSUJS14_0418
ko:K02793	sui:SSUJS14_0420
ko:K01785	sui:SSUJS14_0421
ko:K01834	sui:SSUJS14_1610
ko:K00057	sui:SSUJS14_1997
ko:K00963	sui:SSUJS14_1998
ko:K01934	sui:SSUJS14_2000
ko:K05823	sui:SSUJS14_2001
ko:K00674	sui:SSUJS14_2002
ko:K01810	sui:SSUJS14_2006
ko:K00615	sui:SSUJS14_2009
ko:K03476	sui:SSUJS14_2010
ko:K03493	sui:SSUJS14_2011
ko:K05879	sui:SSUJS14_1916
ko:K03789	sui:SSUJS14_0163
ko:K01409	sui:SSUJS14_0164
ko:K02025	sui:SSUJS14_0167
ko:K07407	sui:SSUJS14_0169
ko:K07007	sui:SSUJS14_0180
ko:K02822	sui:SSUJS14_0184
ko:K03475	sui:SSUJS14_0185
ko:K00615	sui:SSUJS14_0186
ko:K00615	sui:SSUJS14_0187
ko:K01126	sui:SSUJS14_0188
ko:K09747	sui:SSUJS14_0189
ko:K02082	sui:SSUJS14_0190
ko:K01281	sui:SSUJS14_0192
ko:K00656	sui:SSUJS14_0195
ko:K02346	sui:SSUJS14_0196
ko:K07118	sui:SSUJS14_0198
ko:K07457	sui:SSUJS14_0200
ko:K02761	sui:SSUJS14_0204
ko:K02050	sui:SSUJS14_0208
ko:K02049	sui:SSUJS14_0209
ko:K03100	sui:SSUJS14_0217
ko:K01489	sui:SSUJS14_1060
