ko:K19744	paem:U769_05545
ko:K18094	paem:U769_15180
ko:K10815	paem:U769_14360
ko:K01659	paem:U769_22180
ko:K11741	paem:U769_22235
ko:K18095	paem:U769_15185
ko:K01851	paem:U769_03695
ko:K18302	paem:U769_06505
ko:K18979	paem:U769_27125
ko:K19591	paem:U769_26230
ko:K19595	paem:U769_07280
ko:K03297	paem:U769_27325
ko:K02487	paem:U769_22575
ko:K03560	paem:U769_01015
ko:K22617	paem:U769_23430
ko:K16238	paem:U769_04725
ko:K09691	paem:U769_29945
ko:K19291	paem:U769_07185
ko:K18131	paem:U769_02185
ko:K18130	paem:U769_06280
ko:K00344	paem:U769_00115
ko:K02625	paem:U769_01145
ko:K18129	paem:U769_15175
ko:K11741	paem:U769_08535
ko:K11741	paem:U769_16245
ko:K06998	paem:U769_03775
ko:K21429	paem:U769_02920
ko:K00638	paem:U769_22855
ko:K03111	paem:U769_03690
ko:K12960	paem:U769_09065
ko:K19593	paem:U769_07290
ko:K19735	paem:U769_20800
ko:K18138	paem:U769_02195
ko:K19611	paem:U769_21135
ko:K18135	paem:U769_07020
ko:K21430	paem:U769_20205
ko:K18346	paem:U769_22425
ko:K18297	paem:U769_12765
ko:K02113	paem:U769_30480
ko:K18150	paem:U769_06290
ko:K11209	paem:U769_17630
ko:K19609	paem:U769_11715
ko:K11209	paem:U769_20630
ko:K18456	paem:U769_00735
ko:K04065	paem:U769_26025
ko:K01399	paem:U769_06260
ko:K18139	paem:U769_02200
ko:K06024	paem:U769_08925
ko:K00134	paem:U769_08940
ko:K01690	paem:U769_08945
ko:K00845	paem:U769_08950
ko:K17315	paem:U769_08965
ko:K17316	paem:U769_08970
ko:K17317	paem:U769_08975
ko:K10112	paem:U769_08980
ko:K07267	paem:U769_08985
ko:K00036	paem:U769_09000
ko:K01057	paem:U769_09005
ko:K01625	paem:U769_09010
ko:K03574	paem:U769_09015
ko:K06178	paem:U769_09020
ko:K03312	paem:U769_09035
ko:K01479	paem:U769_09040
ko:K00568	paem:U769_09060
ko:K08963	paem:U769_09070
ko:K02469	paem:U769_09075
ko:K00831	paem:U769_09080
ko:K14170	paem:U769_09085
ko:K00817	paem:U769_09090
ko:K02042	paem:U769_08270
ko:K03558	paem:U769_09355
ko:K00764	paem:U769_09360
ko:K10764	paem:U769_09365
ko:K02453	paem:U769_09375
ko:K02452	paem:U769_09380
ko:K02454	paem:U769_09385
ko:K02455	paem:U769_09390
ko:K02456	paem:U769_09395
ko:K02457	paem:U769_09400
ko:K02458	paem:U769_09405
ko:K02459	paem:U769_09410
ko:K02460	paem:U769_09415
ko:K02461	paem:U769_09420
ko:K02462	paem:U769_09425
ko:K00219	paem:U769_09460
ko:K09977	paem:U769_09475
ko:K00858	paem:U769_09480
ko:K02441	paem:U769_09490
