ko:K14989	soz:Spy49_1576c
ko:K04042	soz:Spy49_0375
ko:K14988	soz:Spy49_1577c
ko:K03816	soz:Spy49_0887
ko:K14237	soz:Spy49_tRNAval4
ko:K14237	soz:Spy49_tRNAval3
ko:K14237	soz:Spy49_tRNAval2
ko:K14237	soz:Spy49_tRNAval1
ko:K02760	soz:Spy49_1699c
ko:K05366	soz:Spy49_1279
ko:K01598	soz:Spy49_0968
ko:K14224	soz:Spy49_tRNAglu3
ko:K14224	soz:Spy49_tRNAglu1
ko:K14224	soz:Spy49_tRNAglu2
ko:K02761	soz:Spy49_1043c
ko:K01635	soz:Spy49_1322c
ko:K02760	soz:Spy49_1046c
ko:K15580	soz:Spy49_0249
ko:K08602	soz:Spy49_1112c
ko:K02564	soz:Spy49_1115c
ko:K07568	soz:Spy49_1116
ko:K04564	soz:Spy49_1122c
ko:K02340	soz:Spy49_1123c
ko:K02238	soz:Spy49_1124c
ko:K00655	soz:Spy49_1127c
ko:K07461	soz:Spy49_1129
ko:K03549	soz:Spy49_1130c
ko:K05592	soz:Spy49_1132c
ko:K02837	soz:Spy49_1133c
ko:K01929	soz:Spy49_1136c
ko:K01921	soz:Spy49_1137c
ko:K06187	soz:Spy49_1138c
ko:K00226	soz:Spy49_1144
ko:K03530	soz:Spy49_1147c
ko:K03631	soz:Spy49_1152c
ko:K03402	soz:Spy49_1153c
ko:K06442	soz:Spy49_1154c
ko:K03602	soz:Spy49_1156c
ko:K03601	soz:Spy49_1157c
ko:K01669	soz:Spy49_1160c
ko:K03697	soz:Spy49_1164
ko:K01870	soz:Spy49_1167c
ko:K04074	soz:Spy49_1168c
ko:K02221	soz:Spy49_1170c
ko:K09772	soz:Spy49_1171c
ko:K06997	soz:Spy49_1172c
ko:K03531	soz:Spy49_1173c
ko:K03590	soz:Spy49_1174c
ko:K03589	soz:Spy49_1175c
ko:K02563	soz:Spy49_1176c
ko:K01925	soz:Spy49_1177c
ko:K06207	soz:Spy49_1179c
ko:K00845	soz:Spy49_1181c
ko:K04047	soz:Spy49_1183c
ko:K06941	soz:Spy49_1185c
ko:K07177	soz:Spy49_1188c
ko:K00954	soz:Spy49_1189c
ko:K01914	soz:Spy49_1191c
ko:K00926	soz:Spy49_1192c
ko:K00611	soz:Spy49_1195c
ko:K01478	soz:Spy49_1197c
ko:K03402	soz:Spy49_1199
ko:K06196	soz:Spy49_1206c
ko:K01873	soz:Spy49_1215c
ko:K03856	soz:Spy49_1220
ko:K01735	soz:Spy49_1221
ko:K00014	soz:Spy49_1225c
ko:K07742	soz:Spy49_1339c
ko:K02600	soz:Spy49_1340c
ko:K09748	soz:Spy49_1341c
ko:K03439	soz:Spy49_1342c
ko:K06925	soz:Spy49_1350c
ko:K06901	soz:Spy49_1351c
ko:K02793	soz:Spy49_1354
ko:K02794	soz:Spy49_1354
ko:K02795	soz:Spy49_1355
ko:K02796	soz:Spy49_1356
ko:K01875	soz:Spy49_1358
ko:K01962	soz:Spy49_1359c
ko:K01963	soz:Spy49_1360c
ko:K02372	soz:Spy49_1362c
ko:K02160	soz:Spy49_1363c
ko:K09458	soz:Spy49_1364c
ko:K00645	soz:Spy49_1366c
ko:K02371	soz:Spy49_1367c
ko:K02078	soz:Spy49_1368c
ko:K00648	soz:Spy49_1369c
ko:K03686	soz:Spy49_1372c
ko:K04043	soz:Spy49_1374c
ko:K03687	soz:Spy49_1375c
ko:K03705	soz:Spy49_1376c
ko:K02434	soz:Spy49_1382c
ko:K02433	soz:Spy49_1383c
ko:K02435	soz:Spy49_1384c
ko:K01006	soz:Spy49_1385c
ko:K03706	soz:Spy49_1387c
ko:K00077	soz:Spy49_0671
ko:K00882	soz:Spy49_0673
ko:K02768	soz:Spy49_0674
ko:K02769	soz:Spy49_0674
ko:K02770	soz:Spy49_0674
ko:K01462	soz:Spy49_0684
ko:K00869	soz:Spy49_0690
ko:K01597	soz:Spy49_0691
ko:K00938	soz:Spy49_0692
ko:K01823	soz:Spy49_0693
ko:K07707	soz:Spy49_0206
ko:K03536	soz:Spy49_0207
ko:K03217	soz:Spy49_0208
ko:K06346	soz:Spy49_0209
ko:K02914	soz:Spy49_0210
ko:K01788	soz:Spy49_0211
ko:K02025	soz:Spy49_0213
ko:K02026	soz:Spy49_0214
ko:K01639	soz:Spy49_0216
ko:K03424	soz:Spy49_0219
ko:K05985	soz:Spy49_0220
ko:K01641	soz:Spy49_0695c
ko:K00560	soz:Spy49_0696
ko:K00287	soz:Spy49_0697
ko:K03544	soz:Spy49_0700
ko:K03978	soz:Spy49_0701
ko:K04086	soz:Spy49_0703c
ko:K01807	soz:Spy49_0704
ko:K01839	soz:Spy49_0705
ko:K03783	soz:Spy49_0707
ko:K03784	soz:Spy49_0708
ko:K01591	soz:Spy49_0712
ko:K00762	soz:Spy49_0713
ko:K03648	soz:Spy49_0717
ko:K01465	soz:Spy49_0718
ko:K08591	soz:Spy49_0719c
ko:K02622	soz:Spy49_0720
ko:K02621	soz:Spy49_0721
ko:K00826	soz:Spy49_0722
ko:K02945	soz:Spy49_0724
ko:K07146	soz:Spy49_0726
ko:K11041	soz:Spy49_0728
ko:K00791	soz:Spy49_0730
ko:K03665	soz:Spy49_0731
ko:K09761	soz:Spy49_1637c
ko:K02687	soz:Spy49_1638c
ko:K01658	soz:Spy49_1654
ko:K07478	soz:Spy49_1655
ko:K02035	soz:Spy49_1660
ko:K02033	soz:Spy49_1661
ko:K02034	soz:Spy49_1662
ko:K02031	soz:Spy49_1663
ko:K02032	soz:Spy49_1664
ko:K09815	soz:Spy49_1667c
ko:K02003	soz:Spy49_1679c
ko:K00005	soz:Spy49_1695c
ko:K02528	soz:Spy49_0221
ko:K06949	soz:Spy49_0223
ko:K01783	soz:Spy49_0224
ko:K09760	soz:Spy49_0226
ko:K03698	soz:Spy49_0227
ko:K09685	soz:Spy49_0228
ko:K02950	soz:Spy49_0230
ko:K02992	soz:Spy49_0231
ko:K02355	soz:Spy49_0233
ko:K00134	soz:Spy49_0234
ko:K06153	soz:Spy49_0239
ko:K09013	soz:Spy49_0242
ko:K09015	soz:Spy49_0243
ko:K04488	soz:Spy49_0245
ko:K09014	soz:Spy49_0246
ko:K07258	soz:Spy49_0248c
ko:K07015	soz:Spy49_0257
ko:K07574	soz:Spy49_0259
ko:K00969	soz:Spy49_0260
ko:K09710	soz:Spy49_0262
ko:K02073	soz:Spy49_0268
ko:K02071	soz:Spy49_0269
ko:K02072	soz:Spy49_0270
ko:K03311	soz:Spy49_0271c
ko:K07862	soz:Spy49_0272
ko:K03499	soz:Spy49_0273c
ko:K03501	soz:Spy49_0275
ko:K03744	soz:Spy49_0276
ko:K03799	soz:Spy49_0277
ko:K07040	soz:Spy49_0278
ko:K07738	soz:Spy49_0281
ko:K03346	soz:Spy49_0282
ko:K11144	soz:Spy49_0283
ko:K03977	soz:Spy49_0284
ko:K01924	soz:Spy49_0287
ko:K07082	soz:Spy49_0289
ko:K03624	soz:Spy49_0290
ko:K03217	soz:Spy49_0291
ko:K01512	soz:Spy49_0292c
ko:K03437	soz:Spy49_0293
ko:K06950	soz:Spy49_0294
ko:K06890	soz:Spy49_0295
ko:K09976	soz:Spy49_0296
ko:K01776	soz:Spy49_0297
ko:K07095	soz:Spy49_0299
ko:K05896	soz:Spy49_0302
ko:K06024	soz:Spy49_0303
ko:K06178	soz:Spy49_0304
ko:K08998	soz:Spy49_0305
ko:K03216	soz:Spy49_0306
ko:K07139	soz:Spy49_0309
ko:K04069	soz:Spy49_0312
ko:K02015	soz:Spy49_0315
ko:K02015	soz:Spy49_0316
ko:K02016	soz:Spy49_0317c
ko:K02013	soz:Spy49_0318
ko:K00761	soz:Spy49_0322
ko:K00943	soz:Spy49_0326
ko:K02341	soz:Spy49_0327
ko:K07056	soz:Spy49_0330
ko:K06201	soz:Spy49_0332c
ko:K01142	soz:Spy49_0334c
ko:K00526	soz:Spy49_0339
ko:K03647	soz:Spy49_0340
ko:K00525	soz:Spy49_0341
ko:K07652	soz:Spy49_0445
ko:K01572	soz:Spy49_0926
ko:K03300	soz:Spy49_0929c
ko:K01572	soz:Spy49_0933
ko:K01646	soz:Spy49_0934
ko:K05964	soz:Spy49_0938
ko:K01910	soz:Spy49_0940c
ko:K03106	soz:Spy49_0945c
ko:K09787	soz:Spy49_0946c
ko:K03710	soz:Spy49_0947c
ko:K01951	soz:Spy49_0949
ko:K06131	soz:Spy49_0958c
ko:K01938	soz:Spy49_0959c
ko:K03800	soz:Spy49_0960c
ko:K01489	soz:Spy49_0975c
ko:K00867	soz:Spy49_0977
ko:K02968	soz:Spy49_0978
ko:K01256	soz:Spy49_0981c
ko:K02039	soz:Spy49_0982c
ko:K02036	soz:Spy49_0983c
ko:K02036	soz:Spy49_0984c
ko:K02038	soz:Spy49_0985c
ko:K02037	soz:Spy49_0986
ko:K02040	soz:Spy49_0987c
ko:K10563	soz:Spy49_0416
ko:K00859	soz:Spy49_0417
ko:K06915	soz:Spy49_0418
ko:K02913	soz:Spy49_0420
ko:K03075	soz:Spy49_0421
ko:K03664	soz:Spy49_0423
ko:K01304	soz:Spy49_0425c
ko:K01868	soz:Spy49_0435
ko:K07668	soz:Spy49_0444
ko:K03685	soz:Spy49_0447
ko:K03529	soz:Spy49_0448
ko:K00014	soz:Spy49_0450
ko:K00789	soz:Spy49_0455
ko:K00012	soz:Spy49_0459
ko:K01893	soz:Spy49_0473
ko:K03655	soz:Spy49_1394c
ko:K02013	soz:Spy49_1401c
ko:K02015	soz:Spy49_1402c
ko:K02016	soz:Spy49_1403c
ko:K01775	soz:Spy49_1408c
ko:K00997	soz:Spy49_1409c
ko:K03070	soz:Spy49_1410c
ko:K00847	soz:Spy49_1413c
ko:K03625	soz:Spy49_1418c
ko:K02356	soz:Spy49_1420c
ko:K01493	soz:Spy49_1421c
ko:K01262	soz:Spy49_1422c
ko:K03701	soz:Spy49_1423c
ko:K03284	soz:Spy49_1424
ko:K02963	soz:Spy49_1426c
ko:K03111	soz:Spy49_1427c
ko:K02990	soz:Spy49_1428c
ko:K03575	soz:Spy49_1430
ko:K03671	soz:Spy49_1432c
ko:K07456	soz:Spy49_1434c
ko:K03471	soz:Spy49_1437
ko:K03100	soz:Spy49_1438
ko:K03581	soz:Spy49_1439
ko:K02346	soz:Spy49_1441c
ko:K00656	soz:Spy49_1442
ko:K02440	soz:Spy49_1447c
ko:K00784	soz:Spy49_0733
ko:K07462	soz:Spy49_0735
ko:K00759	soz:Spy49_0736
ko:K02086	soz:Spy49_0737
ko:K10773	soz:Spy49_0738
ko:K06967	soz:Spy49_0739
ko:K00973	soz:Spy49_0742
ko:K01790	soz:Spy49_0744
ko:K02334	soz:Spy49_0762
ko:K01989	soz:Spy49_0797
ko:K00656	soz:Spy49_1697c
ko:K02761	soz:Spy49_1698c
ko:K02759	soz:Spy49_1700c
ko:K04069	soz:Spy49_1703
ko:K03073	soz:Spy49_1704c
ko:K02913	soz:Spy49_1705c
ko:K06180	soz:Spy49_1709
ko:K04077	soz:Spy49_1715c
ko:K04078	soz:Spy49_1716c
ko:K03696	soz:Spy49_1717c
ko:K03177	soz:Spy49_0993c
ko:K02003	soz:Spy49_0998c
ko:K03657	soz:Spy49_1007c
ko:K03310	soz:Spy49_1008
ko:K06193	soz:Spy49_1014c
ko:K00820	soz:Spy49_1015c
ko:K03100	soz:Spy49_1016c
ko:K00873	soz:Spy49_1017c
ko:K00850	soz:Spy49_1018c
ko:K02337	soz:Spy49_1019c
ko:K00688	soz:Spy49_1025c
ko:K00705	soz:Spy49_1026c
ko:K03740	soz:Spy49_1034c
ko:K03739	soz:Spy49_1036c
ko:K03367	soz:Spy49_1037c
ko:K03702	soz:Spy49_1039c
ko:K01035	soz:Spy49_1270
ko:K05350	soz:Spy49_1235c
ko:K09704	soz:Spy49_1238
ko:K07706	soz:Spy49_1240c
ko:K03565	soz:Spy49_1242
ko:K01372	soz:Spy49_1280c
ko:K00763	soz:Spy49_1282c
ko:K00384	soz:Spy49_1284c
ko:K01000	soz:Spy49_1290c
ko:K03438	soz:Spy49_1293c
ko:K00147	soz:Spy49_1295c
ko:K00931	soz:Spy49_1296c
ko:K00615	soz:Spy49_1300c
ko:K00616	soz:Spy49_1301c
ko:K02440	soz:Spy49_1305c
ko:K00864	soz:Spy49_1307c
ko:K01879	soz:Spy49_1310c
ko:K01878	soz:Spy49_1311c
ko:K01443	soz:Spy49_1314c
ko:K02530	soz:Spy49_1330
ko:K02834	soz:Spy49_1336c
ko:K02519	soz:Spy49_1337c
ko:K07586	soz:Spy49_1243
ko:K05808	soz:Spy49_1247c
ko:K02240	soz:Spy49_1249c
ko:K01738	soz:Spy49_1251
ko:K07570	soz:Spy49_1252c
ko:K03500	soz:Spy49_1260c
ko:K00604	soz:Spy49_1261c
ko:K04066	soz:Spy49_1262c
ko:K03060	soz:Spy49_1263c
ko:K00942	soz:Spy49_1265c
ko:K07173	soz:Spy49_1273
ko:K07444	soz:Spy49_1275c
ko:K03700	soz:Spy49_1278
ko:K02970	soz:Spy49_0606
ko:K03282	soz:Spy49_0607c
ko:K02316	soz:Spy49_0608
ko:K03086	soz:Spy49_0609
ko:K00067	soz:Spy49_0611
ko:K09153	soz:Spy49_0621
ko:K01258	soz:Spy49_0624
ko:K00945	soz:Spy49_0628
ko:K02520	soz:Spy49_0629
ko:K02916	soz:Spy49_0630
ko:K02887	soz:Spy49_0631
ko:K06969	soz:Spy49_0633
ko:K03785	soz:Spy49_0634
ko:K01736	soz:Spy49_0635
ko:K00383	soz:Spy49_0637
ko:K03151	soz:Spy49_0641
ko:K07282	soz:Spy49_0642
ko:K01635	soz:Spy49_1587c
ko:K02888	soz:Spy49_0643
ko:K07584	soz:Spy49_0644
ko:K02899	soz:Spy49_0645
ko:K03101	soz:Spy49_0647
ko:K06180	soz:Spy49_0648
ko:K02825	soz:Spy49_0650
ko:K00609	soz:Spy49_0652
ko:K01956	soz:Spy49_0653
ko:K01955	soz:Spy49_0654
ko:K02003	soz:Spy49_0656
ko:K01126	soz:Spy49_0658
ko:K02959	soz:Spy49_0659
ko:K06960	soz:Spy49_0660
ko:K07006	soz:Spy49_0662
ko:K02860	soz:Spy49_0665
ko:K00554	soz:Spy49_0667
ko:K07035	soz:Spy49_0669
ko:K02003	soz:Spy49_1579c
ko:K01220	soz:Spy49_1584c
ko:K02787	soz:Spy49_1585c
ko:K02788	soz:Spy49_1585c
ko:K02530	soz:Spy49_1591
ko:K02996	soz:Spy49_1595c
ko:K02871	soz:Spy49_1596c
ko:K06962	soz:Spy49_1600c
ko:K03218	soz:Spy49_1601c
ko:K11145	soz:Spy49_1603c
ko:K01883	soz:Spy49_1604c
ko:K00640	soz:Spy49_1606c
ko:K00962	soz:Spy49_1608c
ko:K00616	soz:Spy49_1609c
ko:K03475	soz:Spy49_1610c
ko:K02822	soz:Spy49_1611c
ko:K02821	soz:Spy49_1612c
ko:K02956	soz:Spy49_1613c
ko:K01462	soz:Spy49_1615
ko:K03763	soz:Spy49_1618c
ko:K01881	soz:Spy49_1619c
ko:K00981	soz:Spy49_1621c
ko:K00806	soz:Spy49_1622c
ko:K03210	soz:Spy49_1624c
ko:K10112	soz:Spy49_1628c
ko:K07560	soz:Spy49_1631c
ko:K03647	soz:Spy49_1634
ko:K03110	soz:Spy49_0482
ko:K03488	soz:Spy49_0484
ko:K02755	soz:Spy49_0485
ko:K02756	soz:Spy49_0485
ko:K02757	soz:Spy49_0485
