ko:K09476	yph:YPC_2755
ko:K01658	yph:YPC_1835
ko:K16301	yph:YPC_2407
ko:K02345	yph:YPC_2497
ko:K16345	yph:YPC_0193
ko:K10014	yph:YPC_1529
ko:K03297	yph:YPC_1962
ko:K07489	yph:YPC_0828
ko:K13060	yph:YPC_0811
ko:K16371	yph:YPC_0987
ko:K13060	yph:YPC_1671
ko:K00130	yph:YPC_1226
ko:K08723	yph:YPC_1920
ko:K21029	yph:YPC_2660
ko:K01990	yph:YPC_1246
ko:K07483	yph:YPC_4612
ko:K12531	yph:YPC_1883
ko:K12530	yph:YPC_1879
ko:K19298	yph:YPC_0665
ko:K15634	yph:YPC_4135
ko:K18446	yph:YPC_3925
ko:K18139	yph:YPC_3820
ko:K18138	yph:YPC_3821
ko:K07497	yph:YPC_0284
ko:K07497	yph:YPC_0554
ko:K07497	yph:YPC_3833
ko:K07497	yph:YPC_4431
ko:K07497	yph:YPC_4563
ko:K07497	yph:YPC_4613
ko:K19734	yph:YPC_1670
ko:K19734	yph:YPC_0810
ko:K16135	yph:YPC_1628
ko:K14230	yph:YPC_3246
ko:K14230	yph:YPC_3250
ko:K14228	yph:YPC_3247
ko:K14229	yph:YPC_1183
ko:K16089	yph:YPC_3658
ko:K16092	yph:YPC_0305
ko:K07491	yph:YPC_4517
ko:K07491	yph:YPC_4280
ko:K07491	yph:YPC_4234
ko:K07491	yph:YPC_4107
ko:K07491	yph:YPC_4098
ko:K07491	yph:YPC_4054
ko:K07491	yph:YPC_4046
ko:K07491	yph:YPC_3998
ko:K07491	yph:YPC_3750
ko:K07491	yph:YPC_3647
ko:K07491	yph:YPC_3597
ko:K07491	yph:YPC_3584
ko:K07491	yph:YPC_3520
ko:K07491	yph:YPC_3507
ko:K07491	yph:YPC_3350
ko:K07491	yph:YPC_3305
ko:K07491	yph:YPC_3126
ko:K07491	yph:YPC_3097
ko:K07491	yph:YPC_3054
ko:K07491	yph:YPC_2936
ko:K07491	yph:YPC_2736
ko:K07491	yph:YPC_2728
ko:K07491	yph:YPC_2631
ko:K07491	yph:YPC_1974
ko:K07491	yph:YPC_1403
