ko:K19077	saua:SAAG_01082
ko:K19005	saua:SAAG_01142
ko:K19285	saua:SAAG_00869
ko:K00887	saua:SAAG_01483
ko:K07145	saua:SAAG_00648
ko:K05352	saua:SAAG_00737
ko:K13733	saua:SAAG_02734
ko:K11442	saua:SAAG_00006
ko:K18936	saua:SAAG_00242
ko:K18934	saua:SAAG_00002
ko:K03328	saua:SAAG_00615
ko:K18935	saua:SAAG_00004
ko:K18940	saua:SAAG_02022
ko:K21454	saua:SAAG_00183
ko:K07045	saua:SAAG_00400
ko:K19975	saua:SAAG_01054
ko:K19973	saua:SAAG_01056
ko:K03483	saua:SAAG_02370
ko:K17716	saua:SAAG_00636
ko:K12574	saua:SAAG_02198
ko:K12574	saua:SAAG_01873
ko:K09692	saua:SAAG_01061
ko:K11070	saua:SAAG_02210
ko:K01897	saua:SAAG_00713
ko:K00265	saua:SAAG_00926
ko:K00951	saua:SAAG_01547
ko:K00122	saua:SAAG_00659
ko:K01980	saua:SAAG_03062
ko:K14221	saua:SAAG_03001
ko:K14221	saua:SAAG_03028
ko:K14221	saua:SAAG_03025
ko:K14221	saua:SAAG_03013
ko:K14233	saua:SAAG_03004
ko:K14233	saua:SAAG_03002
ko:K14233	saua:SAAG_03029
ko:K14233	saua:SAAG_03027
ko:K14228	saua:SAAG_03045
ko:K14222	saua:SAAG_03018
ko:K14223	saua:SAAG_03019
ko:K14223	saua:SAAG_03047
ko:K14236	saua:SAAG_03048
ko:K14236	saua:SAAG_03022
ko:K14228	saua:SAAG_03037
ko:K02826	saua:SAAG_02172
ko:K01491	saua:SAAG_02174
ko:K01588	saua:SAAG_02175
ko:K01589	saua:SAAG_02176
ko:K01923	saua:SAAG_02177
ko:K01952	saua:SAAG_02179
ko:K01952	saua:SAAG_02180
ko:K00764	saua:SAAG_02181
ko:K01933	saua:SAAG_02182
ko:K11175	saua:SAAG_02183
ko:K00602	saua:SAAG_02184
ko:K01945	saua:SAAG_02185
ko:K16785	saua:SAAG_02186
ko:K16786	saua:SAAG_02187
ko:K16787	saua:SAAG_02187
ko:K16925	saua:SAAG_02188
ko:K06969	saua:SAAG_02190
ko:K00425	saua:SAAG_02195
ko:K00426	saua:SAAG_02196
ko:K01462	saua:SAAG_02200
ko:K00161	saua:SAAG_02202
ko:K00162	saua:SAAG_02203
ko:K00627	saua:SAAG_02204
ko:K00382	saua:SAAG_02205
ko:K03322	saua:SAAG_02214
ko:K06207	saua:SAAG_02218
ko:K03588	saua:SAAG_02222
ko:K02259	saua:SAAG_02224
ko:K08976	saua:SAAG_02226
ko:K06180	saua:SAAG_01751
ko:K03216	saua:SAAG_01756
ko:K03564	saua:SAAG_02381
ko:K01845	saua:SAAG_02382
ko:K11936	saua:SAAG_00489
ko:K11755	saua:SAAG_00496
ko:K02500	saua:SAAG_00497
ko:K01814	saua:SAAG_00498
ko:K02501	saua:SAAG_00499
ko:K01693	saua:SAAG_00500
ko:K00817	saua:SAAG_00501
ko:K00013	saua:SAAG_00502
ko:K00765	saua:SAAG_00503
ko:K16785	saua:SAAG_00507
ko:K16786	saua:SAAG_00508
ko:K16787	saua:SAAG_00508
ko:K07146	saua:SAAG_00513
ko:K01304	saua:SAAG_00514
ko:K03319	saua:SAAG_00518
ko:K05786	saua:SAAG_00519
ko:K07241	saua:SAAG_00521
ko:K11631	saua:SAAG_00524
ko:K11632	saua:SAAG_00525
ko:K03704	saua:SAAG_00531
ko:K03501	saua:SAAG_00536
ko:K01126	saua:SAAG_02229
ko:K03575	saua:SAAG_02386
ko:K03495	saua:SAAG_00537
ko:K02313	saua:SAAG_00541
ko:K02338	saua:SAAG_00542
ko:K03629	saua:SAAG_00544
ko:K02470	saua:SAAG_00545
ko:K02469	saua:SAAG_00546
ko:K01745	saua:SAAG_00548
ko:K01875	saua:SAAG_00549
ko:K00641	saua:SAAG_00552
ko:K02939	saua:SAAG_00555
ko:K01939	saua:SAAG_00557
ko:K00783	saua:SAAG_00564
ko:K08170	saua:SAAG_00590
ko:K03324	saua:SAAG_00591
ko:K03303	saua:SAAG_00594
ko:K14196	saua:SAAG_00595
ko:K02015	saua:SAAG_00597
ko:K00954	saua:SAAG_02233
ko:K07040	saua:SAAG_02235
ko:K02911	saua:SAAG_02236
ko:K14193	saua:SAAG_02238
ko:K02016	saua:SAAG_02241
ko:K02015	saua:SAAG_02242
ko:K08600	saua:SAAG_02243
ko:K03437	saua:SAAG_02245
ko:K01889	saua:SAAG_02246
ko:K01890	saua:SAAG_02247
ko:K09888	saua:SAAG_02249
ko:K02347	saua:SAAG_02251
ko:K07456	saua:SAAG_02252
ko:K03671	saua:SAAG_02253
ko:K03703	saua:SAAG_02254
ko:K00239	saua:SAAG_02256
ko:K01776	saua:SAAG_02258
